"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",7.87322180434283e-07,0,1.09330289298949e-07,0,0,0,6.52722110889904e-08,0,0,0,1.9465214237399e-07,8.42283023946777e-07,0,0,0,1.33257323142866e-07
"m__-_2-Hydroxypentanoate",5.58859948735255e-07,0,1.61362847824103e-07,0,0,0,2.80129025609988e-07,0,0,0,1.38099637534418e-07,8.4851472430991e-08,0,0,0,8.15535288089837e-08
"m__-_SDMA",1.82890012460979e-06,0,1.15448516194921e-07,0,0,0,8.62685573767848e-08,0,0,0,1.07401471235399e-07,1.70533378671604e-06,0,0,0,2.56223497075529e-07
"m__C00003_NAD+",1.28893139198339e-06,0,1.4300244326542e-07,0,0,0,6.77222044908644e-08,0,0,0,1.29914327838773e-07,2.46370773487311e-07,0,0,0,1.25062742737717e-07
"m__C00008_ADP",2.61457216296666e-06,0,5.72884521405838e-07,0,0,0,2.92219041369969e-07,0,0,0,6.55999185696267e-07,2.07859013572918e-06,0,0,4.26716572038385e-06,6.98762051170117e-07
"m__C00019_SAM+",5.19031450713834e-07,0,5.65797241837205e-07,0,0,0,5.0034640292853e-07,0,0,0,3.92965892288509e-07,9.2725264536499e-08,0,0,0,1.38057750153638e-07
"m__C00020_AMP",1.79138469879174e-06,0,4.12836177441493e-07,0,0,0,1.60625328766843e-07,0,0,0,8.0631591865874e-08,8.22586600036479e-07,0,0,0,2.17870959793495e-07
"m__C00024_Acetyl CoA",3.00839496315592e-06,0,6.62256046387118e-07,4.13302777774307e-06,0,0,1.9750295282967e-07,0,0,5.0502041578051e-07,5.98385097038107e-07,1.70435645258501e-06,0,0,0,7.20596247034627e-07
"m__C00029_UDP-glucose",7.41268324434382e-07,0,1.10751536404648e-08,0,0,0,1.13633435820475e-07,0,0,0,3.56514290169139e-07,2.56330293685293e-06,0,0,0,2.5238627606116e-07
"m__C00043_UDP-N-acetylglucosamine",1.02912828062511e-06,0,4.14106413197068e-07,0,0,0,4.23484446915004e-07,0,0,0,1.75085771967002e-07,4.4708244695896e-07,0,0,0,1.65925823977543e-07
"m__C00086_Urea",2.13002887220642e-07,0,3.99565927146951e-07,0,0,0,1.81974801120181e-07,0,0,0,1.62434324659969e-07,2.41168165178464e-07,0,0,0,7.98764070217471e-08
"m__C00093_Glycerophosphate",5.00796187647014e-07,0,5.07971252028757e-07,0,2.02628363885703e-06,0,3.7202176487383e-07,0,0,0,1.19448847424893e-08,1.36888368343298e-06,0,0,0,3.19193427438807e-07
"m__C00105_UMP",1.47439255141379e-06,0,3.38944317840053e-07,0,0,0,2.14371461330575e-07,0,0,0,1.51414881350815e-07,1.20956638694142e-06,0,0,0,2.2591263992511e-07
"m__C00106_Uracil",6.28429012866683e-07,0,3.97028809819127e-08,0,0,0,2.35195558897881e-08,0,0,0,5.43996219654918e-09,2.58173309004596e-08,0,0,0,4.81939161890262e-08
"m__C00116_Glycerol",2.43367144417938e-06,0,7.09589536515897e-07,0,0,0,8.51428265471615e-07,0,0,0,6.61672767271803e-07,1.68087018980157e-06,0,0,5.15606794596777e-06,7.66220009947202e-07
"m__C00140_N-Acetylglucosamine",1.24642580637453e-07,0,2.24065021707129e-07,0,0,0,3.77430452867736e-07,0,0,0,2.72367338555446e-07,2.28190023026849e-06,0,0,0,2.18693708269083e-07
"m__C00152_Asn",1.60592755247663e-06,0,1.88539332103013e-07,0,0,0,3.23956683685338e-08,0,0,0,7.79284703589518e-08,2.66892344595236e-07,0,0,0,1.44778891193491e-07
"m__C00153_Nicotinamide",1.65310091496567e-06,0,3.88857982138893e-08,0,0,0,1.9864764012773e-07,0,0,0,1.70900380184031e-07,2.20371225741405e-07,0,0,0,1.52127063948848e-07
"m__C00179_Agmatine",8.75080787261555e-07,0,1.13640781984894e-07,0,0,0,9.03568763022656e-08,0,0,0,1.57691626386303e-07,9.92880259198325e-07,0,0,0,1.4864335540889e-07
"m__C00214_Thymidine",6.78963125204129e-07,0,5.97400030720237e-08,0,0,0,1.44367233479257e-07,0,0,0,6.05582988843736e-08,1.10191265306255e-06,0,0,0,1.36369420913489e-07
"m__C00233_4-Methyl-2-oxopentanoate",4.22628963856897e-07,0,1.00157543532414e-07,0,0,0,1.46195027697277e-07,0,0,0,5.70067198827553e-08,5.49005652419848e-07,0,0,0,8.49995938259461e-08
"m__C00245_Taurine",9.74377062269335e-07,0,2.59887898564939e-07,0,0,0,7.95550884053694e-08,0,0,0,9.64465753687636e-08,1.13291066200303e-06,0,0,0,1.69545152440763e-07
"m__C00253_Nicotinate",3.81665282373822e-06,5.92280827787392e-07,8.85453622201175e-07,1.10973962950728e-05,6.12461283549801e-06,0,6.17482602147456e-07,5.68701174628684e-06,4.90003310297042e-07,2.66637540302837e-06,4.69381515054577e-07,1.99076786033956e-06,2.06555196744948e-06,3.17991362517046e-06,4.66211589851946e-07,2.67660640159489e-06
"m__C00262_Hypoxanthine",4.37673233100067e-07,0,3.23311203056253e-07,0,0,0,6.62589064243401e-07,0,0,0,1.24422290314069e-08,9.51852328950645e-07,0,0,0,1.59191203892118e-07
"m__C00263_Homoserine",2.31349188650292e-06,0,5.72012290684945e-07,0,0,0,2.44861860649742e-07,0,0,0,2.07221500945374e-07,6.93232174961634e-07,0,0,0,2.68721314249641e-07
"m__C00294_Inosine",1.00859972917334e-06,0,3.65999060117282e-07,0,3.41425185994818e-08,0,4.43511461425272e-07,0,0,0,7.57299335397188e-08,1.66764323308619e-06,0,0,0,2.39708395729419e-07
"m__C00295_Orotate",4.2468478457831e-07,0,6.24706498233869e-07,0,0,0,6.6554999918113e-07,0,0,0,3.53536240887025e-07,1.26746171175056e-06,0,0,0,2.22395948975393e-07
"m__C00299_Uridine",5.06675805930726e-06,1.22855293764575e-06,1.40779309242645e-06,0,0,0,5.13598489393535e-07,0,0,0,1.42717361977819e-07,2.1159207993175e-06,2.71408936400659e-06,0,0,8.7929534027166e-07
"m__C00329_Glucosamine",3.9195772399711e-07,0,6.92243447035141e-07,0,0,0,7.98853315601714e-07,0,0,0,4.86025511929286e-07,1.92096070052035e-06,0,0,0,2.8600271327224e-07
"m__C00357_N-Acetylglucosamine 6-phosphate",1.07631025198963e-06,0,4.3142091491684e-08,0,0,0,2.78366145155756e-07,0,0,0,2.15951543381587e-07,1.54724226553649e-07,0,0,0,1.17899617238154e-07
"m__C00364_dTMP",1.17713965328627e-06,0,2.9990760547708e-07,0,0,0,1.49227197854498e-07,0,0,0,4.96663612010537e-07,1.52535026061205e-06,0,0,0,2.43219221949362e-07
"m__C00385_Xanthine",1.00606655603104e-06,0,1.83361386637576e-07,0,0,0,2.557474720654e-09,0,0,0,7.95009850811185e-08,1.30974539593831e-07,0,0,0,9.34973961376148e-08
"m__C00398_Tryptamine",9.32018721460766e-07,0,2.77773719534425e-07,0,0,0,3.62526836184582e-07,0,0,0,4.81217506673277e-07,1.36494197653384e-06,0,0,0,2.27898584025793e-07
"m__C00423_trans-Cinnamate",1.34671386834878e-06,0,3.51926558562829e-07,0,0,0,1.74299570533589e-07,0,0,0,1.41059590666254e-07,8.4739848897605e-07,0,0,0,1.90759871805833e-07
"m__C00429_Dihydrouracil",7.72225005074416e-07,0,3.65074101838983e-07,0,0,0,2.29529733861606e-07,0,0,0,5.47848299093002e-08,1.284392552264e-06,0,0,9.71345412008274e-07,2.45156775663772e-07
"m__C00430_5-Aminolevulinate",1.65713292889644e-06,0,6.99303004592906e-07,0,0,0,3.16201686285196e-08,0,0,0,2.61610280438048e-08,3.13284660635037e-06,0,0,0,3.69804249100803e-07
"m__C00440_5-Methyltetrahydrofolate",3.51285377444171e-06,0,9.1066721238066e-07,0,0,0,1.57095228362495e-07,0,0,0,3.37005576139838e-07,1.28458504384358e-06,0,0,0,4.13480455677885e-07
"m__C00588_Phosphorylcholine",3.10439762136845e-06,0,1.35695547038344e-06,0,0,0,5.19025780827522e-07,0,0,0,1.65097419950277e-07,1.40599171394756e-06,0,5.85648735828975e-07,0,4.75807782820414e-07
"m__C00695_Cholate",8.39347016600289e-08,0,2.32036027222922e-07,0,0,0,1.1006286141676e-07,0,0,0,6.26852632843281e-08,2.75001353690414e-07,0,0,0,5.09146804849635e-08
"m__C00785_Urocanate",7.84522866347004e-07,0,2.63531594121142e-07,0,0,0,2.56195064721851e-08,0,0,0,1.94591236796906e-07,1.81670916134648e-07,0,0,0,9.66624079914591e-08
"m__C00847_4-Pyridoxate",1.46119445922429e-06,0,1.32496577679917e-06,0,0,2.45400773394112e-09,5.67288945184907e-07,0,1.0613708817107e-06,0,3.80125527279716e-07,3.10304124365893e-06,0,0,0,5.2669605610611e-07
"m__C00864_Pantothenate",1.00429058649706e-06,0,1.04474465950818e-07,0,0,0,1.41741365751847e-07,0,0,0,4.78159638758529e-08,2.72947945553232e-07,0,0,0,1.04751355175254e-07
"m__C01029_N8-Acetylspermidine",2.55618596928334e-06,0,1.05903985643799e-06,0,0,0,8.82947108613961e-07,0,0,0,6.91274967310771e-07,2.78017630483721e-07,0,3.11592404555586e-07,0,3.85270529112358e-07
"m__C01047_N-gamma-Ethylglutamine",6.0285661304226e-06,7.12882431005705e-07,1.61365528823402e-06,4.47928731795627e-06,0,2.59607565675637e-06,8.8885034314176e-07,1.14850592873333e-06,0,0,5.56659021756277e-07,2.68556656794414e-06,2.21550713629321e-06,4.0393831579931e-06,3.30482130851473e-07,1.81969474073922e-06
"m__C01118_o-Succinylhomoserine",2.87085607671299e-06,0,7.04261301151716e-07,0,0,0,5.7227016314967e-07,0,0,0,1.05926944352398e-07,1.88315693237668e-07,0,0,0,2.96108678573629e-07
"m__C01879_5-Oxoproline",2.13874517340513e-06,0,3.84663943707871e-07,0,2.45506049937944e-06,0,2.38295733537539e-07,0,0,0,3.93406490164634e-07,2.30073377998008e-06,4.0098088994108e-06,0,0,7.94714301305699e-07
"m__C01921_Glycocholate",1.37909379081435e-06,0,4.08189799410363e-08,0,0,0,2.13178597673112e-07,0,0,0,1.635937742687e-07,3.96804943759125e-07,0,0,0,1.46232672430422e-07
"m__C02043_Indolelactate",3.85217964867284e-07,0,6.22181802594708e-07,0,0,0,4.04972690683283e-07,0,0,0,6.16169894739392e-07,1.52319339558307e-06,0,0,0,2.36782383231183e-07
"m__C02571_o-Acetylcarnitine",1.48652721840712e-06,1.08891570206694e-06,7.31510581483101e-07,0,0,0,1.00148598180316e-06,0,7.40070105737237e-07,0,2.78821659324357e-07,4.00624097199896e-06,0,0,0,6.22238148054724e-07
"m__C02656_Pimelate",1.54211634326786e-09,0,3.942653929944e-07,0,0,0,3.39450945948854e-07,0,0,0,2.24192722503085e-07,1.05114140329676e-06,0,0,0,1.34039505405758e-07
"m__C02679_Dodecanoate",1.64693098111354e-06,0,2.94367670658406e-07,1.81538119566195e-06,0,0,2.11936917518461e-07,0,0,0,1.77583364354231e-07,8.10498954893934e-07,0,0,0,3.30446605613369e-07
"m__C02712_N-Acetylmethionine",5.12408228204073e-06,0,9.27229889868752e-07,0,0,0,6.08712712443883e-07,0,0,0,6.42121309296346e-07,1.4196951310213e-06,0,0,0,5.81456088311401e-07
"m__C02713_N-Acetylmuramate",3.03459811733052e-06,0,6.6659714816299e-07,0,0,0,3.18547552962462e-07,0,0,0,2.59525490450778e-07,7.1103354389816e-08,0,0,0,2.90024777553104e-07
"m__C03264_2-Hydroxy-4-methylpentanoate",3.52035046943525e-07,0,1.01291796564847e-07,0,0,0,1.09275375709934e-07,0,0,0,1.13072844073266e-07,3.62357265735963e-07,0,0,0,6.92021552685024e-08
"m__C03406_Argininosuccinate",3.87575581927473e-06,0,9.01835322509177e-07,0,0,0,7.66165044492883e-07,0,0,0,7.11024640225383e-07,4.27653366162304e-06,0,0,0,7.02087632541681e-07
"m__C03570_Mannosamine",4.15694161747964e-07,0,2.98061728795833e-07,0,0,0,1.04956793905819e-07,0,0,0,4.35854300050288e-08,6.29199411542192e-08,0,0,0,6.16812037072576e-08
"m__C04501_N-Acetylglucosamine 1-phosphate",3.74999594942046e-07,0,2.28866192246683e-07,0,0,0,4.84385342487427e-07,0,0,0,4.29922011941045e-07,4.43459694756603e-07,0,0,0,1.3077552242492e-07
"m__C05122_Taurocholate",1.16844932331693e-06,0,2.94177799101652e-07,0,0,0,7.69428610234684e-08,0,0,0,9.4564493868878e-08,1.15246040045597e-06,0,0,0,1.85772991851127e-07
