"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.246085120590364,0.301689096560586,0.239385776675507,0.37615483261006,0.155419996644192,0.00395965416544175,0.310900077411995,0.130221025038621,0.371241688102715,0.481879355962015,0.606795387491091,0.458056942596772,0.282493789643724,0.292950076540695,0.284373397562223,0.302773747839733
"m__-_2-Hydroxypentanoate",0.0155213757272476,0.17526106761976,0.115005651579733,0.0146890780945622,0.0620720962428322,0.103881424950144,0.159041824863434,0.114092448540576,0.119924621157251,0.0189030430992027,0.282981981297404,0.0130304248357126,0.0129136659707986,0.0844653353656355,0.121375914569665,0.0942106635942639
"m__-_SDMA",0.364804333146447,0.0491456040737355,0.002616511164887,0.1768587212065,0.0552011704038799,0.0583238597916856,0.145436725297104,0.107257234469257,0.272687388887202,0.131320822136938,0.247792557142889,0.143554531283763,0.507746738917878,0.0962752019559536,0.00405432295187844,0.157538381522
"m__C00003_NAD+",0.189594998922642,0.0934522817438214,0.196311162282146,0.291742363385655,0.195363797562174,0.230953012449785,0.185021938266186,0.166622464525586,0.153639535449184,0.43383963744565,0.227006934658414,0.170622048731721,0.511206488518961,0.124440536593368,0.290521129732462,0.23068922201785
"m__C00008_ADP",0.396196574835363,0.0983431794252676,0.366911383932808,0.225924772784825,0.115272708269285,0.735665850075539,0.195248047163032,0.286524365930057,0.333892897663794,0.158607375657544,0.610259033493964,0.307035934159855,0.00783181288479233,0.231238488394705,1,0.337930161644722
"m__C00019_SAM+",0.0100638954823425,0.105822606967534,0.226317765141811,0.28807539894874,0.104845654281443,0.120515363536372,0.341024868701234,0.216264362108033,0.0757977505687445,0.298517152994428,0.440196867001846,0.0395377074573885,0.131962847556314,0.399554898750094,0.0178750048832088,0.187758142958636
"m__C00020_AMP",0.227920769146487,0.0443978099853423,0.231740176401756,0.119037584355721,0.202378890777623,0.125646616277778,0.251520182447183,0.186715110464392,0.171031963294516,0.240773012952448,0.0173974286163272,0.219392180561231,0.281652672314886,0.265845019929936,0.257839693967199,0.189552607432855
"m__C00024_Acetyl CoA",0.639944363146882,0.552362788977994,0.634170925833819,0.811552440702925,0.254264842472549,0.737325196176291,0.296718223739018,0.720235048140683,0.568112208958312,0.76853781748533,0.756590163805715,0.498885729792904,0.457986632547769,0.680648182479668,0.650734280291411,0.601871256303418
"m__C00029_UDP-glucose",0.0741699612695379,0.0539249361039903,0.109634280082422,0.431461890838526,0.0816951306170296,0.153682360084312,0.0196661151022677,0.297715865931119,0.523887858861592,0.310714890638255,0.561545941228029,0.245564528705206,0.0620553201993706,0.00378366076175666,0.126428540000346,0.203728752028251
"m__C00043_UDP-N-acetylglucosamine",0.145595073608396,0.0642185624400026,0.0519618124482108,0.00440485179856185,0.038308640600498,0.117955044106265,0.186947900971768,0.300684597763653,0.0331886667572844,0.144201339501097,0.17358348597193,0.168188618919141,0.11701303444396,0.125445597731837,0.202722437109023,0.124961310944775
"m__C00086_Urea",0.0566451514614356,0.191123235038306,0.0425811919466336,0.023588595232181,0.0782056151766962,0.153673373659471,0.0516596728956816,0.00746312701545355,0.0276850650990852,0.00804615534992466,0.0627442915332915,0.132319946470034,0.132072122459516,0.0791149057607183,0.0389674399599919,0.0723926592705614
"m__C00093_Glycerophosphate",0.0543071103761336,0.116561668587908,0.0928915578511679,0.0883734140874067,0.185392270812316,0.181730951722875,0.140861036140771,0.0724956871717807,0.11758742515308,0.0789728200469448,0.017072746788438,0.1336604251659,0.0730034515016528,0.156388403925487,0.314479858949322,0.121585255218746
"m__C00105_UMP",0.365689237429122,0.363633016496682,0.375810102822775,0.12044823592655,0.424865048721913,0.368942907540828,0.472489082542861,0.255123573702258,0.266212635780576,0.129143197018667,0.13498419048818,0.418682456950372,0.22585993724011,0.50111985838493,0.506375175065033,0.328625243740724
"m__C00106_Uracil",0.090162130672475,0.0907718663015108,0.0496698552144373,0.0190017161680989,0.027119325417127,0.028766408836097,0.0431069605165141,0.0172140799573881,0.120534054204761,0.12181929789896,0.0558368500075982,0.0720531435235856,0.138954603238125,0.0867064518037452,0.0861248215375156,0.0698561043531959
"m__C00116_Glycerol",0.205925615140182,0.692497964060084,0.232814631980068,0.346259451669343,0.161508135869318,0.279612081026264,0.312082097164809,0.155010238852558,0.585036297377208,0.300464387726814,0.251119985108042,0.0451389253655497,0.290851628385444,0.0320745755050037,0.531906454125865,0.29482016462377
