"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.0213967408623001,0.0453393633371843,0.00991849507378738,0.0675192927883503,0.00116338640488407,0.00242659432472803,0.0141411356066212,0.145572171161095,0.0303008119176461,0.00110714355391284,0.0119846490093549,0.00921792826243423,0.0261887048556656,0.0857400332361635,0.298528678884483,0.0513696752852407
"m__-_2-Hydroxypentanoate",0.0159060233230881,0.00866628088839098,0.0115709482191412,0.0802220896195432,0.0317488442863183,0.00556490928032187,0.0205695649880736,0.121427619937888,0.0402596686145958,0.0295682950766654,0.0191968896081828,0.0120817960640126,0.0264377542556424,0.0889459929049732,0.102687976993723,0.0409903102707041
"m__-_SDMA",0.00801950602047347,0.00730426052766509,0.0799757781735191,0.0748114806455664,0.00980857235056423,0.00930607578397527,0.0182988883596392,0.200175305975638,0.0536834475965077,0.00894281119975982,0.0392029718247276,0.00674847326568078,0.0245796808895384,0.0545733858353401,0.180056637203943,0.0516991517101692
"m__C00003_NAD+",0.195594177500853,0.0270478339826278,0.0520176967249062,0.112023706023016,0.0567686537156317,0.00369791090200195,0.00572351018029034,0.342773594690628,0.111670580312048,0.0504931575409293,0.0255964948199337,0.0113964084984159,0.186973581561165,0.454384749779194,0.222381250631363,0.1239028871242
"m__C00008_ADP",0.0217420855380395,0.00490840727824251,0.00436959384678796,0.0609697824256875,0.0290566845686473,0.0249297681257706,0.00573869009367712,0.210151214991917,0.015763016128465,0.0128600127143858,0.0209266403872439,0.0128138964281959,0.143702752343292,0.220928116077141,0.499094376647557,0.0858636691730033
"m__C00019_SAM+",0.0790318041407892,0.0600187184524404,0.0627348012416577,0.393723748310565,0.061755929954205,0.0469761303306719,0.0640230883571184,0.231599353197597,0.0755349336335533,0.0842083981305648,0.0196385595694413,0.0271428981220934,0.0499424542892227,0.169764415727141,0.386000570107478,0.120806386904303
"m__C00020_AMP",0.076003850818451,0.10864813752607,0.0675789652217401,0.0328754626964736,0.0587136678309173,0.0331325757253978,0.0480871355881845,0.355908818880968,0.0653130286930901,0.0180542739632017,0.042503626439552,0.0568778831723817,0.0595799099021183,0.264963591339522,0.24803914446147,0.102418671483969
"m__C00024_Acetyl CoA",0.0793860135585249,0.00969693045006018,0.0551532230700531,0.624881880028252,0.0109403441575101,0.109584762028268,0.029299369239,0.254497015851198,0.0664545280297458,0.00584797788476988,0.0843130160768073,0.0691186970171232,0.0105506331304082,0.364822232215813,0.061266738001994,0.122387557382635
"m__C00029_UDP-glucose",0.00733158355917748,0.0127352902827509,0.00215396309584611,0.18817398204485,0.00391148809910672,0.000158558112804891,0.000604576024927999,0.0957221967254228,0,0.0151166464283386,0.00546348698194411,0.0147106424776755,0.00331165077415245,0.188982225616638,0.070430792778191,0.0405871388667884
"m__C00043_UDP-N-acetylglucosamine",0.0175323962808329,0.110969654952779,0.0492146932447155,0.326872905906994,0.00432162619207343,0.0768560304550129,0.0697348651791051,0.209404324484012,0.0534140845938046,0.0646061668644066,0.0196881318706819,0.00296063209309136,0.0893057512755859,0.295515441204121,0.174548397238386,0.104329673455707
