"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.318750377103429,0.425539199269528,0.323863199727098,0.333802351196805,0.331719781653293,0.301865826088992,0.321032730077291,0.245000676703422,0.263225897672265,0.29835848519588,0.384121293161484,0.385706070258461,0.357694048560793,0.393885078258043,0.369617842177985,0.336945523806985
"m__-_2-Hydroxypentanoate",0.325728346152919,0.289930120217666,0.396813453270295,0.177765721255314,0.323026513167899,0.370549809299093,0.413766065803209,0.326213944800436,0.309419916256343,0.359829223843231,0.526684952740046,0.450768623880552,0.239882461365693,0.379596479353737,0.445703452573239,0.355711938931978
"m__-_SDMA",0.425702774629423,0.455742536638692,0.511057819284718,0.461163102059401,0.486068643638753,0.514008378854414,0.54761405500769,0.347977685830376,0.394571916207436,0.386893957323589,0.494295595987113,0.36494429487534,0.422592494901184,0.519853102173776,0.573672410347713,0.460410584517308
"m__C00003_NAD+",0.76254955208548,0.555595181223663,0.67690143476499,0.420638369063586,0.685631800927096,0.706127070368966,0.746918765700871,0.440468765656411,0.437261085409644,0.624735216805899,0.622316577577711,0.802670541247402,0.650449159448517,0.556971425722013,0.664468843335462,0.623580252622514
"m__C00008_ADP",0.351254177479875,0.37474038504101,0.433934932355742,0.18687146816449,0.298309842667164,0.457722097719164,0.312255692011328,0.345554890573955,0.447548252969563,0.315919105706134,0.419746696944326,0.370825880609185,0.343360503746112,0.34722206971797,0.671287507133207,0.378436900189282
"m__C00019_SAM+",0.743233793058499,0.592387987129259,0.563715569414751,0.59867675170522,0.596212252588839,0.839203999463765,0.632496100617722,0.630285230290781,0.537988185907172,0.513014713139463,0.542134934030306,0.690080983962155,0.598182345295526,0.761837091958237,0.66394993548556,0.63355999160315
"m__C00020_AMP",0.613765683583181,0.61559446130778,0.612074169323568,0.47727109419236,0.573848457394814,0.799139451105108,0.497815246814913,0.414672702502647,0.667138371015563,0.482463342913131,0.788519872312243,0.703918916590296,0.50970506345402,0.602577110239815,0.646836042520813,0.600355999018017
"m__C00024_Acetyl CoA",0.668003158399853,0.569770805901637,0.521584247721103,0.663505184276341,0.608126850919854,0.858926517999924,0.496076443342529,0.63701867028168,0.681970263370783,0.371354303434508,0.851996981224262,0.645063777718667,0.422613562942862,0.746543873846112,0.652946238204167,0.626366725305619
"m__C00029_UDP-glucose",0.337210943960568,0.392983488879017,0.242601044030466,0.204022368489729,0.360477935436595,0.371449777262891,0.376722587318308,0.319987057554096,0.316686002722578,0.21261276019596,0.304189158879932,0.437242112788298,0.312329433782247,0.325113221913801,0.518793097468263,0.335494732712183
"m__C00043_UDP-N-acetylglucosamine",0.578614663800851,0.506337088699881,0.705635970319667,0.58654010945684,0.547657219421178,0.783859151277371,0.772406572814865,0.583053178214569,0.572332737124436,0.39041949221572,0.66330168595222,0.484469717414176,0.485086310624025,0.668576888017417,0.659291634249757,0.599172161306865
