"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0,0.0488229181069608,0,0.0318588627220439,0,0.026221950012858,0.0298415692672052,0,0.0741473699343333,0,0.00706698084546314,0.286669099318653,0,0.174167710687599,0,0.0452530973930078
"m__-_2-Hydroxypentanoate",0.0520116026900838,0.000434207160152492,0.00825024694709837,0,0.131169334253305,0.00424839738284939,0.005044257352747,0.544124870114998,0,0.0148019657239945,0.0852994696195709,0.247642782067846,0.0370699843426254,0.0171402893016828,0.132758587285104,0.0853330662828038
"m__-_SDMA",0.0719786848904989,0.063384222601561,0.0179520486522657,0.193562235311143,0.443082244409214,0,0.178006511678042,0.495385715795373,0.0444515601031037,0,0.0144192861211231,0.123058243434843,0.102989769057242,0.0932917555484449,0.0618502878218516,0.126894171028314
"m__C00003_NAD+",0.507550479261066,0.274655156816771,0.45272589848866,0.673316932961031,0.26440116611577,0.0325373996075501,0.0522990189669461,0.461688807253741,0.0631470803540962,0.514575650148447,0.375979646941549,0.0903461765708815,0.435917750000557,0.381994122331755,0.674196943248041,0.350355481937791
"m__C00008_ADP",0.316042942762907,0.0480915306293558,0.0917052191062566,0,0.0664128185365748,0.105031928773547,0.0299195059857199,0,0.21781937464678,0.0792141354840151,0.0392158645799539,0.196251041620024,0.0326802327756273,1,0.00146756834459256,0.148256810883024
"m__C00019_SAM+",0.584566727354056,0.268531105939945,0.101266707964769,0.172649671266776,0.383541885384213,0.194463389885927,0.232564175423582,0.0670862846577594,0.847395162114344,0.3168045200203,0.495469909928611,0.414132915545587,0.124010200512195,0.542373681495798,0.140395761387674,0.325683473258769
"m__C00020_AMP",0.190346656083785,0.0566880455343773,0.117825729290261,0.0507397136708771,0.0328118794147886,0.0117373737339619,0.23521607458266,0.102977129240254,0.248139242675132,0.388407444388775,0.0895271753509206,0.349763780447039,0.346161281277957,0.432232554112158,0.359740697470849,0.200820985151586
"m__C00024_Acetyl CoA",0.368936487914641,0.232682822966648,0.00212438610172652,0.352207947131727,0.000478350641388467,0.624604679043654,0.0126905903550374,0.650260448469732,0.0127641339088173,0,0.215291569151146,0.2166219957049,0.0182573865793128,0.568911342782129,0.192054791186605,0.231192462129164
"m__C00029_UDP-glucose",0.00167194387803878,5.52126128933934e-05,0,0.00381419575921056,0.113790079326286,0.0149478505893729,0,0,0.0446967707439571,0,0.00108776811229745,0,0,0.000128055271061399,0,0.0120127917528745
"m__C00043_UDP-N-acetylglucosamine",0.371139131463149,0.0383459437211512,0.249961630951456,0.16858432753855,0.294997206554844,0.00375063938050208,0.176375030374183,0,0.0802591723664515,0.207672661750508,0.0753650325235685,0.0878698375908664,0.0879633595505236,0.264589577839001,0.379838264773457,0.165780787758547
"m__C00086_Urea",0.887260753199171,1,0.0627524098103648,0.0128427790114163,0.230335019790248,0.468915169308745,0.0436154159242966,0.463597607936647,0.119908691331928,0.0943612372681928,0.26173147130823,0.622538620065489,0.188382962707844,0.414615385819677,0.33263752519898,0.346899669912082
"m__C00093_Glycerophosphate",0.033016709469362,0.173165408523795,0.0380003740136813,0,0.0538303257161775,0.0118139417657362,0.0133880554032299,0,0.177016524141007,0.0946270146043533,0.0188415904344955,0.013655013421451,0.157226698661559,0.00526556653349805,0.00153334090319864,0.0527587042394364
"m__C00105_UMP",0.222773599266723,0.0174752834039139,0.0579495348942955,0.0789917061775542,0.244493418284291,0.119799420017285,0.239614979478673,0.919573890842732,0.175908833870559,0.103053117655194,0.179164699376272,0.0835863104476704,0.071624250918575,0.399961860067756,0.0999485083108381,0.200927960867489
"m__C00106_Uracil",0.0627691950057622,0.0708888367522851,0.0269023592126453,0,0.0465476630694271,0.239250120810967,0,0,0.085514804893856,0,0.318896812527917,0.140880499604607,0,0.189345826098046,0,0.0787330745317009
"m__C00116_Glycerol",0.189203091713379,0.195848220458403,0,0,0,0,0,0,0,0,0.298124231722028,0.0988562615193577,0,0.0369420567178246,0,0.0545982574753996
"m__C00140_N-Acetylglucosamine",0.625985592880395,0.06120794126689,0.0522058281466184,0.0128157092630433,0.0796689259805512,0.314334508341023,0.462222718874548,0.297508459229781,0.122109701265937,0.0876938393258802,0.582375285462724,0.231766955524138,0.0409342883370266,0.962854933497181,0.332857263758255,0.284436130076933
"m__C00152_Asn",0.298317171264739,0.118980247867874,0.0719325818618608,0.13062439078676,0.133671758151405,0.208879257038449,0.173219011515242,0.597769843159363,0.121155723676523,0.380442423520092,0.127159217282143,0.516344959852841,0.119497902167442,0.0376215333998986,0.108729576574789,0.209623039874628
"m__C00153_Nicotinamide",0.519791896211138,0.162065558265351,0.718673713877297,0.307413399348296,0.269905717093665,0.649037723196291,0.340319905180021,0.8419477363722,0.330629667181192,0.512748162755968,0.0922296433598338,0.471549859186498,0.095306704304406,0.0989263223699795,0.489100754228616,0.393309784195384
"m__C00179_Agmatine",0.603230130566392,0.706639522945172,0.0846953305050012,0.193378137998015,0.114526694048569,0.150138240172653,0.134809143274978,0.127463189140935,0.361867113747273,0.235647882153398,0.20220425138485,0.375027229768335,0.144537373949163,0.66465003932616,0.079761779063963,0.27857173720299
"m__C00214_Thymidine",0.456166294564122,0.336900040892095,0.651950900936475,0.115538005668982,0.978536990361552,1,0.469226607993255,0.333475476971446,0.431130992890524,0.619493125981939,0.690488905755673,0.969703947625426,0.541367095661376,0.131460289731013,0.838235876935525,0.57091163679796
"m__C00233_4-Methyl-2-oxopentanoate",0.054243336123568,0.00255352740055351,0,0,0.0134419243814632,0,0,0,0,0,0.0119181771822119,0.00112325649410547,0,1.22443084938798e-07,0,0.00555202293499914
