"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0,0,2.78690459665606e-06,0,0,0.00896255191078278,0.0134798065057842,0,0,0,0,0,0,0.177092816488856,0.0133025307873346
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0.00538054530319363,0,0,1.06115269763949e-08,0,0.564258816008326,0,0.29999978541596,0.00785840742739199,0.636467075816044,0,0,0.0267446413704912,0.100917491788961,0.0126454713385809,0.110284816338698
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0.0871039962827639,0.168547054665138,0.00827095655466916,0,0,0.00469851560127411,0,0,0,0,0,0,0,0,0.0179080348735897
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0.0779866057782265,0.0471143847108069,0.0388691569469317,0,0.00171721358780477,0.00261583388081935,0.302115633892108,0,0,0,0,0,0,0.127676488329689,0,0.0398730211417591
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0,0,0,0,0,0,0,0.0731438281685743,0.0189648034231848,0,0,0,0,0,0.00614057543945061
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0.849553641727725,0,0.456114041037183,0.621664432696029,0.060149343323212,0.163550309212852,0.701736491380435,1,0.00461968669095384,0.837293728433034,0.430049760523318,0.349059506151766,0.562341673684884,0.807321344555387,0.0817037265178904,0.461677179062311
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0,0,0,0,0.00568916746303494,0,0,0,0,0,0,0,0,0,0.000379277830868996
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0,0,0,0,0,0,0,0,0.021537378936448,0,0,6.10603902633654e-06,0,0,0,0.00143623233169829
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0,0,0,0.000681795480951874,0.00440243796376296,0,0,0,0.00408055009706618,0,0,0,0,0,0.000610985569452068
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0.00125363328704513,0,0,0,0,0,0.00563546817127297,0,0,0,0,5.87162305726252e-06,0,0,0,0.000459664872091691
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0.0245011570283063,0.084238217662861,0,0,0.00400972774217974,0,0,0,0.151408812375107,0,0,0.00354094577163382,0.622096730726591,0,0.059319706087112
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0.297401743286679,0,0,0,0.0139609241978312,0,0.00455535328324475,0,0,0,0,0,0,0,0,0.021061201384517
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0.0196835637844827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131223758563218
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ramosum",0,0.00737407619233819,0,0,0.00197099000545074,0,0,0,0.110648930007043,0,0,0.366695555717494,0,0,0,0.0324459701281551
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri",0,0,0,0,0,0,0,0,0.0176241652877688,0,0,0,0,0,0,0.00117494435251792
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0,0,0,6.91503573412251e-08,0.00125660454519298,0,0,0,0.00568613389332652,0,0,0,0,0,0,0.000462853839258456
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0,0,0,0,0,0,0,0,0.00776552380647729,0,0,0,0.0118138988267362,0,0,0.00130529484221423
