"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",2.66453938651045e-06,5.47308301842406e-07,0,8.76534824314213e-07,0,0,0,2.39315678228155e-06,8.53911028319091e-08,4.70304226645345e-06,NA,4.87602115461178e-07,9.06685390930266e-08,0,0,8.46303094199156e-07
"m__-_2-Hydroxypentanoate",0,3.90231597166035e-07,1.19268009039358e-06,3.88404281005344e-06,6.74116832346827e-08,0,0,0,7.14184484760918e-08,9.99889943196059e-07,NA,6.07843160568229e-07,1.19891753469299e-07,0,0,5.2381496332553e-07
"m__-_SDMA",0,9.31045030412763e-07,0,0,4.63852560002299e-08,0,0,0,1.50873816853005e-07,1.89056580138884e-06,NA,5.32782838804547e-07,2.14815947245903e-07,0,1.10482180273683e-06,3.47949320960151e-07
"m__C00003_NAD+",0,4.28821976714208e-08,0,0,0,0,0,0,5.91577382182638e-08,2.11626490949542e-07,NA,5.68051458738196e-07,3.58452983465586e-08,0,0,6.55402274231415e-08
"m__C00008_ADP",0,1.08061162691119e-06,0,0,0,0,0,1.27336526161695e-06,2.51218990650452e-07,1.83244858324737e-06,NA,1.34711522239702e-06,6.74999762770445e-08,0,0,4.18018547221431e-07
"m__C00019_SAM+",0,8.53627046467734e-08,0,0,0,0,0,0,3.46938595572572e-08,0,NA,6.78722181985962e-08,2.83304236611757e-08,0,0,1.54470861474145e-08
"m__C00020_AMP",0,2.46808657337364e-07,0,0,0,0,0,0,4.38229898635047e-08,0,NA,6.72367630432545e-08,1.11620268147441e-07,0,0,3.35349055993975e-08
"m__C00024_Acetyl CoA",0,1.14397250776513e-06,0,1.82532828807022e-06,2.47414529273611e-07,0,0,2.5957956005365e-06,2.13858770611446e-07,3.30014237561338e-06,NA,1.48765450657966e-06,1.38089026732725e-07,3.55650392887623e-07,0,8.07707571290735e-07
"m__C00029_UDP-glucose",0,3.1932307760549e-07,0,5.21098126638097e-06,0,0,0,2.91700797987781e-06,4.30328928678687e-08,2.4691508631537e-06,NA,9.74846131460894e-07,1.49588562417322e-07,0,0,8.63137912411718e-07
"m__C00043_UDP-N-acetylglucosamine",0,4.70481753679062e-07,5.76737536070677e-07,4.73715000671062e-06,4.25261724460322e-08,0,0,5.35712488166911e-06,6.83525941929142e-08,4.15566947724476e-06,NA,8.2074389062226e-07,1.00988821565641e-07,0,0,1.16641250958579e-06
"m__C00086_Urea",0,2.05428002242878e-07,0,0,0,0,0,0,8.6562708731823e-09,0,NA,8.88799760880882e-08,4.26000668758594e-08,0,0,2.46831654342863e-08
"m__C00093_Glycerophosphate",0,1.61295657069712e-07,0,0,0,0,0,1.39231606440125e-06,5.39973791435761e-08,0,NA,6.86841450286308e-07,6.12949796739826e-08,0,0,1.68267537898202e-07
"m__C00105_UMP",0,1.52569753212328e-07,0,1.90013439210315e-06,0,0,0,0,1.28287577937572e-07,0,NA,7.31787680113536e-07,1.32082611097358e-08,0,0,2.08999118891166e-07
"m__C00106_Uracil",0,3.66497864979662e-07,0,0,0,0,0,6.06839645922988e-10,3.71975712237957e-08,4.93072025379191e-07,NA,5.26925854290845e-07,8.92269458201838e-08,0,0,1.08109078667114e-07
"m__C00116_Glycerol",0,1.04562600257075e-06,0,2.99520056701612e-06,0,0,0,1.59189079649811e-07,3.94869153431417e-09,3.2365022728827e-06,NA,8.98574607385708e-07,1.24117563333329e-07,0,0,6.04511341740909e-07
