"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.298818846619265,0.222914936020435,0,0.0549603914596422,0.272466800667529,0,NA,0.120899398095507,0.160102021208246,0.633294650143404,0.307651512402497,0,0.244282547229238,0.133755428894393,0,0.174939038052868
"m__-_2-Hydroxypentanoate",0.15316252483491,0.479569684581038,0.00802600450774056,0.402156698659596,0.697595914894834,0.318822861114403,NA,0.431230446932832,0.406998838953892,0.265792406635664,0.533734221167496,0.114896945669643,0.574071422414835,0.109732419830863,0,0.321127885014125
"m__-_SDMA",0.338045782457531,0.0667501658163041,0,0,0.673115295718602,0,NA,0,0.0320370008422994,0.311929301507141,0.0628821650674963,0,0,0,0,0.10605426510067
"m__C00003_NAD+",0,0,0,0,0.160377282679058,0.0424832878587509,NA,0,0.0359487433071985,0.0107154983445333,0.0890970690351033,0,0,0.0590837104985731,0,0.0284075422659441
"m__C00008_ADP",0.559931376829277,0.421392571078754,0,0.361716827547298,0.288927926613905,0.0262648296995862,NA,0,0.162157388642031,0.190168387376542,0.158665484278918,0.244375615144877,0.00101661330369709,0.0889557109987922,0,0.178826623679548
"m__C00019_SAM+",0,0.061867764110633,0,0,0.394130237609049,0,NA,0.382089415824953,0.375117299791908,0.134284861228389,0.406542323778253,0,0,0,0,0.125287993024513
"m__C00020_AMP",0.421620653926477,0.0897534928411487,0,0.229761867495226,0.0137193426473501,0.265270862804107,NA,0,0.405849401358783,0.172777707766703,0.0331374156674179,0,0.239610832303445,0,0,0.133678684057904
"m__C00024_Acetyl CoA",0,0.701197355349715,0,0,0.718222639764584,0,NA,0.55324852227322,0.373600244842836,0.155680252907054,0.497831940410835,0.397044718614818,0.415294199850137,0,0,0.272294276715229
"m__C00029_UDP-glucose",0.552870092433121,0.408503165693056,0,0.297112366080783,0.0153311795214564,0.635812894335238,NA,0.564312559796901,0.412585794692795,0.5972452519353,0.605057078517623,0.127336063469919,0.749279869572531,1,0,0.426103308289195
"m__C00043_UDP-N-acetylglucosamine",0.0363719853368162,0.0798374968780478,0,0.0374139021955658,0.363295359161333,0.0763400463980637,NA,0.995089605022383,0.0544977793185801,0.153098102024166,0.458677480497801,0,0.0190026465783872,0,0,0.162401743100796
"m__C00086_Urea",0,0,0,0.0595961742093493,0.0671920112206657,0.118025931063473,NA,0,0.173871776233656,0.345652846167643,0.0664687997854972,0,0.143269914557263,0,0,0.0695769609455391
"m__C00093_Glycerophosphate",0,0.0376427357458571,0,0,0.0696592891410941,0.00870840974221277,NA,0.054458744533161,0.0297273503253834,0,0.291643250630153,0.0922999203753213,0,0,0,0.0417242643209416
"m__C00105_UMP",0.00787852079691744,0.0529447300746512,0,0,0.193149318159419,0,NA,0,0.0893780361888815,0.137485068807704,0.0249299147688888,0.0680330866895058,0,0,0,0.0409856196775691
"m__C00106_Uracil",0,0.0778927280646101,0,0,0.119237460762569,0,NA,0.00858301501656276,0.0327552845441883,0,0.0620999821704884,0,0.000809431268119722,0,0,0.0215269929876099
"m__C00116_Glycerol",0.566603663848906,0.766714344499567,0,1,0.290900267954895,0.664699568338643,NA,0.408367812036093,0.471922821796706,0.73587467343529,0.531467765476163,0.0916527258061933,1,0.52827521116078,0,0.504034203882374
"m__C00140_N-Acetylglucosamine",0,0,0,0,0.233860146354875,0.0538645000324324,NA,0.277683243409896,0.170729545486652,0.174319883511921,0.0149442751202901,0,0.317234842326361,0.039936558203049,0,0.0916123567461055
"m__C00152_Asn",0.210858500074698,0.373852655559694,0,0.456587844340699,0.677110354022737,0,NA,0.41190940114988,0.468727179980181,0.131225235539372,0.344456634424509,0.173858407411385,0,0.0494544628818273,0,0.23557433395607
"m__C00153_Nicotinamide",0,0.0545192066962518,0,0.268342427827208,0.452050312153806,0.0944726584589517,NA,0.0127719015984924,0.246138764190098,0.299402293221393,0.380360016915093,0,0.082887766170031,0,0,0.135067524802237
"m__C00179_Agmatine",1,0.0748484522883124,0,0,0.505334178774039,0.471780997400694,NA,0,0.23702558349656,0.70286735430436,1,0.229554235096941,0,0,0,0.30152934295435
"m__C00214_Thymidine",0.113130890517196,0.136071204328318,0,0.137883833111536,0.280151627108943,0.105851816177815,NA,0.265032444269609,0.177244603051772,0.187982809023347,0.206421395776948,0,0,0.0356332184805086,0,0.117528845846142
"m__C00233_4-Methyl-2-oxopentanoate",0.131923813608606,0.307409508607788,0.106843220777151,0.165173045087899,0.594444011046403,0.0538379303478418,NA,0.697845348162827,0.141455679813469,0.0562546036753171,0.350911137643184,0.258277330531552,0.109668692034297,0.0724668726259245,0.235597442717957,0.234436331191444
"m__C00245_Taurine",0.0887106444209526,0.0219204724404402,0,0.064160698095164,0.346460316673322,0,NA,0.162691274660264,0.147811000049347,0.063790099669758,0.485896499983114,0.208112355726686,0.184879392654168,0,0.509392314537815,0.163130362065074
"m__C00253_Nicotinate",0.269739636011879,0.0575248909331171,0,0,0.0509640661070322,0.0910353057837374,NA,0.0330450613495885,0,0.161329475467835,0.0144688498878078,0,0.0177882001165892,0.156161339454502,0,0.0608612017937205
"m__C00262_Hypoxanthine",0.246831665148816,0.247732928157845,0,0.0354037301489131,0.405514544950913,0.130441374097218,NA,0.516347540483213,0.435463994831021,0.269609189854008,0.296313026369186,0,0.0183931468631767,0.288150363838831,0,0.20644296462451
"m__C00263_Homoserine",0.572367692349343,0.162793800011669,1,0.496774728536304,0.487341981841767,0.519173297010271,NA,0.418580634068214,0,0.34428976784116,0.715735652016966,0.0723820540002079,0.371651907883195,0.261864014946274,0,0.387353966464669
"m__C00294_Inosine",0.5580643705729,0.263505352504095,0,0.285818927275127,0.275267483758136,0.107999241472242,NA,0.286294749472832,0.354800116607404,0.51376764529297,0.572462904032776,0,0.0676991383209557,0.244879148387203,0,0.252182791264046
"m__C00295_Orotate",0.344883644183665,0,0,0,0.209149861527736,0.00929179361370404,NA,0.578475062652154,0.620995584285828,0.370176186859839,0.175314710526913,0,0.0950297474502642,0,0,0.171665470792865
"m__C00299_Uridine",0,0.247074840498828,0,0.0117356620008165,0.45414131098123,0,NA,0.0354921639204746,0.0628317067835425,0.21812581448785,0.191695581470232,0,0,0,0,0.0872212200102124
"m__C00329_Glucosamine",0.734745515312878,0.00938190014066788,0,0,0.337337478551561,0.0780035026356427,NA,0.485992778987947,0.287111849571981,0.447437790343036,0.301773032687117,0,0,0.181202073876382,0,0.204498994436229
"m__C00357_N-Acetylglucosamine 6-phosphate",0.177463654797259,0.0709206594550969,0,0.547131286098352,0.819853477069328,0.292418118432101,NA,0.571443501525128,0.366687900974954,0.466550739147473,0.4893260223215,0,0.434053441568786,0.11538880686139,0,0.310802686303669
"m__C00364_dTMP",0,0,0,0,0.0173355882700389,0.153736783185287,NA,0.19844854025106,0,0,0.548357410662901,0.00801958748870073,0,0,0,0.0661355649898563
"m__C00385_Xanthine",0.406346661263864,0.0967357254043609,0,0.158672184267075,0.265075315330363,0.16915343130364,NA,0.313885223669516,0.152177379486718,0.161430460627959,0.24474546058831,0,0.110355165450684,0.183161502154605,0,0.161552750681935
"m__C00398_Tryptamine",0.0489666690156499,0.239521527271871,0.744699181624324,0.146644516500492,0.909898327310221,0,NA,0.330663006283808,0.307634438846594,0.162226006595176,0.734527566017819,0,0.464766842615688,0.210466733636758,0,0.307143915408457
"m__C00423_trans-Cinnamate",0.628026438097045,0.704612749348471,0.419333418626613,0.603486555348174,0.635424639522584,0.403928899194102,NA,0.858566885792921,0.479029812833874,0.40381371658131,0.57519034989436,0.699523062799203,0.643597695267401,0.321382999200554,1,0.598279801607615
"m__C00429_Dihydrouracil",0,0,0,0,0.156153639487919,0.0603310844433873,NA,0,0.00291140604812146,0,0.0402487314715988,0,0,0,0,0.0185460615322162
"m__C00430_5-Aminolevulinate",0.847761309629599,0.456885111491226,0,0.567340050962266,0.335327341076825,0.54739774837583,NA,0.796863680488815,0.612614526595954,0.603407423133506,0.612521069635386,0.291135114350957,0.809075575322554,0.914523063857402,0,0.528203715351451
"m__C00440_5-Methyltetrahydrofolate",0.496871177252796,0.490514048893995,0.504370306980923,0.506580876153806,0.865642462528874,0.245943193598413,NA,0.0887379719841839,0.235777612007646,0.329021583847018,0.715785584532055,0.666099727178565,0,0,0,0.367524610354163
"m__C00588_Phosphorylcholine",0,0.126056865201342,0,0,0.717582584534682,0.0691171229569575,NA,0.151954327866594,0.195609218481275,0.0072231656865955,0.132305617459107,0,0.0793457655066155,0,0,0.105656761978083
"m__C00695_Cholate",0.136117371906075,0.141361470306619,0,0.133637020355022,0.456266965141499,0.0109946079595806,NA,0.116710271731255,0.0573787122911054,0.278359802493187,0.494129250753203,0.266627031792417,0.243872860648376,0,0.069733898969623,0.171799233167712
"m__C00785_Urocanate",0.0187610466029822,0.122810996770295,0,0.291853954517464,0.117247487631199,0.0557422972930251,NA,0,0.212328960146685,0.480773437819895,0.0135562334439006,0,0,0,0,0.0937910295875318
"m__C00847_4-Pyridoxate",0,0.58603394699352,0.0588337403902361,0,0.29813523822799,0.104819161175334,NA,0.784518944818907,0.200107268490455,0.702424743456008,0.053982637909585,0,0.0688741541925228,0.0118919319072323,0,0.204972983397271
"m__C00864_Pantothenate",0.0695699511709796,0.358028589140616,0,0.475844162261389,0.571623863893755,0.120146694037853,NA,0.399046318146801,0.0170410535597273,0.0890896883549176,0.158010253122424,0,0.366682373430082,0,0,0.187505924794182
"m__C01029_N8-Acetylspermidine",0.74069190545849,0.190472507429578,0,0.992793197674371,0.93449675069287,1,NA,0.364370029661824,1,1,0.920566147066157,0.331854379289624,0.838702834947762,0.497050134623492,0,0.629356991917441
"m__C01047_N-gamma-Ethylglutamine",0.371307608392561,0,0,0.110665265931624,0.413376927673779,0.231525292843408,NA,0.161186585598772,0.232017824956249,0.42908597617559,0.135628785447207,0,0,0,0,0.148913876215656
"m__C01118_o-Succinylhomoserine",0.306142911078271,0.0862540271799675,0.292226750548839,0.407296718351772,0.417443681144931,0.262103404138369,NA,0.00476095045247495,0.534840740115449,0.513323137260567,0.319495878064264,0,0.311980375415865,0,0,0.246847755267912
"m__C01879_5-Oxoproline",0.514786723786181,0.373571747828538,0,0.217682058358372,0.591280667709968,0.311747805130816,NA,0.217138886313497,0.225973074315339,0.555819423271494,0.31585054354374,0.440449014409221,0.131317953727644,0.382330194717339,0,0.305567720936582
"m__C01921_Glycocholate",0.165794331744507,0.186939134216764,0,0,0.277529473133313,0,NA,0,0.0123445522258521,0,0.166353764630189,0.123165728526837,0.167887385373658,0,0,0.0785724549893656
"m__C02043_Indolelactate",0.341730697291021,0.426481595149529,0,0,0.440997208713121,0.147054243793659,NA,0.20667877881163,0,0.496881365413619,0.173117499659833,0,0,0,0,0.159495813488029
"m__C02571_o-Acetylcarnitine",0.145230180513574,1,0,0.224358621971425,1,0.0539919768790222,NA,1,0.234437064820516,0.569711791494132,0.943414053894817,0,0.004982559072697,0,0,0.369723303474727
"m__C02656_Pimelate",0.589711202218679,0.56952698811345,0,0.743824975565085,0.548785997422175,0.430082836059921,NA,0.228329369546562,0.777515682361048,0.976640411602415,0.602035518868317,0,0.656496918399378,0.22914127962222,0,0.453720798555661
"m__C02679_Dodecanoate",0.128847403292008,0.222331326961502,0,0.0509801679190608,0.323658753006108,0.054762316152618,NA,0.24102529493185,0.373712076594993,0.309968613337757,0.00174558522180299,0.101236555357404,0.265444082900602,0,0,0.148122298262551
"m__C02712_N-Acetylmethionine",0,0,0,0.0188345703365173,0.525407843042897,0.129750901752292,NA,0,0.637581505945818,0,0.549488919775367,0,0.602235242766009,0,0,0.17594992740135
"m__C02713_N-Acetylmuramate",0.083345229338241,0,0,0.130173872044619,0.152770487690875,0.108531774361643,NA,0.0610235403017226,0.145257204452866,0.383388656160179,0.0292348407364348,0,0,0,0,0.0781232575061843
