"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0.000858857074090615,0,0.00064676982583201,0,0,0,0,0.000488274977171206,0,0,0.00184740786913696,0,0,0,0.000256087316415386
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,2.44455743754525e-05,4.15079444326927e-05,2.9076333393632e-05,0,0,0,0,5.67146973372022e-06,5.1152515413315e-05,0,3.71319031932106e-05,0,0,1.97736482935843e-05,1.39172925890405e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0.00265841476251647,0.00130399478110076,0,0,0,0,0,0.0012200651311701,0,0,0.00127381599587006,0,0,0,0.000430419378043826
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0.00106775842841538,0.00217252830573698,0.00360202849664993,0,0,0,0,0.000219039685477133,0.00400855402604832,0,0.00215096506902862,0.00192695163446227,0.00123357677435382,0.00333281115629156,0.0013142809050976
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0.00158271865959872,0.000441947208522755,0.00257381314317307,0,0,0,0,0.000125098583389748,0.00104020484386086,0,0.0015231365856229,0,0,0,0.000485794601611204
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0.00276635104358398,0.00747558459172144,0.00793734414047398,0,0,0,0,0.000664217670146966,0.00771404281499356,0,0.00333746963734699,0.000987214550345165,0,0.00184144430506438,0.00218157791691176
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0.00484292355751787,0.00244940574991576,0,0,0,0,0,0.00281359138454194,0,0,0.0106229943360166,0,0,0,0.00138192766853281
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0,0.000510820734416593,0,0.00124815034515887,0.00072901210093077,0,0,0,0.000109834043674461,0.00079983258145603,0,0.000902935452552371,0.0002637101960658,0,0.000781455868754242,0.000356383421533943
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0.00217948065343197,0.00379964900977977,0.00402163077923635,0,0,0,0,0.000396718632761158,0.00439025865727704,0,0.00279201819507911,0.00020923488305126,0,0.00178474619986831,0.001304915800699
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0,0.000705046350360186,0,0,0,0,0,0,0.000109411043580946,0,0.00741437702497896,0.000824160617334937,0,0,0,0.000603533002417002
