"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.0176553380883487,0.153874468897459,0.0172664469961411,0.0157310453224861,0.215627401714921,0.0498858567594767,0.114939491852289,0,0.0272286312974037,0.0758617516649168,0.0750319040321881,0.110150442908865,0.010956848470438,0.075783083552259,0.0546280912281788,0.0676413868523581
"m__-_2-Hydroxypentanoate",0.0110876347247949,0.0645338173896634,0.0808216859397531,0.0310615569696962,0.203830046033644,0.057926127084732,0.0789620624596999,0.052929173137703,0,0.141925422419998,0.0327163001949635,0.277538475156873,0.0422785722079737,0.039789601543408,0.0221279617400778,0.0758352291335321
"m__-_SDMA",0.00691667194552425,0.281346124348699,0.081744675911658,0.0185659503841326,0.116724087934904,0.116061233386383,0.217242584078598,0.0304903715581281,0.116225440737419,0.0712417615896278,0.0644629136253336,0.143546666739085,0.114918920609105,0.101558961113214,0.0649065923199727,0.103063530418786
"m__C00003_NAD+",0.0336434866020093,0.245535161038224,0.123350919469403,0,0.34656473754411,0.121638386883621,0.160884357777259,0.0823249050221355,0.156611527900111,0.048550933613913,0.0791211676103173,0.205786423052641,0.074956555065054,0.156516648076188,0.010668838696109,0.12307693655674
"m__C00008_ADP",0.0451722637321648,0.273302855694693,0.0838586371710489,0.0185757008025267,0.231953515951461,0.0952724347140022,0.0771865993158538,0.0566827445487596,0.102758113535115,0,0.0320310243610945,0.32259388918855,0.112530776596719,0.17206538955591,0,0.108265596344527
"m__C00019_SAM+",0.0703526396132027,0.152889026569198,0.191985164309648,0.0283299540810829,0.511741882460446,0.0442219603588374,0.0503412263985329,0.142092652053003,0.166811816698646,0.24370882491582,0.0838922967842874,0.316418627086558,0.226559324165557,0.471385404194197,0.438949696051526,0.20931203304937
"m__C00020_AMP",0.0343543011112435,0.14078965787346,0.117073986912688,0.0187932584268684,0.222519040067652,0.0897817279218077,0,0.133527090193614,0.0423277647818318,0,0.215088661985916,0.341195688006421,0.0851171626848525,0.0329887044160033,0.0413499797668933,0.10099380160995
"m__C00024_Acetyl CoA",0.0135840742202845,0.182516059602343,0.0672616150136349,0.00493557267699984,0.135783791753705,0.0887033928078777,0.0472478090528918,0.0500807522130416,0.191947684242716,0.070233096529339,0.0488366589538155,0.165913978755449,0.0244956153654575,0.0890809265827468,0.0269851831805032,0.0805070807300537
"m__C00029_UDP-glucose",0,0.0863566216771165,0.0163576866279232,0.00465634211293282,0.0280859564111658,0.0520211146785555,0.105290543349641,0.00464615185647667,0.01916465416407,0.0732995498595287,0.0142663274832465,0.239174940919884,0.0193341005669617,0.00456766676529276,0.00583452116193459,0.0448704118423153
"m__C00043_UDP-N-acetylglucosamine",0.0791769455836182,0.118604838462494,0.00859638186152118,0.00962631830381721,0.206906508570381,0.105821042334321,0.0429489076094593,0.103463617031199,0.0953968464008832,0.0992502263414829,0.0616443794537412,0.177770492463484,0.0251094444114204,0.20259885789976,0.172922200294978,0.100655800468171
"m__C00086_Urea",0.0144621322497325,0.21768754605221,0.107990616605864,0.0888790580585583,0.247950235033911,0.035326738447577,0.0916360084086174,0,0,0.0538023196523539,0.047630940573927,0.261124030819008,0.0102720454410356,0.0643218699194614,0.17109557469798,0.0941452743973491
"m__C00093_Glycerophosphate",0.0371332462335989,0.16976573343068,0.0608130575325721,0.0691928520568663,0.125550548067488,0.0422278666556537,0.0583979855106503,0.0674814089047168,0.0470206256598175,0.101643909041479,0.131313520669605,0.198364009591272,0.0123264545292427,0.101707371303118,0.0536140240389654,0.0851035075483817
"m__C00105_UMP",0.0497666927035571,0.390294360525762,0.164026700995298,0.0303850554285665,0.233789588047084,0.0173356505217947,0.265853735930927,0.240592906108005,0.112164508072323,0.0588739421594338,0.0744731115489072,0.262459609001534,0.0374880573065971,0.0801923017840031,0.0500842705456226,0.137852032711961
"m__C00106_Uracil",0.00688672964272977,0.0384118739278083,0.0501083933128724,0.00496290188107909,0.239008965811879,0.0892140499678395,0.0113551638492931,0.126592884486681,0,0.0125631244938776,0.0904295774101893,0.309762914698169,0.0211735054311543,0.111114725723654,0,0.0741056540424818
"m__C00116_Glycerol",0.0137122439108575,0.0943496381959838,0.0176072321342229,0,0.0273057909553001,0.0137240566630875,0,0.016726146683316,0,0.0520587202329072,0.046527963024841,0.0662510873092138,0.0240310956443231,0.0774965814625581,0.0114731750416193,0.0307509154172154
"m__C00140_N-Acetylglucosamine",0.0488147398065786,0.263584568473918,0.0930732546706051,0.0704847037314087,0.199096452485013,0.361697896296019,0.318349937575444,0.11315422035073,0.101204336672073,0.0722868867623644,0.130384451538738,0.203636598505089,0.117354268516268,0.130218570063171,0.030751358594667,0.150272816269473
"m__C00152_Asn",0.11030975459613,0.207038741367044,0.185351279253226,0.0295266649120052,0.224439860051095,0.0432677120207479,0.165270537223888,0.121533711250711,0.0621625144622071,0.0576343254412813,0.0513684041931827,0.541719407617468,0.0914927504373431,0.244991098510189,0.024830126298722,0.144062459175683
"m__C00153_Nicotinamide",0,0.289708113371106,0.0694704810444686,0.0253226062833543,0.249630011377211,0.0441526469413471,0.0193635425640578,0.0779678291405313,0.123352781494066,0.134570178916143,0.0258696071696204,0.263774362176061,0.0130438672267119,0.135823085066035,0.0926784742679585,0.104315172469245
"m__C00179_Agmatine",0.0407621353777634,0.025420996857333,0.270912530246826,0.0654309349205362,0.235116182157551,0.1291603937793,0.369659139536082,0.0152451857790641,0.168465842428371,0.131032663103087,0.219105904016464,0.491503381175314,0.0232833029996807,0.0558377228430876,0.150672359074187,0.15944057828631
"m__C00214_Thymidine",0.0413168562332659,0.202153000744159,0.0366028481643343,0.00505362213951409,0.283309943349327,0.129016833651863,0.548350014067183,0.132051922757068,0,0.128187598153778,0.179394003431335,0.714844120330375,0.11204130190972,0.11945978431784,0.0723605487625235,0.180276159867486
"m__C00233_4-Methyl-2-oxopentanoate",0,0.0119628220505097,0.0121168049095727,0.0185032688141033,0.128247018180449,0.0176677511065034,0.110960678487636,0.0978781709819146,0,0.0549195054461474,0.0803201923812573,0.0968860513158442,0.106360521748892,0.0752258549967277,0.0186704677181907,0.0553146072091832
"m__C00245_Taurine",0.117358777917501,0.432829152833829,0.85657969283227,0.125550707481285,0.230585518258291,0.201254263665616,0.300411413633725,0.0977422770830206,0.24706099574654,0.399557633555991,0.231239258846981,0.829994539033875,0.403102982056158,0.356135249121043,0.493483761256311,0.354859081554829
"m__C00253_Nicotinate",0.0054232995936497,0.150757127721216,0.0432664351933379,0.00469083353599159,0.272904252122431,0.105967085384192,0.0702938714480051,0.0736144162052534,0,0.0848015777120626,0.0478382418295361,0.189064304406093,0.0743684490121647,0.12422664908719,0.0310608690220809,0.0852184941515469
"m__C00262_Hypoxanthine",0.0727958626553095,0.330584905196454,0.125981540548575,0.0321468649807114,0.204921297119922,0.0524456619565623,0.266921535882329,0.0579939312085213,0.272645673587983,0.12323084997056,0.193420745584332,0.382432971580647,0.161869094988068,0.206661608181979,0.0747479883622729,0.170586702120282
