"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.215181240791446,0.134737012350827,0.163195142872755,0.195825863335122,0.154726395938279,0.141433926088447,0.188016478168574,0.218442697203942,0.264104058154315,0.220757180467542,0.178537090174754,0.0814455108633446,0.25202178543929,0.253645933640241,0.197252527918837,0.190621522893848
"m__-_2-Hydroxypentanoate",0.467038579674537,0.345693651044232,0.382941132947004,0.296829561465167,0.325355032091144,0.339350278069822,0.299269547596806,0.336462835804518,0.3599031828164,0.310545907560222,0.418233859644152,0.197878229676781,0.442209959119996,0.398730190722381,0.369005905436741,0.352629856911327
"m__-_SDMA",0.448160848120216,0.51625042402782,0.446077832937612,0.459041369840537,0.563719980849393,0.548775512910488,0.695626295211856,0.6065372988933,0.636109975588321,0.649042432921846,0.504764790682831,0.414406087966893,0.617712552548059,0.705655899690899,0.616254398258977,0.56187571336327
"m__C00003_NAD+",0.469644762512257,0.377301600016304,0.434204870860621,0.452541275137965,0.370058023555671,0.46547784034346,0.48295490373232,0.58768154313351,0.513221711337594,0.425237243459777,0.496136640176329,0.331271792971151,0.44633792071589,0.622935519815772,0.375927527746486,0.456728878367674
"m__C00008_ADP",0.346824116374726,0.346800990487711,0.226070137334243,0.303076573343773,0.260586592508443,0.315432496469529,0.299961360414907,0.355371442939402,0.394722726035266,0.283622916915882,0.270773964056959,0.216548933423167,0.331011403245523,0.373174038532052,0.237269354116387,0.304083136413198
"m__C00019_SAM+",0.654777018208158,0.613187709657394,0.557751304643698,0.615470365015172,0.794377929361967,0.503088737064291,0.870334273317264,0.823899201299271,0.732489087910157,0.652091417019565,0.499693235647502,0.553384893106797,0.625473500974495,0.730940898174186,0.724362290005594,0.663421457427034
"m__C00020_AMP",0.467622874972471,0.440920811895215,0.412742301625055,0.443403848272242,0.460703784195315,0.40228145987665,0.559414192737153,0.457344294309034,0.406579682593871,0.484691241314103,0.454688960464236,0.271881740067961,0.359701782219576,0.448279828233038,0.467608421830653,0.435857681640438
"m__C00024_Acetyl CoA",0.397079693618176,0.441344413439141,0.384216750693997,0.243049584413946,0.371791165876222,0.302325694680208,0.316444923071301,0.520624150844156,0.525151452224604,0.416874119536528,0.382072558136798,0.326596165129036,0.38776454292187,0.357501031895268,0.280338815830205,0.37687833748743
"m__C00029_UDP-glucose",0.166001154800779,0.216751164192283,0.276660876168735,0.249355873278789,0.367866962517916,0.212042744680764,0.229255194197482,0.379679911471112,0.260323211579851,0.254591456029134,0.196949853450602,0.164183211473788,0.283995469982541,0.283035743169249,0.205693903666244,0.249759115377285
"m__C00043_UDP-N-acetylglucosamine",0.564731188344382,0.466640031124329,0.406903500258205,0.389961896355656,0.508464793180295,0.297278311050116,0.472744723713673,0.492287185604371,0.533164177114972,0.473311893432625,0.501667075381783,0.247024638826127,0.49999081946312,0.536946534886588,0.348393152189005,0.449300661395017
"m__C00086_Urea",0.564156773555048,0.591887114901362,0.740417775168221,0.547534430537082,0.467857053054967,0.496647366896072,0.558748224573827,0.764551023197476,0.383628223470203,0.525810517004439,0.60673396062406,0.385438853450826,0.465944390115353,0.543773077877831,0.673257107216393,0.554425726109544
"m__C00093_Glycerophosphate",0.305820443926149,0.27593271149952,0.317591290442431,0.370843490787737,0.310488008981556,0.348468977145652,0.477318182943575,0.580883467355188,0.319550524067855,0.27137198559236,0.433601255842784,0.197719876585647,0.355506189590279,0.357353754875614,0.354420680591615,0.351791389348531
"m__C00105_UMP",0.601366673491677,0.353532573639076,0.550554165927684,0.537154433159948,0.495485084019221,0.451415699749101,0.45691034546904,0.560159766193343,0.614648615984381,0.44900946292936,0.397393469530575,0.342690551288599,0.46101488244172,0.529189585673626,0.361231332834326,0.477450442822112
"m__C00106_Uracil",0.361822415535619,0.290604600601196,0.315345423138883,0.385278073348593,0.352383645001185,0.248008487120222,0.438929479810175,0.392111412723825,0.284225236739431,0.298337557395509,0.203895690238067,0.244314406484676,0.33120684637975,0.323065783753886,0.309038263888512,0.318571154810635
"m__C00116_Glycerol",0.285921349186611,0.330498407788778,0.214756962453232,0.281436737704638,0.193875641435484,0.274739189032576,0.24269571220825,0.313117843196779,0.225009875711786,0.336432894882067,0.176916334942136,0.191202638425398,0.1574632418119,0.306683137105586,0.1832758005484,0.247601717762241
"m__C00140_N-Acetylglucosamine",0.912212196141307,0.799034596683983,1,0.722838806165761,0.769556198186489,0.712940661047373,0.707245025251718,1,0.735109838555686,0.707959494091378,0.612127080929798,0.570925755607076,0.991963110728022,0.896357798121854,0.835127842242915,0.798226560250224
"m__C00152_Asn",0.669839625603708,0.598383760218356,0.605748387896381,0.618214442628396,0.707736386271975,0.48389505564413,0.688299220266462,0.637213057287385,0.703974833316746,0.635400301944695,0.748814273733553,0.371517378766917,0.607981579306395,0.785030318142316,0.527475559143066,0.625968278678032
"m__C00153_Nicotinamide",0.607044970542171,0.484456807379983,0.377398750963578,0.547423624145521,0.439305966407541,0.438978152232674,0.705201179123871,0.450462033560854,0.596675497743905,0.519606412355688,0.506624262675349,0.310231787235131,0.500395524633403,0.559603320984753,0.412159470504684,0.497037850699274
"m__C00179_Agmatine",0.723846803847185,0.622622153806329,0.775145021802411,0.642961282366897,0.716721092884483,0.527916813789625,0.837990035786686,0.819676734976758,0.755122404675184,0.637448260001292,0.688604023172879,0.49917158001218,0.690247566163512,0.631309527691012,0.66525097134865,0.682268951488339
"m__C00214_Thymidine",0.683422402331431,0.441796067083727,0.651975322099058,0.539589521281524,0.7697746667777,0.532343934523784,0.781035121754185,0.765900767584372,0.764239728539849,0.603819204093137,0.632828511017275,0.431635651905597,0.600562963745326,0.879560674693565,0.4638049527901,0.636152632681375
"m__C00233_4-Methyl-2-oxopentanoate",0.283064596029794,0.290633240080231,0.273476761076594,0.321051113683689,0.248163382816363,0.300482229507028,0.444917906207618,0.316157813523285,0.276896927331239,0.20345047788725,0.179603518392225,0.263068293384811,0.304801514536986,0.242760615528952,0.338371915557667,0.285793353702915
"m__C00245_Taurine",0.897373258981088,0.71466368739627,0.995452701942917,0.921355946062484,0.851850555680386,1,0.816323601562411,0.918999808037847,0.970266581128142,1,0.943688666605428,1,1,0.836428425389979,0.975479332403725,0.922792171012712
"m__C00253_Nicotinate",0.53642705077083,0.561001815890339,0.468520456798115,0.453144488566066,0.636750767519215,0.490542076332915,0.724601959724449,0.598696516828432,0.596088559398193,0.53683446504068,0.602593605090768,0.427492320484272,0.777270090886819,0.540333927510087,0.478784483349236,0.561938838946028
