"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0.616225778028983,0.17394588626354,0.0247533963500534,0.159636142844423,0.340546639281736,0.570024743254078,0.366364634466803,0.185208600848698,0.240105527558473,0.362404610265141,0.0294991339370003,0.186956785938808,0.216644891742026,0.120332501557226,0.188870476231741,0.252101316571249
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0.494641839339835,0.333571600377904,0.293791545974595,0.294300612402859,0.237149165425066,0.125159952532608,0.285279512468081,0.150924659742908,0.441016027346557,0.387765937291439,0.152369588714041,0.231561710206989,0.153581494788751,0.453652926993082,0.0620362859330915,0.273120190635854
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.463162592130289,0.359189640533646,0.225617664108013,0.169445021236732,0.187955879361062,0.0417689964550244,0.341893470133595,0.11903936828831,0.182408120814596,0.44482191156352,0.0562331471777015,0.207759175127597,0.359266646678375,0.354921889950259,0.0948806587440086,0.240557612153515
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0.0689386321113946,0.105718102392706,0.124349107600527,0.0162735791658659,0.0617746807443511,0.0620885176591764,0.214455232795732,0.0997755200276754,0.142353553243291,0.239168499268221,0.0778759218461749,0.122150421542454,0.202440858664057,0.092913202768018,0.0972902723277262,0.115171073477158
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0.303518573881861,0.444954029347726,0.0951662666949042,0.0880285974070317,0.130820620473223,0.246006752673843,0.34445551866383,0.155730147584548,0.186437792669204,0.0786147793786531,0.0617273665475954,0.243095854786397,0.222086195995509,0.21466681998083,0.0616053065321536,0.191794308174487
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0.789972238454879,0.0820868480686783,0.338425182474008,0.361300969539477,0.105975443462701,0.207225102782405,0.245190708200566,0.161042111627632,0.224311696090737,0.335869070055379,0.153894700922573,0.0973180057877376,0.238359921454164,0.441066503538937,0.0602581636214458,0.256153111072088
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.244522375590925,0.403313663821504,0.379393347559024,0.0808692724057293,0.210252487835962,0.087940139361076,0.516423958360324,0.193116484088237,0.27112975093961,0.544300299839378,0.0920530528360126,0.284692478376852,0.379836648951698,0.523188147868559,0.0674450997935805,0.285231813841898
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0.316222918671553,0.249938007689684,0.276275285731175,0.162667751800271,0.250621477263452,0.151354707254983,0.256224449152014,0.166080725593658,0.440378853055967,0.179762271579215,0.121308595281835,0.192270368924192,0.332573336757021,0.415110378219317,0.116981668042901,0.241851386334483
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0.369274908935995,0.479894387949698,0.252431424628869,0.173470084918525,0.168283223487923,0.190472527509346,0.17296775191105,0.388434170656148,0.353345186584101,0.191150031989108,0.116953971441419,0.115343122823916,0.83241984562391,0.401981789128283,0.0909399100739563,0.286490822510816
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0.120548305591304,0.30630986076053,0.0360008751590639,0.0574180896186802,0.129298798805315,0.145692407366107,0.167812333339233,0.132782071866837,0.251625838436839,0.0168297547870386,0.0362071403565308,0.187717031292421,0.0652515721090034,0.283032800146789,0.0225491854873315,0.130605071008201
