"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,NA,0,0,0.0247815517923754,0,NA,0,0,NA,0,0.00206512931603128
"m__-_2-Hydroxypentanoate",0,0,0.386436165422365,0,0.143492829360411,NA,0.0839405154002136,0,0.0523583766735092,0,NA,0,0,NA,0.0255501320860026,0.0576481682452085
"m__-_SDMA",0,0,0,0,0,NA,0.222814138559927,0,0.0114878997668849,0,NA,0,0,NA,0,0.0195251698605677
"m__C00003_NAD+",0,0,0,0,0.00615433645740182,NA,0.14948869431146,0.207377944391394,0.0161680113920761,0,NA,0,0,NA,0.0246692497289716,0.0336548530234419
"m__C00008_ADP",0,0,0,0,0,NA,0,0,0.0690934360906704,0,NA,0,0.0465492998907294,NA,0,0.00963689466511665
"m__C00019_SAM+",0,0,0.160155055878769,0,1,NA,0.602821292730043,0,0.531457282740793,0,NA,0.428833848881456,0.167681295097901,NA,0.546921657376625,0.286489202725466
"m__C00020_AMP",0,0,0,0,0.0391887885096559,NA,0.0363828470897376,0,0.0202239319446113,0,NA,0,0,NA,0,0.00798296396200039
"m__C00024_Acetyl CoA",0,0,0,0,0,NA,0.0857558598202608,0,0.0589891288095104,0,NA,0,0,NA,0,0.0120620823858143
"m__C00029_UDP-glucose",0,0,0,0,0.0117162106979543,NA,0.0429650960488583,0,0.011313500894333,0,NA,0,0.0372332593196173,NA,0,0.00860233891339691
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0,0.00905923560694485,NA,0.12360655663943,0,0.0119185024417554,0,NA,0,0,NA,0,0.0120486912240108
"m__C00086_Urea",0.0537161783995511,0,0,0,0.0565758436821688,NA,0.3171462810314,0,0.011053444513584,0.648369463483861,NA,0,0,NA,0.217323921043904,0.108682094346206
"m__C00093_Glycerophosphate",0,0,0,0,0.00686965777434655,NA,0,0,0.00693926736668663,0,NA,0.024433874913596,0,NA,0,0.00318690000455243
"m__C00105_UMP",0,0,0,0,0.140649532028608,NA,0.12397966835847,0,0.0659799918695107,0,NA,0.0448227924531775,0.258269503468833,NA,0,0.0528084573482167
"m__C00116_Glycerol",0,0,0,0,0,NA,0.175660283407125,0,0,0,NA,0,0,NA,0,0.0146383569505937
"m__C00140_N-Acetylglucosamine",0,0,0.651464913440104,0,0.24022128438843,NA,0.479101904179115,0,0.0983125647780983,0,NA,0.0261137901973874,0.337533788598144,NA,0.0257578067155995,0.154875504358073
"m__C00152_Asn",0,0,0,0,0.749098778619425,NA,0.122278040747273,0.748043384668786,0.461568568813709,0,NA,0.0371666850732302,0,NA,0.0868422681483479,0.183749810505898
"m__C00153_Nicotinamide",0,0,0,0,0.0358638792351815,NA,0.327094717012826,0,0.125199010213092,0,NA,0,0.122250250510852,NA,0.0497905863176643,0.0550165369408014
"m__C00179_Agmatine",0.125690777999971,0,0.168130017806419,0,0.143167077739206,NA,0.310726125769411,0,0.075567646046993,0,NA,0.0248088593419719,0,NA,0,0.070674208725331
"m__C00214_Thymidine",0,0,0,0,0.0573843718727001,NA,0.43379758947962,0.728442310280649,0.0220369312244285,0,NA,0.018482410474255,0.0708061941359548,NA,0.0323980399886219,0.113612320621353
"m__C00233_4-Methyl-2-oxopentanoate",0,0,0,0,0,NA,0.104406256374261,0,0.0146348449535925,0,NA,0,0.0377303521164504,NA,0.0192516391663985,0.0146685910508918
"m__C00245_Taurine",0.322497448631519,0,1,0,0.927976825659871,NA,1,0,1,0,NA,1,1,NA,1,0.604206189524283
"m__C00253_Nicotinate",0,0,0,0,0,NA,0.304925368657236,0,0.052433129411993,0,NA,0.0274568099025997,0.230474867393918,NA,0,0.0512741812804789
"m__C00262_Hypoxanthine",0.0549628061113738,0,0.199389015831959,0,0.0225558457336864,NA,0.205626912278176,0,0.186685431555043,0,NA,0,0,NA,0.0734081793346126,0.0618856825704041
"m__C00263_Homoserine",0,0,0.124381720692662,0,0.333686255879257,NA,0.909187514248347,0.315068400172861,0.163440756936872,0,NA,0.153473088453727,0.380394749002026,NA,0.211296369599497,0.215910737915437
"m__C00294_Inosine",0,0,0.544280306364774,0,0.25415443401984,NA,0.369732731003204,0,0.135222548668418,0,NA,0.232158238597052,0.206435076553261,NA,0.131194575381973,0.15609815921571
"m__C00295_Orotate",0,0,0,0,0,NA,0,0,0.0614099371441802,0,NA,0,0,NA,0,0.00511749476201502
"m__C00299_Uridine",0,0,0,0,0.0228157044425116,NA,0.282237560442989,0.563360915666586,0.101471203021303,0.345165894146404,NA,0.0232176653377785,0.243136465990006,NA,0.0251198145832845,0.133877101969238
"m__C00329_Glucosamine",0.169229175781615,0,0,0,0.060789102439762,NA,0.355654944026493,0,0.161316077051412,0,NA,0,0.216931252709537,NA,0.0857702682630131,0.0874742350226526
"m__C00357_N-Acetylglucosamine 6-phosphate",0,0,0,0,0.0146342631963957,NA,0.047897071439713,0,0.0215562262806382,0,NA,0,0,NA,0,0.00700729674306224
"m__C00364_dTMP",0,0,0,0,0.0478282940566506,NA,0.0216878967039823,0,0.0249279008614541,0,NA,0,0.0352878595716684,NA,0,0.010810995932813
"m__C00385_Xanthine",0.241626680369544,0,0,0,0.169435664515117,NA,0.271181292970015,0,0.0264366980702296,0,NA,0,0.12169951483167,NA,0,0.0691983208963813
"m__C00398_Tryptamine",0,0,0.181255465408641,0,0,NA,0.0128709707173968,0.309914334426351,0.0328235019401213,0,NA,0,0,NA,0.027084857270032,0.0469957608135451
"m__C00423_trans-Cinnamate",0.854185362457298,0,0,0,0.0374869389893578,NA,0.533788800499142,0.796937099234838,0.184612819356742,0,NA,0.177207612560245,0.198397362930305,NA,0.227257361764115,0.250822779816004
"m__C00429_Dihydrouracil",0,0,0,0,0.00859147440270403,NA,0,0,0.0257499136031163,0,NA,0,0,NA,0,0.00286178233381836
"m__C00430_5-Aminolevulinate",0,0,0,0,0.0300440512822606,NA,0.154450388754904,0,0.0400024419119213,0,NA,0,0,NA,0.0162074456201507,0.0200586939641031
"m__C00440_5-Methyltetrahydrofolate",0,0,0,0,0.00353544535123631,NA,0,0,0.0758877671090611,0,NA,0,0,NA,0,0.00661860103835812
"m__C00588_Phosphorylcholine",0,0,0.166885832671417,0,0.00504839658749749,NA,0.155444818401065,0,0.0663570456606487,0,NA,0,0,NA,0,0.0328113411100524
"m__C00695_Cholate",0.082658457030617,0,0,0,0.592174542973881,NA,0.408881309768067,0,0.0586409065871259,0,NA,0.0491459108011358,0.25169525282875,NA,0.152988560794538,0.13301541173201
"m__C00785_Urocanate",0,0,0,0.00938179837677638,0.264103806257235,NA,0.505092629255006,0.299041628569662,0.0844224136158985,0,NA,0.0815262607427771,0.255888225952398,NA,0.032418461156354,0.127656268660509
"m__C00847_4-Pyridoxate",0,0,0.536097636711006,0,0.14122829601766,NA,0.227881135788249,0.698694101080259,0.0457816486758373,0.193062346547983,NA,0,0,NA,0.0265726367120077,0.155776483461083
"m__C00864_Pantothenate",0,0,0,0,0.0990089382101006,NA,0.0115539959864656,0.306040843880528,0.0406310431515914,0,NA,0,0.232494419387098,NA,0,0.0574774367179819
"m__C01029_N8-Acetylspermidine",0.0668731799079173,0,0.49944873418155,0,0.241154471997761,NA,0.0561965986945514,0,0.0634799342194162,0,NA,0,0.119902587844094,NA,0.0401766330284604,0.0906026783228126
"m__C01047_N-gamma-Ethylglutamine",0,0,0,0,0,NA,0.0195872328809858,0,0.00855305834273039,0,NA,0,0,NA,0,0.00234502426864302
"m__C01118_o-Succinylhomoserine",0,0,0,0,0,NA,0,0,0,0,NA,0,0.0846200581240275,NA,0,0.00705167151033562
"m__C01879_5-Oxoproline",1,0,0,0,0.0698589486274087,NA,0.213504178515292,0,0.102045127972254,0.279589439671591,NA,0.0315851165513463,0.206959217759986,NA,0.0540797981151414,0.163135152267752
"m__C01921_Glycocholate",0.171838917711236,0,0.179266988969864,0,0,NA,0.221590625487443,0.62468327534308,0.0149740609790875,0,NA,0,0.063751830307042,NA,0,0.106342141566479
"m__C02043_Indolelactate",0,0,0,0,0.00928042455144793,NA,0.0321493106799611,0,0.00864994343508375,0,NA,0,0,NA,0,0.00417330655554107
"m__C02571_o-Acetylcarnitine",0.0879828936234505,1,0.778219266803777,1,0.690898635687568,NA,0.450356988589324,1,0.562861976074115,1,NA,0.301643278826897,0.430328367696084,NA,0.472758073108886,0.647920790034175
"m__C02656_Pimelate",0.679306966404648,0,0,0,0.256558489635843,NA,0.61666168724428,0,0.176409563070716,0,NA,0,0.162533237612016,NA,0,0.157622495330625
"m__C02679_Dodecanoate",0,0,0,0,0.072642156769662,NA,0.00717088286508765,0,0.107237281997863,0,NA,0,0.0569968186499287,NA,0.0241224308459573,0.0223474642607082
"m__C02712_N-Acetylmethionine",0,0,0,0,0,NA,0.229874944506437,0,0.0171568702895829,0,NA,0.0234655623057245,0,NA,0.0260618289672027,0.0247132671724123
"m__C02713_N-Acetylmuramate",0,0,0,0,0.348871301522861,NA,0.171537396661987,0,0.052091774333218,0,NA,0,0,NA,0,0.0477083727098389
"m__C03264_2-Hydroxy-4-methylpentanoate",0,0,0,0,0.0781234943041105,NA,0.293105929712153,0,0.115654097972188,0,NA,0,0.0365480016296667,NA,0,0.0436192936348432
"m__C03406_Argininosuccinate",0,0,0,0,0.0357208658548857,NA,0.207034573989417,0,0.00664136914435469,0,NA,0,0.0358637692121975,NA,0,0.0237717148500713
"m__C03570_Mannosamine",0,0,0,0,0.0918190379145649,NA,0,0,0.175855170023954,0,NA,0.0261463735125607,0.165905460548016,NA,0,0.0383105034999246
"m__C04501_N-Acetylglucosamine 1-phosphate",0,0,0,0,0,NA,0,0,0,0,NA,0.0177760010787561,0,NA,0,0.00148133342322967
"m__C05122_Taurocholate",0,0,0,0,0.0597138691994272,NA,0.016184122016846,0,0.0513957374824428,0.283659047030323,NA,0.021751054597483,0.153938699287049,NA,0,0.0488868774677976
"m__C05582_Homovanillate",0,0,0,0,0.0870726685327905,NA,0.114940501901779,0,0.0830998134954228,0,NA,0,0.121709078823825,NA,0.0262927659898546,0.036092902395306
"m__C05598_Phenaceturate",0,0,0,0,0,NA,0.0373779966523883,0,0.0528145363069861,0,NA,0,0.037525708511809,NA,0,0.0106431867892653
"m__C05607_3-Phenyllactate",0,0,0,0,0,NA,0.0849556876402337,0,0.00562110064608278,0,NA,0.04062328979195,0,NA,0,0.0109333398398555
"m__C05660_5-Methoxyindoleacetate",0.600229094723549,0,0.181213083519182,0.360410366494784,0.454289224581369,NA,0.484994480640246,0,0.409201570712041,0.33505931709499,NA,0.317858080793638,0.180248318177458,NA,0,0.276958628061438
"m__C06524_Nornicotine",0,0,0,0,0,NA,0,0,0.00973748654483315,0,NA,0,0,NA,0,0.000811457212069429
"m__C06772_Diethanolamine",0,0,0,0,0.186445058992666,NA,0.290403033248143,0.543472090254794,0.053098035863889,0,NA,0,0.293302438038479,NA,0,0.113893388033164
"m__C07044_Hydroxyurea",0,0,0,0,0,NA,0,0,0.00677521934361011,0,NA,0,0,NA,0,0.000564601611967509
"m__C09815_Benzamide",0,0,0,0,0.849224105757506,NA,0.205441548780341,0,0.514164497788375,0,NA,0.122005260332902,0.0706523484781888,NA,0,0.146790646761443
"m__C11003_2,4-Dimethylaniline",0,0,0,0,0,NA,0.0397011146706982,0,0.00847196507207723,0,NA,0,0,NA,0,0.00401442331189795
"m__C11118_1-Methyl-2-pyrrolidinone",0,0,0,0,0.00855754009354814,NA,0.06461281241376,0,0.0366495769787365,0,NA,0,0.0226104827364776,NA,0,0.0110358676852102
"m__C11284_3-Indolebutyrate",0,0,0.205167714316954,0,0,NA,0.122810861440073,0,0.0347409969073463,0,NA,0.0264054808172383,0,NA,0,0.0324270877901343
"m__C11527_4-Hydroxymandelate",0,0,0,0,0,NA,0,0,0.0123432194593538,0,NA,0,0,NA,0,0.00102860162161281
