"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0,0,0,0,8.90050321297685e-07,0,0,2.79332411449947e-07,0,1.58275011251458e-06,0,0,0,2.46073263165321e-06,0,3.47524365127694e-07
"m__-_2-Hydroxypentanoate",0,0,0,0,1.80613544891768e-07,0,0,5.29577536120338e-07,0,4.83772386872055e-07,0,0,0,5.9063290055916e-07,0,1.18973091229555e-07
"m__-_SDMA",0,0,0,0,6.21634130335324e-07,0,0,2.59973547975546e-06,0,4.53452881355048e-08,0,0,0,1.92604859028929e-07,0,2.30621317150348e-07
"m__C00003_NAD+",0,0,0,0,5.93107891180838e-07,0,0,6.92241746488897e-07,0,7.13786112717289e-07,0,0,0,5.22201192044559e-07,0,1.68089129495439e-07
"m__C00008_ADP",0,0,0,0,1.2010510161689e-06,0,0,1.01886642219692e-06,0,5.82559808247509e-07,0,0,0,1.51110476806974e-06,0,2.87572134312204e-07
"m__C00019_SAM+",0,0,0,0,1.58235973888437e-06,0,0,1.69304053588652e-06,0,2.87274503087002e-07,0,0,0,1.35422090796287e-07,0,2.46539791243612e-07
"m__C00020_AMP",0,0,0,0,8.09022089410176e-07,0,0,8.69006514357739e-08,0,1.50481878757237e-07,0,0,0,2.59232614446238e-08,0,7.14885254031874e-08
"m__C00024_Acetyl CoA",1.20099109155916e-06,0,0,0,1.05088640515175e-06,4.87689313174471e-06,1.05719213533888e-06,1.52127957854623e-06,1.20832440221096e-06,3.15180638203282e-06,4.16930601793147e-06,0,4.87738358013097e-07,2.52633364165093e-06,0,1.41671674294533e-06
"m__C00029_UDP-glucose",1.86541301770908e-07,0,0,0,1.99250327745462e-06,0,0,2.32218972637771e-06,0,3.86895129344302e-06,0,0,1.08304354588425e-05,2.1638047235961e-06,0,1.42429505209899e-06
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0,7.41507718329867e-07,0,0,7.51237736606782e-07,0,1.19920457671304e-06,0,0,0,7.70005169086527e-07,0,2.30797013382414e-07
"m__C00086_Urea",0,0,0,0,1.25074389943326e-06,0,0,7.04578389055879e-07,0,1.28129802685546e-06,0,0,0,9.82635451866083e-07,0,2.81283717814045e-07
"m__C00093_Glycerophosphate",0,0,0,0,6.5794145001707e-07,0,0,1.6412708140982e-06,0,1.26777056784311e-07,0,0,0,3.12336022246773e-08,0,1.63814861541617e-07
"m__C00105_UMP",0,0,0,0,1.8356692404879e-07,0,0,8.2425425064695e-07,0,2.25092395412434e-06,0,0,0,2.98554937009649e-07,0,2.37153337721982e-07
"m__C00106_Uracil",0,0,0,0,2.14575011743892e-07,0,5.23279165275373e-07,2.02404601065716e-07,0,1.64350604311233e-07,0,0,0,6.80075914963677e-08,0,7.81744649261721e-08
"m__C00116_Glycerol",1.14534599079931e-07,0,0,0,8.28004618756662e-07,0,0,6.25125097212062e-07,1.55636416454867e-07,1.13072588811307e-06,0,0,0,9.0300075856208e-07,0,2.50468491878578e-07
"m__C00140_N-Acetylglucosamine",0,0,0,0,1.95828713174689e-06,0,0,1.28184112879835e-06,0,2.56036444473112e-06,0,0,0,1.23294681689042e-06,0,4.68895968144452e-07
"m__C00152_Asn",3.69596737000827e-07,0,1.52485779836839e-08,0,3.05952097019713e-07,0,0,1.04551181483782e-06,0,6.63205031391455e-07,0,0,0,3.91616536611749e-07,0,1.86075386323017e-07
"m__C00153_Nicotinamide",0,0,0,0,8.47110917596312e-07,0,1.14527104882871e-06,1.25723860486677e-06,0,1.12696353737914e-06,0,0,0,4.56800337522363e-07,0,3.2222562974622e-07
"m__C00179_Agmatine",0,0,0,0,2.8860275162809e-06,0,2.24363418019244e-07,2.15426991577782e-06,0,2.36423678119265e-06,0,0,3.14517733817392e-06,5.90920113257865e-07,0,7.57666338846827e-07
