"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0,0,0,0,0.00312087936945299,0,0.00991869207531077,0,0.0153196130375196,0,0,0.00942644901051598,0,0,0.00251904223285329
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,0,0,0,0,0,4.83200478775915e-05,0,5.95513699311468e-05,0,0,0,0,0,7.19142785391588e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0,0,0,0.0183151517586689,0,0.0174721381853362,0,0,0,0,0,0.00238581932960034
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0,0,0,0,0,0,0.000149935362743152,0,0.00070323331762033,0,0,0,0,0,5.68779120242321e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0,0,0,0,0,0,0.00041886489836419,0,0.000587238238691078,0,0,0,0,0,6.70735424703512e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0,0,0,0,0,0,0.00877229566380632,0,0.0115495596015152,0.0031495869044599,0,0,0,0,0.00156476281131876
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0,0,0,0,0,0,0.00240536768170094,0,0.00189408124482591,0,0,0,0,0,0.000286629928435123
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0,0,0,0,0,0,0,7.45351145427499e-06,0,0.000118772407534243,0,0,0,0,0,8.4150612659012e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0,0,0,0,0,0,0.00442458572562238,0,0.00571678528153232,0.00232379097110471,0,0,0,0,0.000831010798550627
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0,0,0,0,0,0,0,0.0031461235662924,0,0.0043187379251435,0,0,0,0,0,0.000497657432762394
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0,0,0,0,0,0,0,6.48926231915892e-06,0,2.38248399696199e-05,0,0,0,0,0,2.02094015258525e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0,0,0,0,0,0,0.112688698270383,0,0.224833812897771,0.126771742464976,0,0,0,0,0.0309529502422086
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0,0,0,0,0,0,0,0.00859337623369807,0,0.00210928757587268,0,0,0,0,0,0.00071351092063805
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0,0,0,0,0,0,0.0242024517131267,0,0.0209773798967292,0,0,0,0,0,0.00301198877399039
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ramosum",0,0,0,0,0,0,0,0.00416442212593237,0,0.00264853409755644,0,0,0,0,0,0.000454197081565921
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri",0,0,0,0,0,0,0,0.0133426103838875,0,0.0156925244008363,0,0,0,0,0,0.00193567565231492
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0,0,0,0,0,0,0,0.000272615761056157,0,0.0161919338588064,0,0,0,0,0,0.00109763664132417
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0,0,0,0,0,0,0,0.00257035907020892,0,0.00669878769184068,0,0,0,0,0,0.000617943117469974
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0,0,0,0,0,0,0,0.0811990626016993,0,0.0901777918770091,0,0,0,0,0,0.0114251236319139
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002742445",0,0,0,0,0,0,0,0.00455060594465893,0,0.00605658881746301,0,0,0,0,0,0.000707146317474796
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932425",0,0,0,0,0,0,0,0.0665131581511167,0,0.0819722536578938,0,0,0,0,0,0.00989902745393403
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0,0,0,0,0,0,0,0.201211900551289,0,0.0772583421107473,0,7.63857857601684e-05,0,0,0,0.0185697752298531
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0,0.243178206478374,0,0,0,0,0,0.00339112398951621,0,0.0122898674481503,0,0,0,0,0,0.0172572798610694
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula",0,0,0,0,0,0,0,0.00762138544860287,0,0.000680666068467942,0,0,0,0,0,0.000553470101138054
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995",0,0.00112095299365484,0,0,0,0,0,0.0504787505048569,0,0.120068796650729,0,0,0,0,0,0.0114445666766161
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258605",0,0,0,0,0,0,0,0.0259966320880002,0,0.0893417983121521,0,0,0,0,0,0.00768922869334348
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258715",0,0,0,0,0,2.41773856404838e-06,0,0.066055103501,0,0.114919709931148,0,0,0,0,0,0.0120651487447141
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp900555335",0,0.0975767629591898,0,0,0,0.000475207330895757,0,0.0251673890532196,0,0.130232150399107,0,0,0,0,0,0.0168967673161608
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018382295",0,0,0,0,0,0,0,0.0249090205689203,0,0.0425680253109769,0,0,0,0,0,0.00449846972532648
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900551195",0,0,0,0,0,0,0,0.0438575295128631,0,0.00146223628226802,0,0,0,0,0,0.00302131771967541
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900552425",0,0,0,0,0,0,0,0.155369598948602,0,1.5994825642747e-05,0,0.320623392846544,0,0,0,0.0317339324413859
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900555355",0.00271450407273507,0,0,0,0,0,0,0.0184719551046359,0,0.0238262872892869,0,0,0,0,0,0.00300084976444386
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella stercoripullorum",0.101638458493962,0,1,0,0,0,0,0.0230896626602539,0,0.0317608921822269,0,0,0,0,0,0.0770992675557629
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427",0,0,0,0,0,0,0,0.00270064911395465,0,0.0033274851506307,0,0,0,0,0,0.000401875617639023
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",0,0,0,0,0,0,0,0.0053447590950144,0,0.000170290162675574,0,0,0,0,0,0.000367669950512665
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta",0,0,0,0,0,0,0,0.00727455058880143,0,0.00253321768310073,0,0,0,0,0,0.000653851218126811
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sinensis",0.00211980149597239,0,0.000728093911274255,0,0,0,0,0.0277280411552999,0,0.0352385117831794,0,0,0,0,0,0.00438762988971506
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sp014287365",0,0,0,0,0,0,0,0.0868145261958585,0,0.0313634589261626,0,0,0,0,0,0.00787853234146808
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella timonensis",0,0,0,0,0,0,0,0.328418630716811,0,0.074120862156493,0,0,0,0,0,0.0268359661915536
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter sp900554945",0.112079227561147,0.141228112835308,0,0,0,0,0.770459731597499,0.263158458033397,0,0.214809242442091,0,0,0,0,0,0.100115651497963
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter",0,0,0,0,0,0,0,0.0102648317278074,0,0.00673214170759798,0,0,0,0,0,0.00113313156236036
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae",0.00848289160287233,0,0,0,0,0,0,0.0145899891749002,0,0.0728379449413108,0,0,0,0,0,0.00639405504793889
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens",0,0,0,0,0,0,0,0.00955727961655088,0,0.00174766837882903,0,0,0,0,0,0.000753663199691994
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UMGS1502",0,0,0,0,0,0,0,0.0812503821613486,0,0.066868455021276,0,0,0,0,0,0.00987458914550831
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UMGS1502;s__UMGS1502 sp900552365",0,0,0,0,0,0,0,0.0762841659146926,0,0.062383547955022,0,0,0,0,0,0.00924451425798097
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella",0,0,0,0,7.48246051869865e-05,0,0,0.00010753981452244,0,0.000114947665308673,0,0,0,0,0,1.98208056678733e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552155",0,0,0,0,0,0,0,0.0099275188887122,0,0.116986202811753,0,0,0,0,0,0.008460914780031
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552195",0,0,0,0.0485816761951909,0,0,0,0.0729955054044297,0,0.0771250926808742,0,0,0,0,0,0.0132468182853663
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865",0,0,0,0,0,0,0,0.038781627794182,0,0.0637218756053777,0,0,0,0,0,0.00683356689330398
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004558535",0,0,0,0,0,0,0,0.119104291410047,0,0.110430747230272,0,0,0,0,0,0.0153023359093546
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900539625",0,0,0,0,0,0,0,0.0104506388902717,0,0.0118302261281567,0,0,0,0,0,0.00148539100122856
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900540885",0,0,0,0,0,0,0,0.000117874806181631,0,6.84054494004164e-05,0,0,0,0,0,1.24186837054699e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541575",0,0,0,0,0,0,0,0.00191054884172505,0,0.000403431353359473,0,0,0,0,0,0.000154265346338968
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900542795",0,0,0,0,0,0,0,0.0217932689243613,0,0.0223797470984124,0,0,0,0,0,0.00294486773485158
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900543155",0,0,0,0,0,0,0,0.0421858660916372,0,0.04232547514003,0,0,0,0.00718732225784811,0,0.00611324423263436
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900772575",0,0,0,0,0,0,0,0.0307040443976547,0,0.0276416519391273,0,0,0,0,0,0.0038897130891188
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens",0,0,0,0,0,0,0,0.00103834192608201,0,0.0100216794138583,0,0,0,0,0,0.000737334755996022
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus",0,0,0,0,0,0,0,0.000113731115395012,0,0.000196902737907309,0,0,0,0,0,2.07089235534881e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A",0.000110307542960477,0,5.43827985368731e-05,0,0,0.000336362669811162,0,0.0123646193985839,0.00134139238459318,0.00121025595796394,0.000867772916296909,4.78640966127063e-06,0.000545555321304756,0,0,0.00112236235998083
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola",0,0,0,0,0,0,0,5.81683700305502e-05,0,3.70878967426029e-05,0,0,0,0,0,6.35041778487688e-06
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp011959205",0,0,0,0,0,0,0,0.000231259061025476,0,0.00891038608320318,0,0,0,0,0,0.000609443009615244
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900552645",0,0,0,0,0,0,0,0.202345312926444,0,0.0302634271837174,0,0,0,0,0,0.0155072493406774
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp902388365",0,0,0,0,0,0,0,0.00430110499887104,0,0.0728280421582334,0,0,0,0,0.262023467418655,0.0226101743050506
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella",0,0,0,0,0,0,0,7.13432005605165e-06,0,3.28927924739168e-06,0,0,0,0,0,6.94906620229555e-07
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella albensis",0,0,0,0,0,0,0,0.0571767962586775,0,0.0384666661264054,0,0,0,0,0,0.00637623082567219
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bergensis",0,0,0,0,0,0,0,0.0655313998373392,0,0.0668037221137011,0,0,0,0,0,0.00882234146340269
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella brunnea",0,0,0,0,0,0,0,0.0895657135196665,0,0.0293909617291571,0,0,0,0,0,0.00793044501658824
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bryantii",0,0,0,0,0,0,0,0.036120412156758,0,0.00146278951252397,0,0,0,0,0,0.00250554677795213
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae",9.05743390730409e-09,0,0,0,0,0,0,0.000749806563535144,0,0.000741056287248035,0.0138003560766209,0,0,0,0,0.0010194151989892
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella colorans",0,0,0,0,0,0,0,0.0306784415444575,0,0.0497575422106223,0,0,0,0,0,0.00536239891700532
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A",0,0,0,0,0,0,0,2.45372261564633e-05,0,1.5533960136824e-05,0,1.89601633409908e-05,0,0,0,3.93542330895187e-06
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella denticola",0.0391632217664501,0,0,0,0,0,0,0.150800881744608,0,0.157725555561455,0,0,0,0,0,0.0231793106048342
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella fusca",0.0483578611880662,0,0,0.25853863761884,0,0,0,0.50380831919176,0.477605470127328,0.605545230086052,0.729413733231906,0.383667911903024,0.405558078422208,0,1,0.294166349451279
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella histicola",0,0,0,0,0,0,0,0.00272376512993762,0,0.0730170858089789,0,0,0,0,0,0.00504939006259443
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella hominis",0,0,0,0,0,0,0,0.000171319507662792,0,0.00011161351922629,0,0,0,0,0,1.88622017926055e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella ihumii",0.0133778323889829,0.0128658804256005,0,0.0756302285698496,0,0.0368386247047054,0.0936350094209842,0.0410341254475081,0.130447908420322,0.0517533666545387,0.085347869598623,0,0.0560674425895377,0.000960244797531594,0.000157497218748167,0.0398744020157955
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella jejuni",0,0,0,0,0,0,0,0.0887741198424633,0,0.0528441674518317,0,0,0,0,0,0.009441219152953
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa",0.0318475895275976,0.236233997685613,0,0,0,0,0,0.259324095307995,0,0.270535925392553,0.072685474986494,0,0,0.0148491828130109,0,0.0590317510475509
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica_C",0.0156407236569013,0.0344766891154752,0,0,0,0,0,0.0837696234589618,0.10426863371171,0.101512120957462,0,0,0,0,0,0.0226445193933673
