"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.0214819324432811,0,0.0051684167887287,0.104192643524236,0.00021255136702055,0,0.0061964598290671,0.00694092104384467,0.0421818103884129,0.0223646218377711,0.126309944414386,0.00600064985640339,0.10056666617394,0.0292038085809755,0.0703034327349628,0.036074923932202
"m__-_2-Hydroxypentanoate",0.00736200558811866,0.00528871519608036,0.00147887261243494,0.141104043501216,0.0111533258337284,0.106388743048579,0.0248047210694826,0.00202907038563805,0.060745391078238,0.0275755950681582,0.0625835638565193,0.0184381806054871,0.0278987741256739,0.00549019857100026,0.025802397857798,0.0352095732265435
"m__-_SDMA",0.0895351113265057,0.0402396497832779,0.04857163534406,0.277039981369335,0.0624331861395273,0.1404234337529,0.0316948370811631,0.0274098828934341,0.0752359596855182,0.0199250651133833,0.247307592186067,0.00530167859583713,0.383704852358767,0.00767811570383646,0.127631915929388,0.105608859817533
"m__C00003_NAD+",0.0240437231509302,0.0435342940372626,0.0463378807307544,0.295052336929376,0.0135496528170096,0.164815224840551,0.0649325321050145,0.0477986877514456,0.257509662046144,0.0750424860672359,0.135416175985118,0.0018245978993575,0.0579498040862333,0.0255743987444964,0.00844615134766497,0.0841218405692395
"m__C00008_ADP",0.00147048672803596,0.016750746212169,0.00427039841699674,0.135245510733497,0.0390620534245371,0.147996541347569,0.00448089757951025,0.0225110264587738,0.165928260514636,0.0116948379948082,0.0530265078914291,0.0240531866094447,0.229597525028219,0.0772768745676745,0.111708524175417,0.0696715585121812
"m__C00019_SAM+",0.0354962729786734,0.167875524528894,0.0634100319456216,0.292269401092165,0.0886803658844685,0.124145743157903,0.147371683156525,0.0753266160188123,0.110275469317083,0.0292653715708057,0.0409248784652223,0.00369907622077532,0.133241822939929,0.00106829274752885,0.244639841966084,0.103846026132699
"m__C00020_AMP",0.0473557607659267,0.0137213360945256,0.0341188352104037,0.184154759121937,0.0344726484577631,0.175249213225139,0.0314565038802316,0.0172899647169063,0.107603977396245,0.000820693819853692,0.0959889581401572,0.00847652600659115,0.186738665704719,0.0454806872955067,0.116025533616947,0.0732636042301902
"m__C00024_Acetyl CoA",0.0483261770387954,0.025819172145396,0.0659049648953545,0.35452054876797,0.00698153839467393,0.0494920890268415,0.0111972394455201,0.0290814686376815,0.0993056296564578,0.044818596903674,0.0329661158802871,0.00202164446682056,0.103554320432472,0.123858064835922,0.171250499456807,0.0779398713323116
"m__C00029_UDP-glucose",0.000811251178940657,0.0250931083666431,0.0111084415074266,0.130550924361203,0.00014525075339266,0.13212000882972,0.0248203633783895,0.0509370991201853,0.0309467095033836,0.0485544399404346,0.0479133777504876,0.0661160196359799,0.0432411023661101,0.0141190232024302,0.123621576673101,0.0500065797711886
"m__C00043_UDP-N-acetylglucosamine",0.0240877865766715,0.0782412478485397,0.0814257586353969,0.0934441014818991,0.0114858193564206,0.14369768182489,0.104034852488056,0.0199710307518354,0.162603399074171,0.0402336973781304,0.100817922267805,0.00273210473628281,0.40114691743031,0.0289717851184625,0.149208299403182,0.0961401602914702
"m__C00086_Urea",0.0997674851121802,0.0613128015953219,0.0385102741219983,0.0657923291035902,0.0117637645693164,0.158553869151853,0.0385964366690427,0.042768554399322,0.166289046658238,0.0481348069609204,0.177524457796141,0.0166106843982323,0.0658255870612599,0.427826995631712,0.208896613286845,0.108544913767732
"m__C00093_Glycerophosphate",0.0258048904307088,0.0337665643949722,0.0113379390835235,0.325277795455284,0.0312754301265799,0.0538898888213386,0.0360281597150021,0.0206519092066481,0.147085112386769,0.0446740888858199,0.131994453154844,0.047211819646911,0.11878676757173,0.0190490403165765,0.125232668079562,0.0781377684850846
"m__C00105_UMP",0.00430441585644316,0.0512096084970389,0.0127573590846051,0.142848864454108,0.00227795488554867,0.390762665839447,0.00657152776521295,0.0114503425696957,0.231688600309556,0.0597961282964329,0.0807689069973969,0.0486533668192807,0.151235452361892,0.00187050467105613,0.261241069226749,0.0971624511756308
"m__C00106_Uracil",0.0100971477139206,0.00748764619389758,0.00921359996106737,0.0184009871937015,0.00316840166142206,0.0776827350363173,0.108138571049881,0.0459749268364242,0.14569162003055,0.0258491813196862,0.174194507361315,0.0118699745551993,0.0920550479878574,0.0200445344468902,0.0221440071953447,0.0514675259028983
"m__C00116_Glycerol",0.00565927053736425,3.16774647951075e-05,0.00639166272460698,0.0440760144418362,1.69388633694025e-06,0.0209354507104849,0.000266883079339189,0,0,0.00100329349824403,0.0125815480377325,0,0.0846026448366394,0.00411222218224342,0.0619683665937707,0.0161087151995596
"m__C00140_N-Acetylglucosamine",0.046759009542346,0.0833919659069372,0.00832479976919058,0.190753297531809,0.0547430881344075,0.135349162821788,0.0439789298427448,0.123924590172617,0.105100996653881,0.0451879737104176,0.332744977656627,0.0146732120442049,0.245763995070321,0.0469997951848379,0.167294988311902,0.109666052156935
"m__C00152_Asn",0.124580107151652,0.0963127025084572,0.163827492463012,0.627583776588915,0.0562383051747088,0.324502608442452,0.189989741092587,0.156900937837275,0.133595715164424,0.0322732493371895,0.0890586083684233,0.0115806518339321,0.229512658267658,0.117660962156396,0.266490364763681,0.174673858743384
"m__C00153_Nicotinamide",0.0274911476731733,0.0851332162895038,0.0298917923132586,0.214559127959432,0.0311440838584598,0.170247895435457,0.079303873725007,0.0326700548280906,0.161403792839636,0.0431191426565609,0.106179426999454,0.0609951277067837,0.129038466482877,0.0200377338991088,0.184122496454975,0.0916891586081184
"m__C00179_Agmatine",0.0663426067188742,0.129257658767453,0.0687587129020433,0.240664978279625,0.0568966915632619,0.188366523472302,0.19025668099233,0.106008007653191,0.273955387266887,0.300612057662719,0.175686714735828,0.048118267095843,0.132621639574905,0.0641762595934107,0.278651086625344,0.154691551526934
"m__C00214_Thymidine",0.0654572589641917,0.0612772674669088,0.0409399901134798,0.108095606124284,0.0494956867814288,0.514048589380361,0.0518420252404253,0.0570417968283948,0.227710011931192,0.0342371429090833,0.151122704976556,0.0142061847972137,0.290758111016032,0.0386461352570247,0.295960028987135,0.133389236051581
"m__C00233_4-Methyl-2-oxopentanoate",0.00668423606314816,0.000144602628373123,0.0081134943990609,0.0420880617550138,0,0,0.00774776349676556,0.00088559825993978,0.0665429000693573,0.00325984115112536,0.0128878398877625,4.99954675148697e-05,0.135327948406307,0.0188697818202327,0.0770296596385885,0.0253087815362127
"m__C00245_Taurine",0.0414951208784616,0.0370601487367519,0.0612712015105889,0.173942126041003,0.044205527359039,0.222121683647774,0.00822457576103953,0.0230563716115463,0.0907210942936424,0.0278904433265512,0.0336458852976113,0.00220914848340573,0.253194883178977,0.0406361923333895,0.0993510275332726,0.0772683619995369
"m__C00253_Nicotinate",0.0628454140063804,0.0196611048293582,0.0249758214599013,0.157085912276135,0.0313804151100473,0.20714964314736,0.0594671880295599,0.0331239338010617,0.138223181768902,0.107743342005521,0.133603291239756,0.0238736163234552,0.165009173147236,0.0634446510226807,0.207538144248993,0.0956749888277565
"m__C00262_Hypoxanthine",0.194532741333799,0.110709515276949,0.146923179763536,0.273193380265298,0.114993973952543,0.339157905950997,0.141250402476949,0.193628887293243,0.207016316336449,0.143914123888891,0.139312414198204,0.0648337643007391,0.203265477227542,0.0611656499000461,0.175076238458659,0.167264931374923
