"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0,2.22422608181575e-05,0,1.50482226673354e-07,0,0,0,1.33983051175929e-05,0,0,0,0,0,0,0.00248094715234974,0.000167782546700811
"m__-_2-Hydroxypentanoate",0,0,0,7.59045967433723e-10,0,0,0,1.75294849420896e-06,0,0,0,0,0,0,0,1.1691383601176e-07
"m__-_SDMA",0,0.000378831100587063,0,0.000880476956040165,0,0.00044601779839923,0,0.00430448613834804,0.00193771760111373,0,0,0,0.00168307164031361,0.000170657731744324,0,0.000653417264436411
"m__C00003_NAD+",0.0187320165906372,0.00186771252475192,0.0266579479944497,6.82399757800008e-06,9.07967071939129e-05,0,0.00510617166093946,3.08868639693865e-07,0.000797171422637797,0.00705518217850095,0,0,0,0.0176892910545078,0.00382610594362509,0.0054553019295641
"m__C00008_ADP",0,0.000278892697846381,0.00047947553523596,0.00195028896852503,0,0.510132320214585,0,0,0,0,0,0,0,0.0167345620310888,1.40653183589278e-05,0.0353059736510427
"m__C00019_SAM+",0,0.0207149745265666,0.0144854780077967,0.0229072054853206,0.0215365375141687,0.0154983525179998,0.0588546268229324,0.0119859564171042,0,0.0517828960822727,0.00140053563003187,0,0.0111788128944071,0.0397760582975724,1.27904358497895e-05,0.0180089483088015
"m__C00020_AMP",0,0.00420106283080862,0.00103720060820249,0.00187974029649699,0,0.000971946788611023,0,0.00619735141564543,0,0,0.000311354617934475,2.65432952491723e-05,0,0.0230831116557009,0,0.00251388743390994
"m__C00024_Acetyl CoA",0,0.000632350468015563,0.0005231322841391,0.00593379344359157,0.00782922642451506,0,0.000751910842609717,0.0105244218969266,0,0.0029897903385394,0,0,0.00115875613233566,0.308152182131475,0,0.0225663709308099
"m__C00029_UDP-glucose",0,0,0,0,0.000654291633268374,0,0,1.84157057535745e-06,0,0.00737137035873068,0,0,0,0.0842072941610672,2.20770399851623e-06,0.00614913369517601
"m__C00043_UDP-N-acetylglucosamine",0,0.333561248484189,0.000796483903018522,0.0535166166921362,0.0100238213547038,0.0432689510248038,0.0593409926592624,0,0,0.106423168990963,0.000363865546346222,0,0.00387131770505825,0.209822503060079,0.139053743288295,0.0640028475139237
"m__C00086_Urea",0.00561774293286755,0.00582121861588105,0.00376632695623291,0.00780686248694102,0.000109138205393743,0.0277822640070511,0.00719466654512586,0.000811866596214153,0,0.0109632795335444,0.0034855300738049,0,0,0.0570633515453,0,0.00869481649989045
"m__C00093_Glycerophosphate",0,5.24118228674493e-05,0,0.0221337598646261,0,0,0.000465986016573892,0,5.73623076403865e-05,0,0,0,0,0,0,0.00151396800078052
"m__C00105_UMP",0,0.000202574549701984,0.000446019888062198,7.1295719670054e-09,0,0.000147567081861597,0.00191039333299562,0.000295627678582331,0,0,0,0,0,0,0,0.000200145977385046
"m__C00106_Uracil",0,0.00323709557359297,0.0182765218194322,0.00142501365249968,0.000286974732242305,0.0204435362736527,0.00324779201898066,2.29920945736706e-05,0,0.000266785792456857,0,0,0,0.00624769622371445,0,0.00356362721207637
"m__C00116_Glycerol",0,0.0231975983454797,0.00354698079204281,1.00516255917672e-05,0,0,0,0,0,0,0,0,0,0,0,0.00178364205087429
"m__C00140_N-Acetylglucosamine",0,0.025352925781983,0.0671533876287375,0.00197790719572314,0.00465303587803923,0.00887286537460879,0.00311824142456536,6.64528493357025e-05,0,0.0133809510941751,0,0,0,0.00445029745890981,5.45649266602251e-05,0.00860537530751585
"m__C00152_Asn",0.063249045662588,0.000505011967537605,0.037384307506385,0.000831148808662128,0.00738286709336334,0,0,0,0,0.00161400699450086,0,0,0,0.00414069357295122,0,0.00767380544039921
"m__C00153_Nicotinamide",0,0.000720500685919583,0.00437899336226199,0.00408562715303159,0.00188567931988815,0.00345883968665373,0.00132784957354865,0,0,0.000311138121699641,0.000226760539023354,0,0,0,0,0.00109302589613511
"m__C00179_Agmatine",0,0.0893949182549239,0.0757401991231419,0.0030871871291253,0.0121209764926805,0.0137304484241024,0.0111222033422636,1.45002379018972e-05,0,0.0228485466859637,0.381348719229992,0,0,0.116242634015862,0,0.0483766888623971
"m__C00214_Thymidine",0,0.00543148336245194,0.000878831094133455,0.00162899391152706,0.0233910925413825,0.0205395002203469,0.00076403305532865,0.0326595934450078,0.00383961679837036,0.000703555708573667,0,0.00308199317665534,0.00113044130216583,0.122284893321518,0.0256215765376408,0.0161303736316735
"m__C00233_4-Methyl-2-oxopentanoate",0,0,0,0.00433390891785437,0,0,0,0,0,0,0,0,0,0,0,0.000288927261190291
"m__C00245_Taurine",0.0024313620944995,0.000333841119641286,0.0198022197425126,3.32063922690747e-07,0.132707586013053,0.112134642084157,0.00258831308964663,1.8332656537026e-05,0,0,0,2.65969086672406e-05,0,0.0910175403970509,2.70648538216942e-05,0.024072522068234
"m__C00253_Nicotinate",0,0.00373201415279388,0.0114950987952931,7.91838016238296e-05,0.00375322336427124,0.0208335010080155,0.00120334425761134,0,0,0.00939662571806663,0.000326202264726954,0,0,0.00238200611946542,0,0.00354674663212452
"m__C00262_Hypoxanthine",0,0.00101811732967405,0.0323929983629492,4.02501886539366e-06,0.0924767483604583,0.0064980851253211,0,0.396500259406283,0,0,0.000682683724392995,0,0.502787614827855,0.00181528814353161,3.02801832671834e-07,0.0689450748734109
"m__C00263_Homoserine",0,0.00294583585615322,0,3.3361379879634e-05,0,0.00695534190149469,0,0.0217595728674229,0,0,0,0,0,0.0218735787433351,0.00164987079503652,0.00368117076955481
"m__C00294_Inosine",0.0129076618642402,0.00132146179254916,0.000383806466981775,0,0,0,0.172671442094129,0,0.106561391052045,0.000720967338464554,0.00182704560682618,0.000350663953377773,0.00149350114243755,0,0,0.0198825294207368
"m__C00295_Orotate",0,1,0.00155247876376854,0.0894082254686718,0.187654165805671,0.185347116698956,0,0.000266726756688581,0,0.174635145439106,0,0,0,0.152975730772561,0.00498060759470087,0.119788013153342
"m__C00299_Uridine",0,1.28404599054268e-08,0.00803726019861023,0.000246829819438388,0.000247423371798009,0,0,0,0.0115789735500828,0,0,0.0589418398445526,0.000493076876032645,0.000663771365013986,0.00104100543230305,0.00541667955321944
"m__C00329_Glucosamine",0.256351986089607,0,0,0,0,0,0,5.31716623772461e-07,0,0,0,0.000156843701938889,0.00239208897247855,0.00607054323581385,0,0.0176647995810975
"m__C00357_N-Acetylglucosamine 6-phosphate",0,0.0153383130951312,0.0209667002488533,0.000754201882757935,0.046742483072908,0.00174371352777575,0.106504799628502,0.0343229764164705,0,0.00358505509208259,0,2.05319863937758e-05,0,0.0279445907735715,0,0.0171948910482964
"m__C00364_dTMP",0.00560742668119306,0.000826163201223247,0,4.19202334554501e-07,9.57283443626558e-05,0,0,0,0,0.000625764628137693,0,0,0,0,0.00016938481454422,0.000488325791453029
"m__C00385_Xanthine",0,5.17715015371537e-06,0.004004157816743,6.22247786009173e-06,0,0.0010444865822099,0.0114812097992475,0,0,0.00424289462055209,0,0,0.0426757795440336,0.00285262723991858,0,0.00442083701538123
"m__C00398_Tryptamine",0,2.14382489937121e-08,0.000594202799925942,8.69277955762725e-05,0.000812273348268431,0.0121116024649997,0,9.18493535397819e-05,0,0.0713531037846149,0,0,0,0.00299397346507594,0,0.00586959696335
"m__C00423_trans-Cinnamate",0,0.00592234790321009,0,0.0106940116282407,0,0.00297256354639435,0,0.00162637255750503,0,0,0,9.23374101134959e-06,0,0.000131578497995623,0,0.00142374052495714
"m__C00429_Dihydrouracil",0,0.0998973939625221,0.0582425249522574,0.0945837226836506,0.0393712903791015,0.0226868334894124,0.0337482269954885,0,0,0.0528869135470771,0.0504991332009976,0.0116414133940203,0.00696954478770699,0.0635388296131917,0,0.0356043884670284
"m__C00430_5-Aminolevulinate",0,0.0269334791216456,0.00763893278778472,0.0071161704710321,0.0455737461683717,0.0112723785710385,0.0860626400844818,1.9665489097016e-06,0,0.00961698824412882,0.0119606367995721,2.03858530428064e-06,0.00444698406570422,0.0067600447545421,2.2351184463398e-05,0.0144938904924653
"m__C00440_5-Methyltetrahydrofolate",0,1.62469834382241e-08,0,0.0200341203549539,0,0,0,3.59342640285767e-06,0,0.0109985367315591,0,8.47386784065124e-05,0,0.0407419028321178,0,0.00479086055136157
"m__C00588_Phosphorylcholine",1,1.06903206760559e-06,0,0.0611764715983548,0.130511997912661,0,0.398575600396497,0.0240243221443197,0.918991941678588,0.344137629654748,0.321071461411051,0.579823307559682,0.0492895936882359,0.0250185454320461,0.509832703098682,0.290830309573796
"m__C00695_Cholate",0.0404532387939675,0.20038316645596,0.00167843975443873,0.0959006116253991,0.000124370699585421,0.28159855467703,0.00496179493471259,0.030663934869881,0.0120327749598737,0.00075997643320127,0,0.00426393052853664,0.194690775073598,0.00569584423195644,0.0772367713172045,0.0633629456236897
"m__C00785_Urocanate",0,0.0158077432247109,0,0.00114116112094948,0,0.00161686087717139,0.019301455197787,0.00119915084561993,0,0,0,8.27104604692791e-06,0,0,4.92484328781871e-05,0.00260825938301092
"m__C00847_4-Pyridoxate",0,0.00318555556547426,0.0116990447073791,0.000806130093206726,0,0.0727888762022498,0.070243427007565,0,0.000207480693849034,0.342988793991164,0.00396613277435641,0,0,0.106265860313149,6.91111557011306e-06,0.0408105474975976
"m__C00864_Pantothenate",0,1.14146243261193e-05,0,0.0138372739654981,0,0.000871688507001975,0,0,0,0,0.00255647944063893,0,0,0.0197192179716789,0,0.00246640496727626
"m__C01029_N8-Acetylspermidine",0,0.00773011394707328,0.00222319577201892,0.0111376579568087,0.0518939688813217,0.0252412771606157,0.00552544561696624,0.000100286945252981,0,0.114131842750204,0.00072677960387758,0,0.000420574181094337,0.0138052539556911,0.000275101461102846,0.0155474332154685
"m__C01047_N-gamma-Ethylglutamine",0,0.00235752627440682,0.000909859856001061,0.00617963098740495,0,0.00723755609053467,0,0,0.00343365669265521,0.0132794601842845,0,0,0,0.000813616607126386,0,0.00228075377949424
"m__C01118_o-Succinylhomoserine",0,0,0,3.36164907364352e-08,0,0,0.0137545262251174,0,0.000555812624384195,0.000135583465553536,0,0,0,0.388308934334561,0,0.0268503260177404
"m__C01879_5-Oxoproline",0,0.00055446565151241,0.00505629776793518,0.050940029904739,0.00356147827956357,0.000329979204156863,0,1.2062947803809e-05,0,0,0,0.030446780991886,0,0,0.0107514643098017,0.00677683727049324
"m__C01921_Glycocholate",0,3.66944664982946e-05,0,0.00248918806003756,0.000939555750727759,0,0.000293550369273487,6.46865540416555e-05,0.0142109056317589,0.00773673602202648,0.000192178451502144,0,0.111447872468985,0,0,0.00916075785165675
"m__C02043_Indolelactate",0,1.00381397107271e-05,0,0,0,0,0.00263978351923594,0,0,0,0,0,0,0.00178212293851701,0,0.000295462973164245
"m__C02571_o-Acetylcarnitine",0,0.00515658834897749,0,0.000337631435393539,0.0664870042848214,0.000835023643173491,0.000138863506222345,0.000386214767022382,0,0,0,5.4604530567852e-06,0.491623712220294,0.00154978964648277,0,0.037768019220363
"m__C02656_Pimelate",0,0.000790533537875666,0,0.0767045687105649,0,0.00139866639550317,0,0,0,0.000280469080473251,0,0.00214792676649612,0,0,4.58880006983653e-06,0.0054217835527322
"m__C02679_Dodecanoate",0.0155130474585685,0.00175089305497947,0,0.000263321603427272,0,0,0,2.8878246950756e-07,0.0502054372218563,0,0.00196991508709195,0.000126004363673022,0,0.000172513052742889,0,0.00466676137498727
"m__C02712_N-Acetylmethionine",0,0.000171809743281496,0.00205727771783157,6.72703203981786e-06,0,0,0,0,0,0,0,0,0,0,6.38462229392888e-06,0.000149479941029788
"m__C02713_N-Acetylmuramate",0,0.0104598498626908,0,2.85713152797911e-07,0,0.00417389232763579,0,0.0360925641485995,0,0,0,0,0,0,0,0.00338177280347193
"m__C03264_2-Hydroxy-4-methylpentanoate",0,3.14814270602585e-05,0,0.00265319381956025,0,0,0.00309724401449238,0,0.00113788727425146,0.000392398062802586,0,0,0,0.0649687542681002,0,0.00481873059108448
"m__C03406_Argininosuccinate",0,0.000396075554213368,0,0.0001305585016852,0,0.000214727778504741,0.065456298969577,0,0.126467601965803,0,0,7.22965222829972e-05,0.000951983806475952,0.0337340362131906,0,0.0151615719541155
"m__C03570_Mannosamine",0,0.000439616630974546,0,0,0,0,0,0,0,0,0,0,0,0.000135935673866867,0,3.83701536560942e-05
"m__C04501_N-Acetylglucosamine 1-phosphate",0,0.134500422886705,0,0.0243704698182973,0.000948371841158314,0.127174882219341,0.113470808768292,0.00481005843324546,0.00176591680745773,0.00221798288487349,0.0451395881738926,0,0,0.0173104355009062,1.38170242828149e-06,0.0314473546024399
"m__C05122_Taurocholate",0,0.000153852712941798,0,1.80851378386388e-05,9.6706131896564e-05,0.00312104949133612,0.0107549486932327,0,0.0450778303753719,0.0315319910763133,0.000238670409290675,0,0.0552191656256499,0.00784689284864162,1.37232734832407e-06,0.0102707043219908
"m__C05123_Isethionate",0,0.00497175275447528,0.00083609967849511,0.000484128141764195,0.000421308441656089,0,0,1.03119626852565e-05,0,0,0,0,0,0,0,0.000448240065271729
"m__C05582_Homovanillate",0,1.10687213031541e-05,0,0.00222356629302523,0.000224217472641769,0,0,0,0,0,0,0.00718531331873357,0,0,0.0322347631474477,0.00279192859687676
"m__C05598_Phenaceturate",0,0,0,0,0,0,0,0.000256528546159797,0,0.0174161126176898,0,0,0.00429814039181026,0.0028997730854255,0,0.00165803697607236
"m__C05607_3-Phenyllactate",0,0,0.00145083248639709,0,0,0.000286358606487314,0.00126966922915785,0,0,0,0,0,0,0,0,0.000200457354802817
"m__C05660_5-Methoxyindoleacetate",0,0.00572670960039049,0.00342355381289749,2.77614849096302e-07,0,0,0.0125384306022016,0,0,0.00295673293654804,0,5.51591637148077e-05,0,0.111928776443696,0.0134668352261361,0.0100064316933622
"m__C06524_Nornicotine",0,0.483189516477915,0.0028670317610511,0.000958195281770445,0.0545756722589316,0.000849169797190243,0.00907463459425682,0.0800092640386324,0,0,0.000488951247572256,0,0,0.00250037835851855,0,0.0423008542543893
