"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0.000941619663263087,0.000217485361616794,0,0,0.0267653152542155,0.000383482641143151,0.000424838284966038,0,0.00523228242141909,0,0,0,5.93369217658352e-07,0.00163780234777865,0.00237356128957466
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0.00209376484850645,0,1.49547900380857e-05,0,0.00247016541699278,0.000518106984622927,0.00166276116530859,0.00123298433337701,0,0.000608818847738651,0.000106963526298797,0,0.030883552798478,0.000232524866760532,0.00265497317187479
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0.0188691133892204,0,0,0,0,0,0,0.00354534206973094,0,0,0,0.00149429703059675
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0,0.0441043139439803,0,0,0.00345014693736984,0,0,0,0,0,0,0,0,0,0.00317029739209001
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0,0.0004214405642663,0,0,0,0,0,0,0,9.81531101165363e-05,7.74619567376295e-05,0,0,0,3.98037087413644e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0,0,4.37977263522045e-05,0.000993526923932505,0.00636169678219035,0,0,0,0,0,0,0,2.47692146159582e-07,0,0.000493284608308081
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0,0,0,0.000831081578808535,0,9.16675819933496e-06,0,0,0,0,0,0,0.00852501309179128,0.00263729648823175,0.00080017052780206
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0,6.99224785142712e-05,0,0,0,0,0,0.053725813516592,0,0,0,0,0,0,0.00358638239967375
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0,0,0,0,0,0,0,0,0,0.17843986127661,0,0,0.000526460268502642,0,0,0.0119310881030075
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0,0,0.00868849121208734,0,0.00111258856727753,0,0,0,0,0.0675621021100902,0,0,0,0,0.000140756055565871,0.00516692919633473
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0,0,2.56387178386168e-06,0,0,0,0,0,0,0,0,9.24548041181705e-05,0,0,6.33457839346881e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0,0,0,0,0,0,0,0,0,0,0,0.0161211359524708,0,0.00190514483414243,0,0.00120175205244088
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0,0,0,0.000547049171000591,0,0,0,0,0,0,0.00152691516100971,0,0,0,0.000138264288800687
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ramosum",0,0,0,0,0,0,0,0,0,0,0,0.0164283666406379,0,0,0,0.00109522444270919
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri",0,0,0.00635649000840308,0,0.000594807354759196,0,0,0,0,0.0422935968758487,0.000579080852365416,0.0233160830903699,0,0,0,0.00487600387878309
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0,0.122982961647833,0,0,0,0,0.0161635755680422,0,0,0,0,0,0,0,0,0.00927643581439168
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0,0,0,0,0,0,0,0,0.00275981664157939,0,0,6.83995898803821e-05,0,0,0,0.000188547748763985
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0,0,0.0554230110239986,0,0.0244669516984585,0,4.50186492863154e-07,0.00512559064936421,0,0,0,0,0,0.00247185702720233,0,0.00583252403903443
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932425",0,0,0.00418570224703822,0,0,0,0,0,0,0,0,0,0,0,0,0.000279046816469214
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.024593086312753,0,0,5.38970320416311e-06,0.000989219280375166,0.000155501482172412,0,0,0,0.205989286312255,0.00728928765633496,0.383413711255797,0,0.21315342006713,0,0.0557059268046681
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0,0.157350830509452,0.00747535471082761,0.00109927571328288,0.0122946739711412,0,0.000311633302727231,0.000250343481612226,0,0.0320240425737179,0,0,0.0042819640060908,2.77527763148713e-06,9.27505890971358e-05,0.0143455762757054
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula",0,0.102422786405748,0,0.647281832667674,0.0020455894639814,0.0773351950042895,0.00837925100445828,0.000143111021835187,0.000674451844649103,0.169429040978051,0.00289525030001313,0.000163903494212252,0.424684026323102,0.531843376826045,0.512769312040783,0.165337808491656
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995",0.00837787855142755,0,0.265161779698615,0,0.119579240087512,0,0.134272629626238,0.22862057037261,0.472555452908437,0.105175238467419,0.019716766514785,0.00309543634687822,0.0144450731045299,0,0.00222744595097821,0.0915485007752952
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258605",0.00176904857741512,0,0,0.000878636122205437,0.0192911832345033,0,1.83075958746977e-09,0,0,0.00938144034181175,0,0.0101366311486579,0,0.000343537465921954,0,0.00278669858141834
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258715",0,0,0,0,0,0,0,0,0.204586303805377,0.263542238680291,0.0370189195777315,0,0,0,0,0.0336764974708933
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp900555335",0.345819456965658,0,0.0318977167556063,0,0.921906800046621,0,0,0,0.0169502892732495,0.111539663766969,0,1,0.0760264675493822,0.747995041560897,0.0011668433129734,0.216886818615424
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018382295",0,0,0.00321544257849464,0,0.000870173281131987,0,0,0,0,0,0,8.12056017735599e-05,0,0.103817719031087,0,0.0071989693661658
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900551195",0,0,0.000728570096585661,0,0.000956792968266637,0,4.1171486737196e-05,0,0,0.0159835525947849,0,0,0,0,0,0.00118067247642496
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900552425",0.00911459070684957,0,0.0576962641875011,0,0.134045300954653,0,0.0134365705475073,0.0117033672191531,0,0.0185096322106049,0.000228599838889436,0,0,0,0,0.0163156217110106
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900555355",0.162970010340383,0,0.0109528345482225,0,0,0.105045667126561,0,0.270956891676684,0,0,0,0,0,0,0,0.0366616935794567
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427",0,0,0,0,0,0,8.55158020513686e-05,0,0,0.0371910542035595,0,0,0,0,1.70106969417537e-06,0.00248521807168701
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",0,0.00120052640931886,0.000148423053283128,6.17498939327384e-06,0,0,0.0126824091684195,0.0595410130385996,0,0,0,0,0.000189478200825374,0.00720432753400005,0.0080670188546921,0.00593595808323546
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta",0,0,0,0,0,0,0.00199917199308472,0,0,0,0,0,0,7.81857211416505e-07,0,0.000133330256686409
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sinensis",0,0.0269605958851347,0.191809296736573,0,0.464088612813903,0.00450279653718301,0.000343187707125231,0.208591167220871,0,0.0191354355056131,0,0.00751823869517023,0,0,0,0.0615299554067715
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sp014287365",0,0,0.0533585858786498,0,0,0,0.000106858354146267,0.00399022582478972,0,0,0,0,0,0,0,0.00383037800383905
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella timonensis",0,0.000244330908695258,0,0,0.000747169925817113,0,0.000692985006144161,0.0825240578058092,0,0,0,0,0,0,0,0.00561390290976438
