"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.0315343544522197,0.173648052631549,0.136425755660181,0.0693915034059082,0.100415828952652,0.181964456772232,0.0407937567297384,0.247709624690593,0.0945106850605144,0.124665805315508,0.102874805455505,0.190008958153767,0.0720111485687218,0.115619099916854,0.0300411744860695,0.114107667350134
"m__-_2-Hydroxypentanoate",0.0114803588565531,0.00671874657759003,0.0122131067921719,0.010945884665781,0.149957201689395,0.161118936531807,0,0.0297043178232539,0.0856107073884865,0.0955339465704761,0,0.346570162942867,0.0143599353882701,0.0424765102511387,0.0189293585118655,0.0657079449326437
"m__-_SDMA",0.793984713664984,0.4315781725002,0.495569908722986,0.426914859498545,0.463715452687893,0.580170947008239,0.625374198086754,0.389036182351314,0.527554030975566,0.565677425194037,0.643602309541455,1,0.463764252114019,0.349238172666075,0.363882117803744,0.541337516187721
"m__C00003_NAD+",0.0238302865610207,0,0.0625644152489899,0.0304236625979874,0.0809882547125121,0.233013840481091,0.00703148200813548,0.046821430968904,0.175783725383752,0.242783299016137,0.070226240566342,0.352578883542469,0.210236890900145,0.264772692210718,0.0801951669557208,0.125416684743595
"m__C00008_ADP",0.101390315192807,0.0296173318522336,0.0735672555336379,0.0742955198834345,0.339400247695796,0.260370864383031,0.210704527849649,0.196035904522545,0.54924937687024,0.200638188106784,0.127376134570099,0.179704503493524,0.0173976140280964,0.092822619941668,0.137464286896414,0.172668979387997
"m__C00019_SAM+",0.0801523686024536,0.0527064789790199,0.219160097063013,0.124467045716392,0.464265397534505,0.0674587873939378,0.0982052492720369,0.375138686573061,0.235106214044633,0.0880763858513516,0.20369509119812,0.520819597098835,0.123736091607992,0.152052643222767,0.0783662865921346,0.192227094716683
"m__C00020_AMP",0.254893654873586,0,0.0887271663382633,0.0273845693471204,0.172108366104441,0.390305506948998,0.0693427912554105,0.0631891851876492,0.210466698458062,0.234436498305664,0.178418998379258,0.301042980968828,0.0453205481346346,0.0820296915099236,0.0519780407794098,0.14464297977275
"m__C00024_Acetyl CoA",0.152378600100045,0.054727836904605,0.204192641422464,0.204300299057897,0.164998583529089,0.363925407796784,0.0427367997377585,0.112576235502868,0.0611575687518333,0.206544218435097,0.171826228150465,0.296249053959743,0.203891666288456,0.0206101366745359,0.0103828944076277,0.151366544714618
"m__C00029_UDP-glucose",0.0568623996444259,0,0.0572794708552864,0.021551520271184,0.195580099314879,0,0,0.138754290769164,0.182669824671859,0.129879086057105,0.0981046078653979,0.0508618327868371,0.0261319263768958,0.0490521252853954,0,0.0671151455932287
"m__C00043_UDP-N-acetylglucosamine",0,0.062118918256236,0.0846199928196284,0.029645104303157,0.252325840073627,0.326511783902645,0.104470439198111,0.0522835419783154,0.0888630966989852,0.10598045083804,0.0646077251944863,0.173128890215697,0.145690297721339,0.156113103383904,0,0.109757278972278
