"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0.452990623877646,0.344371507952356,0.268493191877971,0.234162969131972,0.652451543837605,0.285883085448558,0.455344289908009,0.294507417583164,0.224994181375801,0.288646903256378,0.384868581857854,0.1094178933422,0.521524665604697,0.196162155114438,0.483706604404064,0.346501707638181
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0.439165606569808,0.164768031624122,0.160259607287273,0.259294295890017,0.307234571535185,0.38780077234668,0.489491231010094,0.209360723304914,0.447647491099388,0.488511055420603,0.115657984658442,0.242113693382843,0.0807194679301206,0.0813048419189871,0.140122432996325,0.26756345379832
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.341374180714764,0.0539255352756292,0.05322526967375,0.122482334637805,0.0637313579804233,0.249065976835575,0.183076270020468,0.050478548163396,0.430270908990391,0.409579559053814,0,0.0629970884327358,0.0480685177364844,0.115520635662567,0.0561340236504494,0.149328680455217
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0.250041420471807,0,0.0626147599711696,0.0133144457555772,0.210251948275291,0.178306272478954,0.36643342481987,0.0430206498243099,0.200050268127457,0.628145405642929,0.1384136143737,0.098355338739071,0.062100091098294,0.0183237390395066,0.19808691372802,0.164497219489731
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0.777119006170884,0.0338935101371657,0.0603919743373743,0.550465913363766,0.261380039546405,0.324629260195771,0.780863205720308,0.241811931641394,0.250858468780897,0.633656860742123,0.107794321093205,0.059312930763257,0.165374803409817,0.121007150655797,0.150726916308377,0.301285752857769
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0.137609500470433,0.119543411594006,0.148606554989517,0.13513767715182,0.0487327936072265,0.149161537882128,0.592281214749356,0.256304080714073,0.274710403833971,0.176264182280203,0.101592553627654,0.177361793636167,0.145630287918448,0.133337486618087,0.0812480071024611,0.178501432411703
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.360854354169828,0.0271283579350716,0.114043290415834,0.218320771583063,0,0.293639374450389,0.282910315609069,0.047434100907675,0.154640217308604,0.322768825241311,0.0769066069865369,0.17662007141158,0.0377064277265826,0.124641678372402,0.100399430516097,0.155867588175603
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0.368652606568401,0,0.0965344678741906,0.290647101248629,0.112574508105288,0.347155651856266,0.189917387808469,0.0791240291604066,0.121236917306493,0.292073650283473,0.0519136245751178,0.149154102522052,0.136905913898785,0.0636416358354496,0.0484049436241725,0.156529102711146
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0.358747194821018,0.0603133091737427,0.099312062505291,0.0449961910195095,0.208431919312647,0.0973520028063229,0.137681916933835,0.0290301230447091,0.446988275092164,0.393204667475568,0.0370078273623138,0,0.0404369762566622,0.0994314891342469,0.0789244500317948,0.142123893664655
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0.357401856054647,0.0448905077755256,0.0510997051870258,0.182358444467761,0.0998989453391184,0.354874093896351,0.263498820602426,0.116752614290232,0.175409896148195,0.249893209946642,0.0296591886867805,0.0350005017177239,0.0387166796862477,0.0243305441303408,0.0765536910481578,0.140022579931812
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0.318033021073686,0.0782949835700222,0.169935487905656,0.134618457032158,0.0841166377898795,0.165188814027766,0.399143151768687,0.161176917182492,0.387528164855036,0.200959160560597,0.067778744242237,0.0799151892725108,0.0176263742657246,0.0600198174568674,0.094414505860825,0.161249961790943
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0.264577447764472,0.0444760103986424,0.0225765080852991,0.118763433927215,0.0284339904835735,0.242944627709421,0.282354967285734,0.0181228513805121,0.274628882623015,0.121445027164554,0,0.094577272465722,0.0722641654238945,0.0469811460418355,0.0155729209277963,0.109847950112112
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0.264756546954045,0.130066555990293,0.135753353885347,0.118928886556863,0.0356012360186891,0.151116846412587,0.301246066244108,0.159319304894338,0.250808786185849,0.374424534841762,0.0462957702834962,0.0709758097426178,0.0212553336733737,0.0205547603151562,0.0355438366314198,0.141109841908663
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0.513119106536503,0.0491952436845429,0.0892882046111911,0.149235854124283,0.216684939452414,0.213261373026617,0.281496859112588,0.109193314737174,0.47430519818654,0.5086791728923,0.205610466843785,0.00281883235310527,0.0652293829901982,0.110378871152984,0.193103077321347,0.212106659801705
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ramosum",0.788095032610595,0.0441905693386797,0.0643430480431023,0.0390390527637761,0.0503559308664621,0.150403083555136,0.3981546851212,0.0259019356724098,0.162188052687658,0.265652485690844,0.133255585311844,0.0315709223547792,0,0,0.069620426480054,0.148184720699769
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri",0.203144776190032,0,0.0307966725676387,0.326561530030636,0.364406958078781,0.250471872464445,0.452169113712703,0.225497810965127,0.314815323892069,0.352378480093873,0.0802276909200261,0.176647739464857,0.0409687707652762,0.0711460397351921,0.0697865015461367,0.197267952028453
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0.425533945861242,0.0268148746878218,0.0275755920184724,0.161631905170206,0.186941000318724,0.69037786380974,0.0361248711379674,0.144057890388323,0.319551522526547,0.313298577797595,0.308213258639494,0.143433175171301,0.0722352388954264,0.037543110603026,0.085813618601914,0.198609763041853
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0.278906956250522,0.0801151091009581,0.233389532923816,0.314629861382566,0.16580257967753,0.498520338064684,0.213124239758596,0.123653543952302,0.284400033912756,0.393952134353282,0.106291698886524,0.115731772025602,0.196416495136212,0.0384333991326771,0.0364421518139908,0.205320656424801
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.152243834703445,0,0.0244652137941666,0.090000020344937,0.114929476113844,0.250610777412447,0.244482695041775,0.181084258058201,0.409696566580616,0.118127637217029,0.0193674678352774,0.135518531341478,0.0367136261481338,0.0735355781828578,0.0771542519820541,0.128528662317084
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002742445",0.46005040793337,0.0678115683662314,0.0528203899496692,0.106226131797413,0.125064953795043,0.163589538732724,0.0850337875827021,0.0429461513625652,0.158577018006589,0.242204386685603,0.0786541041254993,0.0339052929936364,0.229644343638816,0.0408235667728202,0.0139043936855324,0.126750402361881
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932425",0.593445491128794,0.0603423991942445,0.157395798525841,0.0783016899992061,0.0932111878418859,0.220087297836958,0.118040051535345,0.11573223728705,0.29351974413449,0.357329882552232,0.0572080459147126,0.10051091974527,0.0929706826680131,0.173434798296126,0.133126780179296,0.176310467122631
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.25057581177682,0.0598100326455089,0.19169293414116,0.0277384286574525,0.0290214696257961,0.405570096082013,0.221708442181121,0.129566786921892,0.234476587179751,0.175787118270434,0.051157267539982,0.0308766543863292,0.0707418124319743,0,0.0363003992290149,0.127668256071283
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0.281536698144029,0.344167379283237,0.193617130485603,0.504197085277105,0.325151937576851,0.268324634659878,0.864355320132432,0.313513905807544,0.520861006783579,0.911060740320177,0.634317463953321,0.183355021764062,0.388310145505166,0.167063995393136,0.279084168328414,0.411927775560969
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula",0.846137889714859,0.235412515024114,0.744930477556048,0.251846345368863,0.307105362689753,0.533442469310423,0.520795523982037,0.796283252207571,0.383480890364764,0.740539602332542,0.205986321396306,0.10974485386298,0.31600204165701,0.266421794767351,0.268200756295712,0.435088673102022
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995",0.556921999859474,0.261614004503628,0.119713448026155,0.435885526075819,0.406708865028337,0.307160806582185,0.6378056896556,0.370783455655292,0.699270175356159,0.336382798417618,0.964261454229325,0.147591140789759,0.473364814055632,0.0697635940388651,0.833477560239633,0.441380355500899
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258605",0.276982546862415,0.169029197900915,0.352874550117432,0.0719545040078514,0.27770880889269,0.286548948074841,0.81058084801813,0.174559527006663,0.433085106627319,0.140808461000145,0.421488891659361,0.200748312136526,0.366027177496545,0.081534543572293,0.470052989065608,0.302265627495916
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258715",0.28146605511121,0.405007910985306,0.287453937430036,0.272796131541799,0.566155712842132,0.23646756507958,0.555690170455119,0.479885299575631,0.238632540424512,0.612253711010086,0.329265585954466,0.403618877539377,0.44883811588197,0.227182990922916,0.349626280647462,0.37962272569344
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp900555335",0.310983505137986,0.540226475933169,0.0137877960092362,0.143516015905118,0.269517095832375,0.267119299582491,0.660717841889381,0.212191965350508,0.298085136952161,0.423876147049933,0.275307060027772,0.0678782581625805,0.08981618515858,0.0377431857808589,0.36044175242197,0.264747181412941
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018382295",0.331191608288128,0.0932237142989366,0.0382397459303781,0.0398244582867711,0.111639489060217,0.155499211960205,0.221208275249294,0.0649581964660616,0.53357298470404,0.402835679245897,0.0148031601288744,0.109565951764049,0.176789162222979,0.0812546708010337,0.0263514284607096,0.160063849124505
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900551195",0.468913378565525,0.50644626833242,0.826019953816124,0.29358264877887,0.538293619307599,0.470851957529445,0.418346333792113,0.382892484442471,0.707989620922042,0.475418074340637,0.205725605459976,0.429268698472264,0.504980465781029,0.285019674157109,0.385368001654189,0.459941119023454
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900552425",0.536161635189999,0.122030524461587,0.0822215882915868,0.0474000239124951,0.126122811017386,0.109590615410356,0.319295535311306,0.147388340376185,0.373910017788918,0.278888493783092,0.0889174054342021,0.126976467792306,0.0675835965371458,0,0.0562587987012832,0.16551639026719
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900555355",0.273546967813578,0.200166884876824,0.513753549022606,0.0478950201485346,0.0859951968385431,0.26130120232828,0.194622112775592,0.103898327242843,0.349310496773311,0.433539510916166,0.0764507347784625,0.201172689986706,0.185915488834682,0.222202339404313,0.0638218800624237,0.214239493453524
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella stercoripullorum",0.193829386359185,0.00814520574050544,0.0203588845041143,0.194109425548237,0.0989791216451121,0.109044552742377,0.241455286716779,0.0561722870974687,0.212420751499096,0.167378583929924,0.0538783602537981,0.031277804642699,0.0563583156260945,0.010442293618172,0.0434981025446449,0.0998232241645471
