"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0.0949344429983089,0,0,0,NA,0,NA,0,0.0341318279617577,0.338067074528289,0.10763187734122,NA,0,0,0.0478971019024647
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,0,0,0,NA,0,NA,0,0,0.0708395634872278,0,NA,0,0,0.00590329695726898
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0,0,0.104566906701814,0,NA,0,NA,0.109236882997784,0,0,0,NA,0,0,0.0178169824749665
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0.0145110677899693,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0.0012092556491641
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0,0,0.0316202050956759,0,NA,0,NA,0,0,0,0,NA,0,0,0.00263501709130633
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0,0,0,0,NA,0,NA,0,0,0.0120359174845721,0,NA,0,0,0.00100299312371434
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0,0,0,0,0,NA,0,NA,0.0585495364649653,0,0.0749793422318015,0,NA,0,0,0.0111274065580639
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0,0,0,0,NA,0,NA,0.0999254238564653,0.0483485069561431,0,0,NA,0,0,0.0123561609010507
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0,0,0,0.00191946351927463,0,NA,0,NA,0,0.0400342084898005,0,0,NA,0,0,0.0034961393340896
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0,0,0,0,0,NA,0,NA,0.0751542470929148,0,0,0,NA,0,0,0.00626285392440957
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0,0,0,0,0,NA,0,NA,0.0343541419848551,0.0424217278181016,0,0,NA,0,0,0.0063979891502464
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002742445",0,0,0,0,0,NA,0,NA,0,0,0,0.187524754350397,NA,0,0,0.0156270628625331
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0,0,0,0.0146293790004891,0,NA,0,NA,0,0,0,0.0404374627901983,NA,0,0,0.00458890348255728
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0,0,0,0,0,NA,1,NA,0.0103707691883125,0,0.567320221147928,0.105862897784045,NA,0,0,0.140296157343357
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula",0,0.0201215134289247,0,0,0,NA,0.477304494126157,NA,0.0280511380061071,0.125392864686645,0.0891106812944129,0,NA,0.115967743496524,0,0.0713290362532309
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995",0.547391604784731,0.186793521587234,0,0.00917803364680455,0,NA,0,NA,0.0213767208352823,0,0.210999292609487,0,NA,0,0.44090369959358,0.11805357275476
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258605",0,0,0,0,0,NA,0.150784751309355,NA,0,0,0,0,NA,0,0,0.0125653959424462
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp015258715",0,0,0,0,0,NA,0,NA,0.0504469307671264,0,0.109800205641269,0,NA,0,0,0.013353928034033
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp900555335",0,0.0816727276984691,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0.0068060606415391
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900551195",0,0.544962841332995,0.234190639858546,0.0821588640431456,0,NA,0,NA,0.656285495198515,0,0.303984087534684,0.726970641790995,NA,0.296939631127997,0,0.237124350073906
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427",0,0,0,0.0201684921452537,0,NA,0,NA,0,0,0.0417094281138641,0,NA,0,0,0.00515649335492648
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",0,0,0,0.539273731562928,0,NA,0,NA,0.440459293055078,0.380147240933828,0.0986740165126093,0,NA,0,0,0.121546190172037
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta",0,0,0,0.0862920082327253,0,NA,0,NA,0,0,0,0,NA,0,0,0.00719100068606044
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sinensis",0,0.0601505350091421,0,0,0,NA,0,NA,1,0.0451017283164167,0,0,NA,0,0,0.0921043552771299
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sp014287365",0,0,0,0.192155517153791,0,NA,0,NA,0.251924673664764,0.110724087990534,0,0.140195001507484,NA,0,0,0.0579166066930477
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella timonensis",0,0,0,0,0,NA,0,NA,0.317567112068377,0,0,0,NA,0,0,0.0264639260056981
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter sp900554945",0.708230599329811,0.157188033624788,0,0.0245662502863818,0.519368301814663,NA,0.162527848220969,NA,0.231099174826047,0.037480364319417,0.0759031154660694,0,NA,0.302039578688412,0,0.18486693888138
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter",0,0.0754279161674601,0,0.0303972998687538,0,NA,0,NA,0,0,0.125432754943818,0,NA,0,0,0.0192714975816693
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae",0,0.00773335725635133,0,0.167287631638376,0,NA,0,NA,0.143190995041425,0,0.115115607497113,0.223807980469608,NA,0,0,0.0547612976585728
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens",0,0.00442293622877743,0,0.033141742996249,0,NA,0,NA,0,0,0,0,NA,0,0,0.00313038993541887
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UMGS1502;s__UMGS1502 sp900552365",0,0,0,0.00973432102439551,0,NA,0,NA,0,0,0.0128251798101358,0,NA,0,0,0.00187995840287761
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella",0,0,0,0,0,NA,0,NA,0,0,0.0148206311959132,0,NA,0,0,0.00123505259965944
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552155",0,0,0,0,0,NA,0,NA,0,0,0.0149922928615202,0,NA,0,0,0.00124935773846002
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552195",0,0,0,0.000408838998813189,0,NA,0,NA,0,0,0,0,NA,0,0,3.40699165677658e-05
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865",0,0,0,0,0,NA,0,NA,0,0,0,0.0639004898787812,NA,0,0,0.00532504082323177
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004558535",0,0,0,0,0,NA,0,NA,0,0,0.0427629291510146,0,NA,0,0,0.00356357742925122
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900540885",0,0,0,0.0525515946011054,0,NA,0,NA,0.0829056157682026,0,0,0.0366313678208565,NA,0,0,0.0143407148491804
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541575",0,0,0.257313201675123,0.0437106739476937,0,NA,0,NA,0,0,0.0883936642064347,0.205422955358624,NA,0.175596555264811,0,0.0642030875377239
"t__d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900542795",0,0,0,0,0,NA,0,NA,0,0,0.126642658948498,0,NA,0,0,0.0105535549123749
