"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.258809737765249,0.052261678907081,0.1108510303146,0.494783185093545,0.281613815580189,0.235741070747837,0.01601535163356,0.218639141674238,0.157783447179078,0.421896206254329,0.195834126446432,0.233192614730627,0.378866063753347,0.218867553963061,0.0783618452729699,0.223567791287743
"m__-_2-Hydroxypentanoate",0.119805863878048,0.100199746708601,0.078491078345001,0.238840246144085,0.101890827562078,0.1040618209168,0.332331416698548,0.112687643438926,0.141487614557371,0.182747365481986,0.139303530988847,0.102564303991113,0.0560359062276619,0.290912628878015,0.182958918806101,0.152287927508212
"m__-_SDMA",0.160691055390991,0.0163610896840007,0.303809968835191,0.410026650305823,0.0885772212670502,0.103194543997636,0.342522211320374,0.0548584072181214,0.172159709106644,0.307182330919584,0.137231610924126,0.264265378551709,0.131352774110245,0.280866802566267,0.397722716751123,0.211388164729926
"m__C00003_NAD+",0.0981352431368761,0.0427187724658971,0.0897734217432508,0.142321271672999,0.0555458981560246,0.0102100080045117,0.100433601074734,0.0963224467977182,0.181093169587253,0.130615998942507,0.141161394222973,0.000566678364077646,0.0618290878084705,0.0308485942071656,0.141194174377844,0.0881846507041536
"m__C00008_ADP",0.260450247510538,0.376617822121698,0.27151810858772,0.000659553650559664,0.012937439875393,0.430806051497067,0.44597354131207,0.191166496524489,0.225983283701183,0.272164102593115,0.123296014609743,0.218540306208788,0.290268209038874,0.0538674753705421,0.531891787447113,0.247076029336593
"m__C00019_SAM+",0.003920971406842,0.123694385985984,0.16323216966544,0.183203878072295,0.127441820278516,0.602680997349429,0.253695648162183,0.166019612874429,0.318540752376606,0.366318110346958,0.20367548606168,0.348381485592055,0.258526967253986,0.365318126259741,0.2887424798882,0.251559526104956
"m__C00020_AMP",0.0800061660268426,0.0364304070849348,0.0712962277575479,0.102149932081494,0.0641540698367056,0.121519752747168,0.117263374932032,0.15737745342241,0.0266498084215518,0.0874221495995505,0.0641825216061985,0.00119031643297169,0.12590408250752,0.0835237839743725,0.0576680980686222,0.0797825429666615
"m__C00024_Acetyl CoA",0.00973454789514306,0.372381743653351,0.31587740905423,0.326036116498266,0.218766704713568,0.129325358012548,0.0907834669644825,0.00552687007926466,0.0468935366246382,0.118359152935147,0.0243089535554534,0.239270563496475,0.00768906573566434,0.162273840510942,0.314422211321156,0.158776636070022
"m__C00029_UDP-glucose",0.515466875707668,0.13144483188375,0.184148796614735,0.906435101711109,0.307729876051444,0.362924842595472,0.165000487391529,0.301170033181681,0.0306061676824409,0.699085537232913,0.404933435876511,0.178829638242983,0.20814857605368,0.0792258255538489,0.0633971060695312,0.302569808789953
"m__C00043_UDP-N-acetylglucosamine",0.358168672754942,0.208995351269604,0.188272937840378,0.260739080182033,0.200299017843215,0.10562534623242,0.349853271029572,0.201304709097298,0.244883510307718,0.286020896754262,0.239679073253,0.126754716141336,0.0942437441587344,0.243635052084438,0.111567322913351,0.214669513457487
