"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.362473881603515,0.37424548254113,0.176735120912878,0.398013809620898,0.389716622500296,0.395136602593273,0.384841160846131,0.227519382595276,0.321362201725732,0.207986787164615,0.206306141917756,0.217856382058147,0.337283225099073,0.622240640724398,0.164604796283147,0.319088149212418
"m__-_2-Hydroxypentanoate",0.318893594921444,0.324489817498678,0.293209649087264,0.413848842902716,0.30932316997966,0.483628850572911,0.328488244826673,0.463111021698724,0.259645688720074,0.354484373863727,0.290910175134941,0.213536473319161,0.223201442634412,0.322675535602505,0.245819356870059,0.32301774917553
"m__-_SDMA",0.588192178810957,0.590883523268337,0.357362513492327,0.462436395077588,0.371116551448398,0.348833254231557,0.575884187646985,0.486683628074922,0.329407729555419,0.35865856898325,0.353452832778397,0.690722258078471,0.361348365425948,0.509945900022816,0.330644683400205,0.447704838019705
"m__C00003_NAD+",0.297373427479096,0.355664067773254,0.293058492603628,0.281686728604946,0.301617608363458,0.323376280195038,0.290382663309466,0.402315485041024,0.205718667427845,0.311935938454955,0.213605261716926,0.339269178162866,0.345405760991319,0.278608463297863,0.333507811209927,0.304901722308774
"m__C00008_ADP",0.485549459300927,0.25783372232105,0.239374268269084,0.320583466674879,0.400435071850894,0.377399395256898,0.273430404404139,0.318430339240464,0.226384550953958,0.277194766012662,0.165148757424285,0.188453426021219,0.370179445971952,0.525033572172117,0.345663292910861,0.318072929252359
"m__C00019_SAM+",0.460506992566726,0.727542743846032,0.450502551700357,0.391286552692323,0.527270073356778,0.619358205428782,0.704815033241821,0.485328045603147,0.547428560568021,0.353202517702923,0.355880598854413,0.472945039325414,0.515985534562313,0.579802384346277,0.635067515254655,0.521794823269999
"m__C00020_AMP",0.532494441666344,0.379892641086506,0.242985636749633,0.352370682006313,0.484475045009759,0.367099082237033,0.262437199231849,0.639223648158873,0.229520573317086,0.315600229512443,0.369347292415093,0.427689816637706,0.381465439879859,0.73038078978693,0.403408773044994,0.407892752716028
"m__C00024_Acetyl CoA",0.544758157186932,0.472651097983128,0.306923379619628,0.246409544959187,0.359627282779906,0.338590180910063,0.420500734214906,0.37295336729812,0.381165320657397,0.242724185815471,0.235733034197608,0.385721642532167,0.526555527730882,0.475384448901815,0.410245104651003,0.381329533962547
"m__C00029_UDP-glucose",0.623474123090315,0.43736537227402,0.298392290161637,0.632174980635019,0.476982110189863,0.62372731138509,0.720474536092097,0.774060421512928,0.585697896753751,0.528838626485148,0.346008321178967,0.548960370875576,0.581573474676559,0.810949785964063,0.183609308828998,0.544819262006935
"m__C00043_UDP-N-acetylglucosamine",0.688044405230067,0.53673232403193,0.445709324263018,0.6648577613082,0.527715361965402,0.595359969555794,0.437188911618093,0.667109910621906,0.542299735859059,0.586223048625931,0.455540082651044,0.478561276062669,0.540389447225485,0.517997548435151,0.467265450342481,0.543399637186415
"m__C00086_Urea",0.372783375939329,0.472045571443558,0.367395869334014,0.464764470784479,0.403602871826101,0.457510118646982,0.444318663155728,0.402845918043992,0.297517896474345,0.266733349311059,0.269922601041009,0.471599592788798,0.422464440185775,0.349497133729046,0.436865748678106,0.393324508092155
"m__C00093_Glycerophosphate",0.36768426634559,0.509408229253028,0.395784838081797,0.246987221427515,0.565555511055453,0.501418047932622,0.467161134571975,0.445378442276473,0.299264397122036,0.292231972379316,0.280987193196619,0.322929566880533,0.364780103434542,0.487219341906045,0.443825852425861,0.39937440788596
