"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.0010421082022962,0,0.00147157288669476,0,0,0,0,0,0.00318695560183209,0.0242975533927683,0,0,0.0287350667548383,0.0152355937714967,0,0.00493125670732843
"m__-_2-Hydroxypentanoate",0,0.0176093306332179,0.0011535895901296,0,0.0791019733242047,0,0.0181777000135189,0,0.0142898307760139,0,0.00340969810247244,0.110160445547646,0.000115843657904198,0.0177684332847217,0,0.0174524563286553
"m__-_SDMA",0.0150712688976026,0.0837167836844787,0.00418286492444937,0.40149808098505,0.0253697131115968,0.0737400264577139,0.364704534463507,0,0.00324039629937664,0.0220642320586588,0.0032669124989826,0.304194516438025,0.072806174912798,0.13212373549673,0.0214226422573354,0.101826792165754
"m__C00003_NAD+",0.0238785305476464,0.0465397022153178,0.0114882629960038,0,0,0.145459933111472,0.096686823144178,0.0031592762260178,0.00657935473017942,0.0122963429894412,0.0760327122503198,0.0202945563579402,0.0022523567786662,0.0289894240423812,0,0.0315771516926376
"m__C00008_ADP",0.00611645891000609,0.00662881968412376,0.00323064590245356,0,0,0.130259909468002,0.00869780408111766,0.026296628227859,0.000525087787196807,0.060140646995046,0.00126266088492677,0,6.03973508768761e-06,0.0093658274658616,0,0.0168353686094454
"m__C00019_SAM+",0.00719675279434701,0.0569147618061749,0.0150079092306708,0.149771114364873,0,0.0858791195248045,0.026438290293281,0.0534765802907789,0.112142897422114,0.302673611268521,0.0603957578110163,0.748114966491476,0.104008558827024,0.153233484861362,0.313663597854397,0.145927826856056
"m__C00020_AMP",0.026366348293631,0.0021489133665697,0.0156854023035243,0.0343498422193568,0.134654777375291,0.0181026792204403,0,0.0163100334367723,0.0285332123299095,0.0297687334921331,0.0652961213964072,0,0.13415155897102,0.037181880318575,0.0813471580015378,0.0415931107150112
"m__C00024_Acetyl CoA",0.0396690123510806,0.187278126926312,0.0762049179307048,0,0,0,0.0167453457879206,0.0444768311623238,0.698444492246737,0.00957290678685985,0.0509596247345197,0.0478868144544968,0.0449197620603693,0.027403613948893,0.00410862997155486,0.0831780052241181
"m__C00029_UDP-glucose",0.201421733103724,0.207651557951054,0.00893499706904878,0.0380371441599565,0,0,0.367578431225714,0.288484168112999,0.388673878592296,1,0.584285723229882,0,0.407152836056875,1,0,0.299481364633437
"m__C00043_UDP-N-acetylglucosamine",0.0139113879101592,0.275945165717307,0.196808743910439,0.241496752737438,0.0880059022503232,0.0358438263200409,0.50702144615837,0.336644154315627,0.8016728776092,0.755385039696071,0.0083621770323112,0.107653948222484,0.0195223775875919,0.0865846686676131,0.17420839802084,0.243271124410388
"m__C00086_Urea",0.0863229470694612,0.102571885413779,0.276558159556365,0.039346762043125,0.318495332303427,0.162979194583252,0.403957762738399,0.207938335503911,0.182736270572537,0.205244130498788,0.152903048301587,0.222039266387324,0.174693206967746,0.0570464485677352,0.288621732335619,0.19209696552287
"m__C00093_Glycerophosphate",0.00123430925829649,0.0142786628053964,0.0126938126086999,0,0,0,0,0,0.00497010578589833,8.21250142573423e-05,0.00462000274436883,0,0.00292790818241626,0.0242063927517059,0.0207534367706025,0.00571778372810946
"m__C00105_UMP",0.00675142083015036,0.147746914183652,0.084813130171809,0,0.264756314640762,0.0574581584751493,0.00090570892887794,0.0577131847697654,0,0.0374207006705393,0,0.111320545354237,0.0126717010845998,0.00976886180923466,0.00518840733365578,0.0531010032168288
"m__C00106_Uracil",0.00907451611610248,0.00171467769701159,0.0881199770803553,0,0,0,0.372023652338354,0.0558934930319781,0.186373313265663,0.0802912717653893,0.170941342855493,0.0678730759381413,0.0184303697715913,0.0649991070259542,0.629004785446989,0.116315972155535
"m__C00116_Glycerol",0.000996935299207177,0,0,0,0,0,0.0120053042912418,0,0,0.115660959765557,0,0,0.0611680389589063,0.0217004368327016,0,0.0141021116765076
"m__C00140_N-Acetylglucosamine",1,0.0961596230398932,0.100709435757562,1,1,0.442511038306132,0.284869418581415,0.263668894395471,1,0.501593950675839,1,0.436537861653164,0.482925874764099,0.198110894573866,0.82305778108213,0.575342984855305
"m__C00152_Asn",0.00646456911028848,0.0199651877022183,0.0172150905986985,0,0.57083493923227,0.238838196816818,0.0895863033173301,0.00367097101897161,0.539156581725194,0.0134500912209545,0.0266314124838521,0.569015156462866,0.0253999019492863,0.0346779786452359,0.0615420885289207,0.147763231254194
"m__C00153_Nicotinamide",0.000866352895573223,0.122792610950949,0.0190141900989306,0.074528365030587,0.0740093702205334,0.0370070385691297,0.018904666617531,0.0707490425031821,0.110909112872053,0.020185731842587,0.00247864885835648,0.0653785869918294,0.000249151452872762,0.0202755356121495,0,0.0424898936344176
"m__C00179_Agmatine",0.456998938332396,0.3856876505019,0.0753473272992746,0.0858988620509318,0.745543003613121,0.114961441160483,0.567018801501345,0.0318547509516953,0.227773061753851,0.112095170161287,0.181785286704803,0.0609504760312937,0.394452428165081,0.162093435858757,0.481166314477577,0.27224179657092
"m__C00214_Thymidine",0.0108545145484139,0.19627196005587,0.098025302885361,0.463036202731577,0.634555172148141,1,0.0971725350003212,0.0396736816824232,0.0870821174335063,0.749946609988508,0.0668556333300637,0.60451341028435,0.0599344367887371,0.0214890374303913,0.304619559037076,0.295602011556316
"m__C00233_4-Methyl-2-oxopentanoate",0,0.045004402162298,0.00130456790619993,0,0,0,0.000599687692726671,0,0,0,0.00282769147494346,0,6.01488150983963e-07,0.000465638693985851,0,0.00334683929455366
"m__C00245_Taurine",0.01579121361777,0.426198112509209,0.715734561732049,0.318242407208047,0.613472809674167,0.168587399537684,0.0213300435525942,0.220581340451612,0.269469487089664,0.340054675292548,0.125648891921956,0.678806345479815,0.156810240060371,0.0399055862780815,0.293724972979417,0.293623872492332
"m__C00253_Nicotinate",0.0102368735724344,0.017068608355269,0.3619360446965,0.159358235538987,0.0485448599349367,0.0257170961647921,0.343025712293635,0.111373532409911,0.20054271798155,0.0280209208744714,0.0473275752023146,0.165799234729245,0.0513632641369619,0.106676001992209,0,0.111799378525548
"m__C00262_Hypoxanthine",0.0278789305266215,0.152554150188844,0.0386242003484782,0.123481570090238,0.578113918401855,0.178214815051462,0.170503817016535,0.197813353710967,0.46034702102413,0.179557117755392,0.00865785266443778,0,0.0293894204664638,0.0764895692118898,0.0846060764746091,0.153748787528795
"m__C00263_Homoserine",0.0227860602133348,0.101833182277926,0.0224410732177906,0.188345419509663,0.133879730228817,0.0634642327292881,0.0197941222202034,0.0293130026513303,0.218471108663696,0.237674672329908,0.000346484920384608,0.488248026669325,7.54452400874959e-05,0.156408060797497,0.275300727581095,0.13055875661669
"m__C00294_Inosine",0.466789742391076,0.103299424402032,0.277628033923033,0.239582295799214,0.283597490620577,0.15908179097377,0.14827077711138,0.0449111074643804,0.0292989566307638,0.0658825773230107,0.1760951040321,0.13788734026305,0.0483176558692518,0.057561365406128,0.227234353242016,0.164362534363452
"m__C00295_Orotate",0.00268831221985505,0.0280824028763022,0.0102865611881705,0,0,0,0.0503679222661991,0.0209247652345886,0.0096180769425321,0.0139719083231934,0.0271953167989459,0,0.00829189151180931,0.00533968225156067,0.0217552983535118,0.0132348091977779
"m__C00299_Uridine",0.0190929293447803,0.0601013792327889,0.260412301330525,0.11303364229111,0.221985389249513,0.11032241210785,0.0435642119818729,0.198079123218032,0.0456647249921482,0.055954834102562,0.144298799851686,0.217882872412098,0.010333840561334,0.0473844043662124,0.168589519946159,0.114446692332578
"m__C00329_Glucosamine",0.0400569657125851,0.00977286661807495,0.00876896100440457,0.0865574871806669,0.190837277957493,0.179053015577529,0.568821976745148,0.132263629607709,0.0531082373370644,0.788716089991238,0.054701718587064,0.0341036818020757,0.0716821812845085,0.0223347237121075,0.343457327196829,0.1722824093543
"m__C00357_N-Acetylglucosamine 6-phosphate",0.188818633081304,0.0560553574206554,0.00305741651339536,0.147181031522846,0.0930649660835247,0.0397934323738703,0.0254082018017169,0.0424586853317199,0.0856576794614716,0.0229203196808876,0,0.0480296394181467,4.48793329761692e-05,0.00246393783346762,0.0128867081165273,0.0511893925315006
"m__C00364_dTMP",0.0120151732319696,0.0698318528984341,0.0140841067507039,0.0614876165229842,0,0.0943026967915116,0.0208542005090472,0.0121969532005723,0.00550779809010613,0.0434490930681938,0.00406272049081767,0.179815604293491,0.00224401038507733,0.0410181218163204,0,0.0373913298699486
"m__C00385_Xanthine",0.00545785124280152,0.103602151386593,0.0130478231300537,0,0,0,0.0234667338554724,0.235066116536648,0.0574118592163387,0.0639395163152891,0,0,0.0177456483951896,0.0141736712150973,0,0.0355940914195656
"m__C00398_Tryptamine",0.00603446874885754,0.0586410794847206,0.0598380940844389,0,0.0807462999482328,0,0.0833205218389156,0.113741125573994,0.215046708092051,0.50412631580495,0.0140236192676953,0,0.0588804876733004,0.0913063766082484,0.00574232999299879,0.0860964951412269
