"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0.0127617841525143,0.0363805292186861,0,0,0,0,0.0978444914697722,0.189274884724494,0.00277270132343268,0.0153727601568371,0,0,0,0,0.0236271434030491
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0.00461717216648562,0.00110759040004183,0,0.0027468646803288,0.0256320796526499,0,0.00017642593132621,0,0.00850090196843401,0,0.133314542874396,4.67084005932445e-05,0,0,0.011742819071617
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0.00241997750140247,0,0,0,0,0,0.153135393499264,0.00497474594341105,0.0557710739413498,0.0891203638110515,0.00491807149114186,0.150187085104434,0,0,0.0307017807528036
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0,0.00332156408802955,0,0,0,0,0.0143146334509593,0,0,0,0,0,0,0,0.00117574650259925
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0,0.0111673864640766,0,0,0,0.330172928932185,0.00896829501458575,0,0.0359935870780547,0,0,0.0201031522811551,0,0.320241672329113,0,0.0484431348066113
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0,0,0,0,0.549675701630032,0,0.0106413387758985,0,0,0,0,0.00112539646735587,0,0.148631136297718,0.0473382382114003
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0,0.0697144298068667,0.705515447268696,0,0.0101339534858199,0,0,0,0,0,0,0,0,0,0.0523575887040921
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0.184972501845806,0.188312633702516,0,0.000737563112417763,0.198048070653213,0,0.00184572336289586,0,0,0,0.045011332068725,2.15151465503745e-05,0,0.0123634080509042,0.0420875165295352
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0,0,0.0247169517796085,0,0,0,0,0.0481709879494467,0,0.00114561139162578,0.0302798465801412,0,2.66336326302447e-05,0.118943416663868,0.0159265545571375,0.0159473335036305
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0,0,0,0.00381924434046832,0,0.0114575623364449,0,0,0,0,0,0.00596327788924878,0,0.0248272533493475,0,0.00307115586103397
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0,0,0,0,0,0,0,0,0,0.164378207195157,0,0,0,0,0.0109585471463438
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0,0,0,0,0,0.110824389370464,0,0,0,0,0,0.00150572982378616,0,0,0,0.00748867461295004
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0,0,0,0,0.201908889168613,0.0465496724337872,0,0,0,0,0,0,0,0,0.0165639041068267
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium reuteri",0,0,0.0383974962812684,0,0,0.0183426224763198,0,0,0,0,0,0,2.62059155484348e-06,0,0,0.00378284928994287
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0.0111851763678362,0.00307018161032214,0,0.0275557324901558,0,0,0.0283812739082617,0.000748167029940213,0,0.00144833795020691,0.0246379918889119,0,0,0,0,0.00646845741637565
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0,0,0,0,0,0.00313985864604887,0.00928949997819825,1.00424698170811e-05,0,0,0,0,0,0,0,0.000829293406270947
