"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxypentanoate",0,2.25881952286088e-07,1.68650892993699e-06,0,3.10524247479515e-07,2.4407015895917e-06,1.3576353087132e-06,0,4.45195864891805e-07,0,0,1.99991789474774e-06,0,0,7.26432043157878e-07,6.12853188720328e-07
"m__-_SDMA",3.22097735788971e-06,0,0,0,2.44750558797607e-06,6.22019818153122e-06,0,8.62031809986438e-07,9.18687436772228e-06,2.89117046868986e-06,0,0,0,0,1.31038949387304e-07,1.66398644821219e-06
"m__C00003_NAD+",4.40685592482455e-07,0,0,0,7.11937139178013e-07,0,1.85489812999112e-06,0,0,0,0,0,0,0,0,2.00501390776772e-07
"m__C00008_ADP",0,2.54573351877178e-07,5.45213036535765e-06,8.97413101398627e-08,4.25922717874293e-06,0,4.44411392289387e-06,0,0,3.15791963733863e-06,1.14983691364647e-07,5.09657649434854e-06,0,0,1.29944600153378e-06,1.61124746357314e-06
"m__C00019_SAM+",1.94326599105584e-05,6.87916741883834e-07,2.17755541106408e-05,1.54179261713573e-07,3.73947873014699e-06,1.21276137002223e-05,7.15904172050622e-06,6.35762186372454e-06,2.43738253224099e-05,3.45614243814746e-06,1.72990898295516e-07,9.28725459220846e-07,3.30464356029932e-05,1.11097596601358e-06,1.86946736839776e-06,9.09284193965832e-06
"m__C00020_AMP",0,0,2.75603937492246e-06,0,0,0,1.92905600545761e-06,0,0,6.83482159639838e-07,2.61201101125158e-08,0,0,0,1.08107296885379e-07,3.6685366313452e-07
"m__C00024_Acetyl CoA",1.57448848573336e-05,4.98030687972002e-07,1.32646771243516e-05,1.98664161592894e-07,4.85369708625322e-06,7.97882243855721e-06,7.31031256424105e-06,5.38248235413236e-06,2.73840495747414e-06,4.04747489757052e-06,2.71968283375327e-07,1.9037562900269e-06,2.8217498778663e-05,4.50508369824845e-06,3.37672345588855e-06,6.68616544237872e-06
"m__C00029_UDP-glucose",0,1.78338155545628e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18892103697086e-08
"m__C00043_UDP-N-acetylglucosamine",0,3.37198694553769e-07,0,0,0,0,2.26358153558649e-06,0,0,0,0,0,0,0,0,1.73385348676017e-07
"m__C00086_Urea",1.22828796418873e-06,6.00725330073127e-08,0,0,1.16536109132562e-07,0,1.44203140863744e-06,0,0,5.36500579806438e-07,0,0,0,0,0,2.25561906318166e-07
"m__C00093_Glycerophosphate",1.1901729140397e-06,0,0,1.63639539569294e-07,0,0,0,0,0,9.11123171246416e-07,4.86753220330026e-08,2.52038532409538e-06,0,0,4.71317109617259e-07,3.53687558706737e-07
"m__C00105_UMP",0,0,0,0,0,0,7.68993759885558e-07,0,0,4.00547425406664e-07,0,0,0,0,0,7.79694123528148e-08
"m__C00106_Uracil",4.75354545266496e-06,2.43843958013895e-07,4.79599360946713e-06,8.0359403151511e-08,1.61190629552441e-06,1.52995460069726e-06,3.67666355599422e-06,0,0,1.17116846148389e-06,7.35197341309319e-08,0,0,0,6.42993508950482e-07,1.23866323867191e-06
"m__C00116_Glycerol",0,1.46782566562066e-07,4.03367439793823e-06,4.62097120995874e-08,1.24181586115048e-06,0,6.21472526618018e-07,0,0,1.26605043468834e-06,2.14624031482858e-08,0,0,0,8.86428410045477e-07,5.50926420816699e-07
"m__C00140_N-Acetylglucosamine",1.14086374033433e-05,3.20913084318754e-07,2.64252092461962e-06,4.01929413474948e-08,1.78228853709143e-06,0,3.60519900785359e-06,0,0,2.07083543818677e-06,2.49308683744095e-08,1.81724181617971e-07,0,0,0,1.47181615911689e-06
"m__C00152_Asn",0,0,0,0,0,0,8.77239118439868e-08,0,0,0,0,0,0,0,0,5.84826078959912e-09
"m__C00153_Nicotinamide",0,0,0,0,0,0,3.4379406756702e-07,0,0,0,0,0,0,0,0,2.2919604504468e-08
"m__C00179_Agmatine",9.05924692231099e-06,4.26325824056812e-07,2.58806265358694e-05,2.72256217317599e-07,5.25718644199012e-06,3.20622715770548e-06,4.72680583343153e-06,2.35566859089059e-05,2.86547693611227e-05,3.26754769722915e-06,8.82811305319984e-08,2.5527529413359e-07,0,2.1921114040252e-07,1.80811072017736e-06,7.11190374567901e-06
"m__C00214_Thymidine",7.31823707646761e-06,2.96749702292457e-07,5.06420386145033e-06,3.13122283317967e-07,1.49859900826799e-06,8.60896883989776e-06,6.47688691194353e-07,0,0,2.31618249502471e-06,1.6665656902515e-07,3.88144461653856e-06,2.35469987808166e-05,3.99802879870536e-07,1.55921686438379e-06,3.70785811123652e-06
"m__C00233_4-Methyl-2-oxopentanoate",0,6.88445297413704e-09,1.43880854934292e-06,0,4.92167988823127e-07,0,3.00397452617497e-07,0,0,1.86503270942857e-06,0,0,0,0,0,2.7355274354575e-07
"m__C00245_Taurine",3.96384388086984e-06,9.3509754388582e-08,3.14373966817975e-06,8.44629136654373e-08,1.3766061610928e-06,4.71481267553595e-06,3.6260722475813e-07,0,5.20682433629753e-06,1.49617962445963e-06,0,0,0,0,6.88395121998788e-07,1.40873209074976e-06
"m__C00253_Nicotinate",5.16057133550746e-06,3.846211351223e-07,9.13369051970426e-06,1.98489963840738e-07,1.947563712131e-06,8.82949164704327e-06,2.17086884344608e-06,1.01711510039862e-06,8.18076480844982e-06,1.78925567619812e-06,6.75553111477554e-08,4.06602802949695e-06,2.51783394109549e-05,1.28197869315077e-06,2.21239666482977e-06,4.77458205676146e-06
"m__C00262_Hypoxanthine",0,2.83825377377857e-07,0,0,6.97434587481959e-07,0,3.17003768510508e-06,0,0,9.33631563767745e-07,0,0,0,0,0,3.3899528091551e-07
"m__C00263_Homoserine",0,9.18655398997469e-08,0,0,0,0,1.3937941074315e-06,0,0,1.45535613693923e-07,0,0,0,0,2.42839922375187e-07,1.24935678893357e-07
"m__C00294_Inosine",0,2.27020019251118e-07,0,0,0,0,2.37250327965936e-06,0,0,0,3.12954056836642e-08,1.02708454735104e-06,0,0,2.57025747069468e-08,2.45573721776808e-07
"m__C00295_Orotate",0,0,0,0,0,0,1.1160994845585e-06,0,0,0,0,0,0,0,0,7.44066323038999e-08
"m__C00299_Uridine",0,8.36035593253944e-08,0,0,1.33204865473292e-06,0,9.68734713474287e-07,0,0,7.41389513850013e-07,0,0,0,0,0,2.08385096092174e-07
"m__C00329_Glucosamine",0,1.88784364270263e-08,0,1.16204234508224e-08,2.84091863835741e-07,0,7.52224805670216e-07,0,0,1.14951459351819e-06,0,0,0,0,2.03691402993457e-07,1.6133476839303e-07
"m__C00357_N-Acetylglucosamine 6-phosphate",1.22081686251515e-05,2.43636310210099e-07,9.02019384564326e-06,0,1.60021286795112e-06,3.14998462549854e-07,2.71408087095383e-06,1.7177305176394e-06,4.93901616805611e-06,2.62827230556076e-06,2.88575033462489e-08,0,0,3.9595062005582e-07,2.49647586775649e-07,2.40405104559291e-06
"m__C00364_dTMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00385_Xanthine",2.2584396423254e-07,1.14959711150707e-07,1.91352432313692e-06,3.04168475309368e-08,4.92813395908627e-07,8.21818570301057e-07,2.63525529283889e-06,0,0,8.44176185093701e-07,5.05100428776953e-08,0,0,0,2.52282654033791e-07,4.92106732473658e-07
"m__C00398_Tryptamine",1.39675901261338e-05,6.0577673149522e-07,9.30521030230809e-06,1.98166891452974e-07,6.13368205795443e-06,9.39224646921479e-06,6.13257151836423e-06,1.25267541023359e-05,3.70666061092906e-05,3.71785736786209e-06,1.85594766051568e-07,9.23456840662895e-08,4.99323424541434e-05,2.71865796033306e-06,1.24075661082827e-06,1.02144106101223e-05
"m__C00423_trans-Cinnamate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00429_Dihydrouracil",1.20378915453022e-05,3.42138073462702e-07,6.97101748628002e-06,2.08674557463227e-07,3.08102565067562e-06,8.99010145520567e-06,3.07865053294824e-06,1.13715166198248e-06,2.15082628399922e-05,1.94953002495084e-06,8.85676617696452e-08,2.70938037349338e-06,3.99906332095541e-05,1.6965395390879e-06,1.16105628145895e-06,6.99670805957515e-06
"m__C00430_5-Aminolevulinate",2.7790989981212e-05,1.22256100689753e-06,2.26962905313039e-05,2.97720938262686e-07,6.90113782276313e-06,2.22649297902295e-05,1.11694255759831e-05,1.32796447908807e-06,4.05497609559972e-05,5.92526577792694e-06,2.15565417271341e-07,1.0803049753018e-05,5.72746132611931e-05,3.99997577775037e-06,2.78548302280668e-06,1.43483156061136e-05
"m__C00440_5-Methyltetrahydrofolate",0,1.80117670212631e-07,5.71849795278949e-06,0,4.93774284534684e-07,0,1.15716370351204e-06,0,0,1.75728326202583e-06,0,0,0,0,7.58279012820344e-07,6.71007725726335e-07
"m__C00588_Phosphorylcholine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00695_Cholate",0,9.19283069427476e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12855379618317e-09
"m__C00785_Urocanate",1.14923713389244e-05,1.43386451345081e-07,2.7829482460942e-06,1.76830742063396e-07,2.21135482033752e-06,2.74033300833389e-06,3.13272305620651e-06,1.19849451970341e-06,1.13861245112164e-05,1.89408353148694e-06,2.95611468474864e-08,2.36036718002877e-06,0,2.65788139019823e-06,1.25727294446373e-06,2.89758219248333e-06
"m__C00847_4-Pyridoxate",7.10853637583125e-06,1.87442031682763e-07,7.12184992238342e-06,1.21589649112089e-07,2.77159010866983e-06,3.8161590960562e-06,4.54567891549683e-07,0,0,2.11912550858884e-06,2.10754002546893e-08,3.24321887857171e-06,0,0,1.24183204023607e-06,1.8804657935291e-06
"m__C00864_Pantothenate",0,0,0,0,0,0,1.37885726335534e-06,0,0,0,0,0,0,0,0,9.1923817557023e-08
"m__C01029_N8-Acetylspermidine",1.65126046854269e-06,1.49104843579204e-07,7.60625501846257e-06,0,0,0,3.36115402070036e-06,0,0,3.71583487958424e-07,0,0,1.8326371213677e-05,0,0,2.09771527019468e-06
"m__C01047_N-gamma-Ethylglutamine",0,4.34505707227083e-07,1.4736723238465e-06,0,2.61188817763891e-06,0,9.92376329347164e-07,0,0,2.46693836137777e-06,0,0,0,0,1.35444905505735e-06,6.22255330299652e-07
"m__C01118_o-Succinylhomoserine",3.1041410698102e-06,0,0,0,1.63869680239108e-07,0,4.11155437457726e-06,0,0,0,0,0,0,0,0,4.91971008308438e-07
"m__C01879_5-Oxoproline",0,0,0,0,0,0,8.68877120996748e-07,0,0,0,0,0,0,0,0,5.79251413997832e-08
"m__C01921_Glycocholate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C02043_Indolelactate",0,2.57392111730175e-07,2.06842681775292e-07,0,2.44861967228534e-06,8.46782172271816e-08,8.98518220459905e-07,0,0,7.89681632916099e-07,0,6.97604313120908e-07,0,2.39032238522931e-07,5.48511552546709e-07,4.11392042705636e-07
"m__C02571_o-Acetylcarnitine",0,3.84223072939668e-07,0,0,3.14178630849221e-06,0,1.01162492550725e-06,0,0,1.58637926639584e-06,8.16780513672637e-08,0,0,0,0,4.13712774980149e-07
"m__C02656_Pimelate",7.17003636395794e-06,2.84683263412238e-08,0,1.99671587182582e-07,1.08955033404143e-06,7.83119401515774e-06,2.00435108210115e-06,0,0,1.3364281360601e-06,7.57903221581832e-08,1.2450332152071e-06,0,0,2.03499037504183e-06,1.53436758381662e-06
"m__C02679_Dodecanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
