"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.00640115802812938,0.0141619387674167,0.0595760541427568,0.191642360859981,0.00551288939218736,0.0380041049119234,0.0235942376326018,0.103853012347698,0.0928525594342065,0.00535168813332149,0.0783463602729844,0.16063426979299,0,0.0215176600635326,0.0331647261729759,0.055640867996847
"m__-_2-Hydroxypentanoate",0.0574455933395935,0.127916470350841,0.280287582895931,0.0442028690109948,0.0767277340299374,0.0774105693816471,0.0717430935075072,0.19250295163759,0.0756355693694434,0.0176605708399609,0.0907691321820314,0.186465876671653,0,0.0838503644788941,0.0136542684000245,0.0930848430730699
"m__-_SDMA",0.229338469291502,0.00347996358601053,0.269829593498118,0.458678844274809,0.289926398919292,0.146767261987353,0.0333622520124989,0.199630859277379,0.126136736616295,0.0179504539471825,0.130881708548713,0.130044070104042,0.00379224739031801,0.246991748300649,0.103098333277403,0.159327262735438
"m__C00003_NAD+",0.192517819100079,0.0104050911221714,0.285502260350725,0.177984614421632,0.0654169171480478,0.117689871270278,0.643305807429283,0.306515801451666,0.0524997674318887,0.0172974205737712,0.589112259313833,0.125710362137939,0.0167157482749479,0.246227022920367,0.187242559206192,0.202276221476855
"m__C00008_ADP",0.00636372435545026,0.0572753012981173,0.200136941929095,0.178327768153428,0.101390494853139,0,0.0897844298211889,0.124500851044277,0.0171061861022751,0.034005518347147,0.0934297853471387,0.603158402242481,0.061240061884671,0.130932754140729,0.152437976767684,0.123339346419121
"m__C00019_SAM+",0.426300814960655,1,0.75218445612191,0.529144146116096,0.413612326119279,0.299769841377463,0.602809505064989,0.735572164404892,0.511492900161351,0.249329036299141,0.345224493158693,0.377020734213223,0.210999455084465,0.509752991467033,0.182825955947013,0.47640258803308
"m__C00020_AMP",0.150716682146959,0.193652584348779,0.400384863836828,0.436586102054794,0.159875458811305,0.0510475508249931,0.322409208658178,0.356025480067327,0.190706761954168,0.0580644076631051,0.153842986708735,0.224639089100309,0.0481255559281367,0.278504912177709,0.227448317948582,0.216801997481994
"m__C00024_Acetyl CoA",0.145397119062014,0.1954117244964,0.414125850782656,0.258016242953529,0.0332906011904256,0.132015973361854,0.191261141062059,0.188849987627749,0.388987498892912,0.166051154923811,0.260592699758916,0.519384629268092,0.0692551472494704,0.339702680490561,0.195307085450578,0.233176635771402
"m__C00029_UDP-glucose",0.059951033077133,0,0.0304157268326938,0.146048838811999,0.18339896105124,0,0.0986285125267088,0.256699980590554,0.0464874496183135,0.046096148097754,0.16933295150266,0.0557348456161864,0.0463667806250692,0,0.17636221513984,0.0877015628993435
"m__C00043_UDP-N-acetylglucosamine",0.353960529777955,0.393323978803022,0.322170429799204,0.176457619351691,0.0320188615898242,0.26863593356097,0.341195748308217,0.177097837275396,0.357676369203802,0.140205052064591,0.461662439041242,0.580453487428566,0.159799950780619,0.252697130651512,0.289907210799577,0.287150838562413
