"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyoctanoate",0.128190041515885,0.198359274935718,0.091776830923556,0.140718164324378,0.139838106758259,0.101908544431976,0.207653057939387,0.0937546264391672,0.171776968501845,0.192437190984662,0.125550828752402,0.122151126954562,0.130068549662798,0.150664970007107,0.175110845959845,0.14466394187277
"m__-_2-Hydroxypentanoate",0.35506537970689,0.316118330741059,0.264024147508651,0.310484738073494,0.418519025540622,0.354611013067659,0.572042265045128,0.209829921838848,0.443902691966241,0.320318661286302,0.430542567283443,0.340361139760469,0.311935781300879,0.371783607204423,0.389978271303374,0.360634502775165
"m__-_SDMA",0.591375935212353,0.231949465235669,0.291742882087286,0.366209021579139,0.37101926189204,0.412556816442831,0.433251674687552,0.510760108257404,0.609274063314108,0.675817928039544,0.411492506395171,0.312484929094803,0.346988343925922,0.618296896950722,0.406656489233019,0.439325088156504
"m__C00003_NAD+",0.568640037403943,0.421020056249342,0.500851856192073,0.424351866051776,0.37726085306289,0.381247791295205,0.544277382039732,0.440447867058179,0.616081939902248,0.434144981461887,0.547692781802403,0.360168301203661,0.297181189826579,0.773459585370044,0.523339147544959,0.480677709097661
"m__C00008_ADP",0.185611691783425,0.267603512005359,0.302204490089526,0.226396267885306,0.470482257535993,0.162039163064751,0.42284095550117,0.282568820404088,0.332960727351154,0.364498741311758,0.501472011835016,0.26189222087149,0.314639536774809,0.436049351135516,0.338213235077086,0.324631532175097
"m__C00019_SAM+",0.69298516997858,0.678800964257219,0.643101437422144,0.926831035282504,0.569454570369895,0.757982220850602,0.625148830932541,0.585407141616589,0.881414669332486,0.837103432625186,0.792669179844807,0.620265912599978,0.563796301686637,0.627852495669725,0.813552317253569,0.707757711981497
"m__C00020_AMP",0.397940264370193,0.511583657704089,0.366415474510485,0.640347312607704,0.360242530273569,0.510762913977294,0.751606439218224,0.442393256231276,0.492891804930019,0.576486095329843,0.666406018900984,0.533762769857934,0.284174299174087,0.435726525461349,0.427047001065718,0.493185757574184
"m__C00024_Acetyl CoA",0.478847541644667,0.388498144578821,0.308671278023027,0.668068516939452,0.343084302372294,0.34178368693603,0.61389538847266,0.398736921662685,0.365631567357769,0.372503935090375,0.761560867035431,0.422438289325676,0.476162867934002,0.616668729847899,0.563883066543323,0.474695673584274
"m__C00029_UDP-glucose",0.216267387434662,0.145214169668377,0.147075459387313,0.302422267461291,0.171630747905127,0.109482817498267,0.228100061838398,0.241218480620179,0.196530483066288,0.163072460982654,0.227997436332197,0.134616486671832,0.150286806607247,0.220869665089406,0.170606483295027,0.188359414257218
"m__C00043_UDP-N-acetylglucosamine",0.453279864175088,0.931140835409821,0.584679342088044,0.562028589024788,0.316146545644026,0.622111376835721,0.591473349061388,0.51220095157422,0.728977603503314,0.609734790585739,0.654996535566643,0.537700051511614,0.429554619043969,0.647035340013011,0.672062775880974,0.59020817132789
"m__C00086_Urea",0.610829248677072,0.432292506048619,0.279045929698176,0.610111679323806,0.345034956314183,0.481763586763229,0.60617159267042,0.318830145546157,0.438391461996093,0.476801743855624,0.443543856335622,0.417849450417923,0.383219060853803,0.385706587040355,0.633667834360766,0.457550642660123
"m__C00093_Glycerophosphate",0.317278419718518,0.181438582780463,0.15858493430295,0.377435494018602,0.296026639320485,0.308188475437106,0.1931312777228,0.248192437088486,0.308338241587697,0.309038930034294,0.412100324628119,0.402572979291315,0.293818932195726,0.298207719156333,0.299787072933697,0.293609364014439
"m__C00105_UMP",0.282579209847718,0.421939927108884,0.287920031663885,0.334878177045749,0.314881427328318,0.397522024855461,0.432626022499623,0.355245068037766,0.328255968115134,0.481872757622852,0.500174750809409,0.462137812928101,0.274789473039915,0.328601823953814,0.386633533451045,0.372670533887178
"m__C00106_Uracil",0.36419861891761,0.345111422547731,0.350581820586662,0.325326283929949,0.16359067737992,0.298324556735346,0.567204135186611,0.320936097753307,0.403312897965722,0.623007067474297,0.289232971240643,0.251710007185782,0.431573410953386,0.394327034405922,0.491751253551522,0.374679217054294
"m__C00116_Glycerol",0.105618219584752,0.120006766243339,0.194376932787683,0.221182604751449,0.190236498420629,0.10141305536754,0.150156097381623,0.136129715463643,0.172506357873423,0.102477155852592,0.0569926048961115,0.122984047089718,0.0999746034153451,0.0998544206824874,0.108580560378659,0.1321659760126
"m__C00140_N-Acetylglucosamine",0.518079057279302,0.476062504315057,0.61178617274296,0.511629974527665,0.389244107454564,0.378906862015506,0.48042049518204,0.355187587731593,0.501139183066864,0.499650169443409,0.428843530056602,0.592788876053333,0.407204532597124,0.467585068648911,0.611442119790851,0.481998016060385
"m__C00152_Asn",0.314550305370283,0.412805387740729,0.409415057686043,0.420895914707763,0.383346772263819,0.40185914102307,0.403058245471167,0.307076602152245,0.295300511209844,0.37576883697344,0.237198585958559,0.428539628798795,0.379000486908612,0.259236594207866,0.316207200049157,0.356283951368093
