"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0.155724885846895,0.0813764612409931,0.175036250136948,0.148812538095809,0.0267513688776293,0.0608921341907496,0.182199667727616,0.0525151994784647,0.291168935137294,0.0915359071941931,0.0357510138337878,0.081376058927228,0.0199815648460466,0.0981264301807407,0.213669873872726,0.114327885972475
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0.0431579330344694,0.598444679159475,0.289049470963943,0.370645091759996,0.402796988506697,0.204883562765403,0.233097082501966,0.0869852567642267,0.473602261066819,0.501826407824558,0.103618611863185,0.133768806280713,0.0931445679232858,0.0319361396694656,0.379526305127388,0.263098877680773
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.126536099333396,0.221742494299729,0.237570164853133,0.367705167440094,0.203102288020913,0.144473879777044,0.144026502697745,0.0834204453725881,0.231641212246196,0.457642402926595,0.0237261630269482,0.028528695283792,0.122358016826116,0.050622011523572,0.430647172611734,0.191582847749306
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0.197108806077631,0.116522091861325,0.105964019003079,0.695046770961812,0.0915155900449304,0.0855865780816371,0.265712542211166,0.384391895571935,0.186792736080342,0.2205290855386,0.0306138219179237,0.164294739876886,0.100135100521288,0.0801828497558695,0.15099892879604,0.191693037086698
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",0.113862626095659,0.101608073480285,0.14721984822411,0.100098861137758,0.192913331899157,0.0575426595123509,0.285249230638414,0.0631315389397848,0.45685364213132,0.320074293633602,0.0351758531043666,0.052481969620057,0.0572089195474978,0.0637379204787815,0.135216751655619,0.145491701339918
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0.172590076612817,0.204565247929543,0.272452424882186,0.145045317564566,0.108560588315697,0.220186400694864,0.0474163099818486,0.177606946206436,0.408125039055112,0.0386606576795203,0.0808183194462194,0.0728445481485201,0.0310198906064236,0.258133972926793,0.14920171600337
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0.459426051829988,0.144290441178849,0.124602247637729,0.116831568951339,0.0271935578434593,0.211410290126388,0.0667251340484148,0.155484312497806,0.31801156601891,0.0882069735242697,0.060660895312061,0.0631876465207225,0.0226069715146195,0.26946886103656,0.141873767869408
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis",0.0160267159494733,0.115950905136515,0.319450830526812,0.174412995303021,0.246560258964019,0.0191588723399663,0.257936429167801,0.0147402876682703,0.207528984381476,0.489240462172976,0.0221061282353883,0.168223796736018,0,0.0440111371368666,0.132155942184049,0.148500249726843
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0.0418157370507091,0.244683633550626,0.206169014428585,0.289354684788948,0.387480536483312,0.0895336364447805,0.147154457878349,0.135580873898121,0.252349286820189,0.175353561736219,0.133075577650508,0.0298693614758065,0.0912989455083547,0.154438790074874,0.15330796199025,0.168764403985309
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A",0.0307178722364905,0.588676194148225,0.0978941727277544,0.371972486564776,0.365532878188922,0.0510125257613326,0.28867593720158,0.0856752349160199,0.366597782967059,0.197791493234721,0.0254285759882802,0.00899292603572667,0.0401377864503729,0.14141356964626,0.253081546353836,0.194240065494757
