"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxypentanoate",0.00691169225429815,0,0.00203995933004068,0,0.341056360115299,0.0224633401007509,0.300126690661965,0,0.449216425060782,0.135598404554907,0.237337255313377,0.123469041087144,0,0.166152822902028,0.269708316749123,0.136938687208648
"m__-_SDMA",0.0338344615152176,0,0.092193349698365,0.0319451539660094,0.129673029022232,0.0611625785917401,0,0.0604732287531753,0.0454958598209203,0.230732251129952,0.0125249851044766,0,0,0.0709347385744895,0.020291366846966,0.0526174002015695
"m__C00003_NAD+",0.00614126132916863,0,0.0346851258512696,0.0159890376219671,0.00685740315101716,0.0140597057035325,0,0.0809584796084191,0,0.0274165988786845,0.0745332647702129,0,0,0.180715721062726,0,0.0294237731984665
"m__C00008_ADP",0.0197191505174628,0,0.205420834883927,0.0575404971376074,0.137867455489233,0,0.155150941674069,0.0956607683228393,0,0.0445358264275968,0,0,0,0,0,0.0477263649635156
"m__C00019_SAM+",0.00416329241850982,0,0.0472318922384565,0.0458838047857982,0,0.137639682766437,0,0.100755638083962,0.246138278436232,0.042035952400135,0.431062564112346,0,0.0212387935766695,0,0.0117056738902107,0.0725237048472504
"m__C00020_AMP",0,0,0.352080655859455,0.0437066900719075,0,0.0485416105472362,0,0,0,0.0459121517351854,0,0,0,0,0.0449271600709592,0.0356778845523162
"m__C00024_Acetyl CoA",0.0842919011185559,0,0,0.0139575127947998,0.00610470228212583,0,0,0.074815108516206,0.0646309162267153,0.0148090091178622,0.439269580228388,0.104031522503279,0,0.463151179650423,0.0439772403515755,0.087269244852662
"m__C00043_UDP-N-acetylglucosamine",0.0117723537275055,0,0.049389731205643,0,0.000536550199798542,0.0402495402322651,0,0,0.000272801677990206,0.00568715814738458,0,0,0,0,0,0.00719387567937246
"m__C00086_Urea",0.00651380368003435,0,0.0256736163300772,0,0,0.0350534043661265,0,0,0.0487690482806993,0,0,0,0,0,0.00529476471274111,0.00808697582464523
"m__C00093_Glycerophosphate",0.220288212645762,0,0.0489235769982845,0.139699305465787,0,0.0617162019186291,0,0.106866676752474,0.00755677375481883,0.010345901033239,0,0.137563246381979,0,0,0.0448356871502443,0.0518530388067477
"m__C00105_UMP",0,0,0.0170641606611541,0,0.00099996180657543,0,0,0,0,0.0147098115385931,0.00590164742236578,0,0,0,0,0.0025783720952459
"m__C00106_Uracil",0,0,0,0,0,0,0.163753435593619,0,0,0.025662167635307,0,0,0,0,0,0.0126277068819284
"m__C00140_N-Acetylglucosamine",0.00094269016542478,0,0,0.017613365050953,0.00585881687816438,0,0,0,0,0,0.00177585899946591,0,0,0,0,0.00174604873960053
"m__C00152_Asn",0,0,0,0,0,0.0127510791434044,0,0,0,0.00900662506613848,0,0,0.00366894839706087,0,0,0.00169511017377358
"m__C00153_Nicotinamide",0.000955096121915676,0,0.0459408422462584,0,0.0177900472965797,0.0187485642647107,0,0,0.0550597716352363,0.0511352837513458,0,0,0,0,0,0.0126419736877364
