"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0,0,0,0,9.7501238253655e-09,0,0,0,0,0,0,0,0,6.50008255024367e-10
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,0,0,0,0,3.91517744674819e-09,0,0,0,0,0,0,0,0,2.61011829783213e-10
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,0,1.23555132080389e-09,0,0,0,0,0,0,0,0,8.23700880535925e-11
"m__-_2-Hydroxypentanoate",0,0,0,0,0,0,8.88762900295423e-09,0,0,0,0,0,0,0,0,5.92508600196949e-10
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0,7.04928025113206e-09,0,0,0,0,0,0,0,0,4.69952016742137e-10
"m__-_4-Oxohexanoate",0,0,0,0,0,0,5.7513832252095e-08,0,0,0,0,0,0,0,0,3.834255483473e-09
"m__-_4-Oxopentanoate",0,0,0,0,0,0,1.57170218581119e-08,0,0,0,2.45558212051368e-07,0,0,0,0,1.74183489272986e-08
"m__-_Cysteine-glutathione disulphide",0,0,0,0,0,0,3.51959072278971e-08,0,0,0,0,0,0,0,0,2.34639381519314e-09
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0,0,0,0,2.80025197450294e-08,0,0,0,0,0,0,0,0,1.86683464966863e-09
"m__-_gamma-Glu-2AB",0,0,0,0,0,0,8.8120896001335e-09,0,0,0,0,0,0,0,0,5.874726400089e-10
"m__-_N-Acetylvaline",0,0,0,0,0,0,2.80381465085208e-09,0,0,0,0,0,0,0,0,1.86920976723472e-10
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0,0,0,0,0,0,2.0393373640988e-08,0,0,0,0,0,0,0,0,1.35955824273253e-09
"m__-_Ophthalmate",0,0,0,0,0,0,1.06206431856761e-08,0,0,0,0,0,0,0,0,7.08042879045073e-10
"m__-_Phe-Phe",0,0,0,0,0,0,6.47564374830724e-08,0,0,0,0,0,0,0,0,4.31709583220483e-09
"m__-_SDMA",0,0,0,0,0,0,6.04976033811483e-09,0,0,0,0,0,0,0,0,4.03317355874322e-10
"m__-_Xanthopterin",0,0,0,0,0,0,7.10015021808468e-08,0,0,0,0,0,0,0,0,4.73343347872312e-09
"m__C00002_ATP",0,0,0,0,0,0,4.09351709785062e-08,0,0,0,0,0,0,0,0,2.72901139856708e-09
"m__C00003_NAD+",0,0,0,0,0,0,3.08012263382873e-09,0,0,0,0,0,0,0,0,2.05341508921915e-10
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0,0,0,0,0,0,5.01981533879653e-08,0,0,0,0,0,0,0,0,3.34654355919768e-09
"m__C00008_ADP",0,0,0,0,0,0,7.28006971635891e-09,0,0,0,0,0,0,0,0,4.85337981090594e-10
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0,0,0,0,0,0,5.94451172182245e-09,0,0,0,0,0,0,0,0,3.9630078145483e-10
"m__C00016_FAD",1.37973763901508e-06,9.28622123087188e-07,9.73389261313634e-12,0,0,2.74494382270238e-06,8.03589315269257e-08,0,2.57592484127665e-07,0,1.01186693308171e-06,6.61635934481624e-08,2.48427840577567e-06,3.74668920469724e-06,0,8.46684191423643e-07
"m__C00019_SAM+",0,0,0,0,0,0,1.67964926459182e-08,0,0,0,0,0,0,0,0,1.11976617639454e-09
"m__C00020_AMP",0,0,0,0,0,0,6.50584548381927e-09,0,0,0,0,0,0,0,0,4.33723032254618e-10
"m__C00021_SAH",0,0,0,0,0,0,3.9940683746276e-08,0,0,0,0,0,0,0,0,2.66271224975174e-09
"m__C00022_Pyruvate",0,0,0,0,0,0,1.29833515069736e-08,0,0,0,0,0,0,0,0,8.65556767131574e-10
"m__C00024_Acetyl CoA",0,0,0,0,0,0,5.11673974297442e-09,0,0,0,0,0,0,0,0,3.41115982864961e-10
"m__C00025_Glu",0,0,0,0,0,0,8.95085742865502e-10,0,0,0,0,0,0,0,0,5.96723828577001e-11
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,4.3470096817014e-12,0,0,0,0,0,0,0,0,2.8980064544676e-13
"m__C00029_UDP-glucose",0,0,0,0,0,0,3.30997113896174e-09,0,0,0,0,0,0,0,0,2.2066474259745e-10
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0,0,0,0,0,0,5.31711878356074e-09,0,0,0,0,0,0,0,0,3.54474585570716e-10
"m__C00041_Ala",0,0,0,0,0,0,1.74108933534915e-08,0,0,0,0,0,0,0,0,1.1607262235661e-09
"m__C00042_Succinate",0,0,0,0,0,0,8.77350255265114e-09,0,0,0,0,0,0,0,0,5.84900170176743e-10
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0,0,0,6.51599160378469e-09,0,0,0,0,0,0,0,0,4.34399440252312e-10
"m__C00044_GTP",0,0,0,0,0,0,1.01304162676269e-08,0,0,0,0,0,0,0,0,6.75361084508458e-10
"m__C00047_Lys",0,0,0,0,0,0,2.76574649021989e-08,0,0,0,0,0,0,0,0,1.84383099347993e-09
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0,0,0,0,0,0,1.07065458573264e-08,0,0,0,0,0,0,0,0,7.13769723821759e-10
"m__C00051_Glutathione(red)",0,0,0,0,0,0,1.01361992596342e-08,0,0,0,0,0,0,0,0,6.75746617308947e-10
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0,0,0,0,0,0,5.10982746080101e-09,0,0,0,0,0,0,0,0,3.406551640534e-10
"m__C00062_Arg",0,0,0,0,0,0,5.53047658909766e-09,0,0,0,0,0,0,0,0,3.68698439273177e-10
"m__C00063_CTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00064_Gln",0,0,0,0,0,0,1.25085363555828e-09,0,0,0,0,0,0,0,0,8.33902423705521e-11
"m__C00065_Ser",0,0,0,0,0,0,3.24666118850976e-08,0,0,0,0,0,0,0,0,2.16444079233984e-09
"m__C00073_Met",0,0,0,0,0,0,8.33688312835841e-09,0,0,0,0,0,0,0,0,5.55792208557227e-10
"m__C00074_PEP",0,0,0,0,0,0,2.30457443042031e-08,0,0,0,0,0,0,0,0,1.53638295361354e-09
"m__C00075_UTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00077_Ornithine",0,0,0,0,0,0,3.34712554518073e-09,0,0,0,0,0,0,0,0,2.23141703012048e-10
"m__C00078_Trp",0,0,0,0,0,0,6.30157608626934e-09,0,0,0,0,0,0,0,0,4.20105072417956e-10
"m__C00079_Phe",0,0,0,0,0,0,3.18536840166926e-09,0,0,0,0,0,0,0,0,2.12357893444617e-10
"m__C00081_ITP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00082_Tyr",0,0,0,0,0,0,3.17039253479207e-09,0,0,0,0,0,0,0,0,2.11359502319471e-10
"m__C00083_Malonyl CoA",0,0,0,0,0,0,1.55919149996472e-08,0,0,0,1.48752981280243e-08,0,0,0,0,2.03114754184477e-09
"m__C00085_F6P",0,0,0,0,0,0,1.76947707276368e-08,0,0,0,0,0,0,0,0,1.17965138184246e-09
"m__C00086_Urea",0,0,0,0,0,0,5.77831252779342e-09,0,0,0,0,0,0,0,0,3.85220835186228e-10
"m__C00091_Succinyl CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00092_G6P",0,0,0,0,0,0,7.37626334382977e-09,0,0,0,0,0,0,0,0,4.91750889588651e-10
"m__C00093_Glycerophosphate",0,0,0,0,0,0,5.02494188057694e-09,0,0,0,0,0,0,0,0,3.34996125371796e-10
"m__C00096_GDP-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00097_Cys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00099_beta-Ala",0,0,0,0,0,0,4.39708076933249e-08,0,0,0,0,0,0,0,0,2.93138717955499e-09
"m__C00103_G1P",0,0,3.44390011338572e-07,0,0,0,2.83606037293242e-08,0,0,0,0,0,0,0,0,2.48500410045264e-08
"m__C00104_IDP",0,0,0,0,0,0,4.249227098796e-08,0,0,0,0,0,0,0,0,2.832818065864e-09
"m__C00105_UMP",0,0,0,0,0,0,6.89413718941179e-09,0,0,0,0,0,0,0,0,4.59609145960786e-10
"m__C00106_Uracil",0,0,0,0,0,0,2.7940576125229e-09,0,0,0,0,0,0,0,0,1.86270507501527e-10
"m__C00108_Anthranilate",0,0,0,0,0,0,7.25739261746987e-08,0,0,0,0,0,0,0,0,4.83826174497991e-09
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00111_DHAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00112_CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00114_Choline",0,0,0,0,0,0,1.10568573486144e-08,0,0,0,0,0,0,0,0,7.37123823240962e-10
"m__C00116_Glycerol",0,0,0,0,0,0,2.60343885618015e-08,0,0,0,0,0,0,0,0,1.7356259041201e-09
"m__C00117_R5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00119_PRPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00120_Biotin",0,0,0,0,0,0,4.33243428259465e-08,0,0,0,0,0,0,0,0,2.88828952172976e-09
"m__C00122_Fumarate",0,0,0,0,0,0,7.58744862932743e-09,0,0,0,0,0,0,0,0,5.05829908621829e-10
"m__C00123_Leu",0,0,0,0,0,0,5.79377339912593e-09,0,0,0,0,0,0,0,0,3.86251559941729e-10
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,2.0174886447191e-08,0,0,0,0,0,0,0,0,1.34499242981273e-09
