"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0.0273464217310661,0,0.000269241976023301,0,0.00359525689204365,0.0490671483198062,0,0,0,0.0946626196851373,0.000647971350348385,0,0.00160051844605041,0.011812611893365
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,5.95870604998636e-05,0,0,0,0.000456233128531955,0,0.000138409743552597,0.0158959382015309,0,0,0,0,0.0104745073312793,0.00180164503102631
"m__-_2-Hydroxyoctanoate",0,0,7.15044725998343e-05,0.183817690090517,0,0.000398720533446302,0.00934101292810699,0.0179494769311416,0,0.000256220047514254,0.0648533561485176,0,0,4.05253041984622e-05,0.0129042195567198,0.0193088484008508
"m__-_2-Hydroxypentanoate",0.00390225022642056,0.0103857671586254,0.0024945460799817,0.0339787588628092,0.0182385581953332,0,0.00164252550716283,0.00824557833834712,0.000744865875902739,0,0,0.000220813692782155,0.00469914223033902,0.0405329229556552,0.00183986723188437,0.0084617064236829
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.000444128721012925,0.0100198008860471,0.00101380762656014,0,0,0.00571569752354773,0.00331298153238566,0.00146592527951595,0,0.000545794184054011,0,0.00410095715981925,0,0,0,0.00177460619419618
"m__-_4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_4-Oxopentanoate",0.114857752804567,0.0634180071122612,0,0.200830530876422,0.0106451242305575,0,0,0,0,0,0,0,0.0301772371607355,0.0453555641925125,0,0.0310189477584704
"m__-_Cysteine-glutathione disulphide",0.000660687353572953,0.013084406901061,0,0.0158029093054183,0.0066544281840145,3.35772419127303e-18,0.000567596271673168,0.00467547324148045,0.00600721344751362,0,0,0,0,0.00843061411675418,0,0.00372555525476588
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0.0481492644659417,0,0,0,0,0.0175258936660765,0,0.0603047153101901,0,0,0,0,0.00673348307462342,0.00884755710112212
"m__-_gamma-Glu-2AB",0,0.000984384947617971,0,0,0.00263880888157926,0.00264058005956847,0.00235727636778832,0.000849090465398631,0,0.00182120906554137,0.00102169982463682,0,7.71394464700498e-05,0,0.00189043341031269,0.000952041497927571
