"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyisobutyrate",0,0,0,0,0,0,0,0,0,0.0288581483897141,0,0,0.00878765117931181,0.0158361082195852,0,0.00356546051924074
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0.0174102318068902,0,0,0.00116068212045935
"m__-_2-Hydroxypentanoate",0,0,0,0,0,0,0,0,0,0,0,0,0.00891011448437065,0,0,0.000594007632291377
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0,0,0,0,0.00924952321309934,0,0,0.00562902232754101,0.00995608577717329,0,0.00165564208785424
"m__-_N-Acetylvaline",0,0,0,0,0,0,0,0,0,0.0262786234023733,0,0,0,0,0,0.00175190822682489
"m__-_N1,N8-Diacetylspermidine",0,0.0462839084743072,0,0.0116678862789957,0.043144829768197,0,0,0.00438413538866944,0,0.0814764049773946,0,0,0.0583504752782771,0,0,0.0163538426777227
"m__-_Ophthalmate",0,0,0,0,0,0,0.000213248102405471,0,0,0,0,0,0.0039508296948653,0,0,0.000277605186484718
"m__-_Phe-Phe",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905612111257347,0,0.000603741407504898
"m__-_SDMA",0,0,0,0.00898822628754202,0,0,0,0,0,0.0196569271175312,0,0,0,0.00115433408501175,0.00116834733096427,0.00206452232140328
"m__C00003_NAD+",0,0,0,0,0,0,0,0,0,0.00605326317957006,0,0,0.0696672817377193,0,0,0.00504803632781929
"m__C00019_SAM+",0.142696776736285,0,0,0,0,0,0.0893241668608716,0,0,0,0,0,0.0107998251271792,0.00102563168648185,0,0.0162564266940545
"m__C00024_Acetyl CoA",0,0,0,0,0,0,6.31350844202551e-08,0,0,0,0,0,0,0,0,4.209005628017e-09
