"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0,0,0,0,0,0,0,0.0229058803662826,0,0,0,0.00885096101932837,0.00211712275904073
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0.00804690420228341,0,0,0,0,0,0,0,0,0,0,0,0.000536460280152227
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0.262719549421876,0,0.201581101535826,0,0,0.0482252234166514,0,0,0,0,0,0.0341683916249569
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0,0,0,0,0,0.0397528428216398,0,0,0,0,0,0,0.028414925796249,0,0.00454451790785926
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0.0020502605528792,0,0,0,0,0,0,0,0,0,0,0,0.000136684036858614
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0,0,0,0,0,0,0,0,0,0,0.000164855967811917,0,0,0,4.94899887014236e-06,1.13203311121373e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0,0.00135029494575139,0,0,0,0,0,0,0,0,9.00196630500925e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147111744861125,0.00980744965740833
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0,0,0,0.0586573259688153,0,0,0,0.0388935534963842,0.0129657636470845,0,0,0,0,0,0.00736777620748561
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0.0597032819572464,0,0,1.78111780201796e-08,0,0,0,0,0,0,0,0,0,0,0.000910765388530292,0.00404093767713032
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0.192698516943218,0,0,0.241736910224659,0.209602251067154,0,0,0,0,0,0,0,0,0,0,0.0429358452156687
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0.0133111679848861,0,0,0,0,0,0,0,0,1.09723596113319e-05,0,0,0,0,0.000888142689633162
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0,0,0,0.0249830614868314,0,0,0,0,0,0,0,0,0,0.00166553743245542
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0,0,0,0,0,0,0,0,0.000662285423417853,0.0198597901253285,0,0,0,0.00136813836991643
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0.017123833391672,0,0.000782109791023212,0.0125986380428298,0,0,0,0.52278921690473,0,0.00522130422839468,0,0,0,0.00165493896730505,0.0373446694217303
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0,0,0,0,0,0.0158691042045401,0,0,0,0,0.000952623495619589,0,0.0859320991391647,0,0.00258015239849277,0.00702226528252115
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0,0,0,0,0,0,0,0,0,0,0.0705801463797285,0,0,0,0,0.0047053430919819
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0,0,0,0,0,0,0.00141873510965683,0,0,0,0,0,0,0,0,9.4582340643789e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0.00731656394710963,0,0,0.000487770929807309
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,0.0802872101588585,0.000409619762813418,0,0,0.123696970510243,0.0240746745692914,0,0,0,0.0838411868617323,0,0,0,0.0208206441241959
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0,0,0.0880125514846961,0,0,0,0,0,0,0,0,0.00586750343231307
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0,0,0,1.62957731013178e-08,0,0,0.252217428758734,0,0,0,0,0,0,0,0,0.0168144963369672
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0.144919420822591,0.219384371366958,0,0,0,0,0,0,0.0736818627664526,0,0,0.469148631690187,0,0,0.060475619109746
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium",0,0,0,0,0,0,0,0,0,0,0.00484892044026228,0,0,0.197862980341979,0,0.0135141267188161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.334373840686918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222915893791279
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium merycicum",0,0,0,1.34255043234548e-08,0.00632190932707885,0,0,0,0,0,0,0,0,0,0,0.000421461516838878
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0,0,0,0.00625605803404295,0,0,0,0,0,0,0,0,0.447315118298511,0,0.0302380784221703
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium platyrrhinorum",0,0.164145026101336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109430017400891
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii",0.115526391300056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770175942000377
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.00324381650055464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216254433370309
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398641286567513,0,0.00265760857711675
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia",0,0,0,2.70376311271201e-07,0,0,0,0,0,0,0,0,0,0,0,1.80250874180801e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia",0,0,0.217241071839314,0,0,0.137173745806191,0,0.395473924828124,0.0396952477845924,0.0192189274585779,0,0.121868481726508,0.169883974373087,0,0.0497467152285183,0.0766868059363275
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.117741881961278,0,0,0,0,0,0,0,0,0,0,0.0417124755225022,0,0,0,0.0106302904989187
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia",0,0,0,2.44591615183106e-07,0,0.00533295510138268,0,0,0,0,0,0,0,0,0,0.000355546646199857
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0,0,0,0.000149995888084051,0,0,0,0,0.197884451972045,0,0,0,0,0,0,0.0132022965240086
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa",0,0.0111201916330809,0,1.0767575086145e-06,0,0,0,0,0,0,0,0,0,0,0,0.000741417892705968
