"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0.00181821215239932,0.0393968896891482,0.00565216987874674,0.182239200956975,0.00312927281570009,0.0111234078433921,0.0444552493349403,0.0198093967280013,0.0579823899008106,0.061142101310619,0.0746082681634865,0.0114122836002549,0.13336667914917,0.00368702264069047,0.00952793534198436,0.0439566986337546
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0.0580554582514784,0.0188431053908622,0.0207433423777728,0.207283181935163,0.0588469950800929,0.0352942520450802,0.0866172749793116,0.121340849012984,0.0327365876378684,0.0531805278207455,0.0624828940151896,0.031577006336074,0.12655067125663,0.0891044091493656,0.0774209662614508,0.072005168103338
"m__-_2-Hydroxyoctanoate",0.0796756643120265,0.0357875568032304,0.0175180788242611,0.106667122672365,0.0724004932698282,0.0403909763376013,0.0294983451224118,0.136334302574556,0.0186474627649515,0.0557497479401418,0.0159280454846957,0.00492814792934172,0.176779380582437,0.0388011570579106,0.0379776096292282,0.0578056060869991
"m__-_2-Hydroxypentanoate",0.0590268859830862,0.125065496460441,0.0445701307725385,0.210847642324729,0.131576768513796,0.0649614178081264,0.0984169241790756,0.120749487228454,0.109589281456063,0.182857360094123,0.149152670796573,0.00988016098182794,0.302446295835973,0.0388187393456582,0.0881559778188696,0.115741015973289
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.0224682852296588,0.0281774827446036,0.0137001713807764,0.0765338580955352,0.058715746976001,0.0321152782858138,0.0627200824281048,0.0613913008062881,0.0181425381586869,0.0284011495049816,0.0471109751594602,0.0137120509811537,0.0575437028208523,0.00953411915168443,0.0296253198727754,0.0373261374397584
"m__-_4-Oxohexanoate",0,0,0,0,0.0131016253153305,0,0,0,0.00513729026492986,0,0,0,0.0234903203226286,0,0.00457198877028891,0.00308674831154519
"m__-_4-Oxopentanoate",0,0,0,0.0628509810959148,0.00725720862258348,0.00613492304945296,0.0147489708658778,0,0,0.0235815561989553,0,0,0.120920918512002,0.0245240440716651,0.0115846178043847,0.0181068813480557
