"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_N1,N8-Diacetylspermidine",0,0,NA,NA,0,0.190910018700993,0,NA,0,0,0,0,0,0.0515775558358946,0,0.0202072978780739
"m__-_SDMA",0,0,NA,NA,0.0347743775486452,0,0,NA,0,0,0,0,0,0,0,0.00289786479572043
"m__C00047_Lys",0,0,NA,NA,0,0,0,NA,0,0.089155659467539,0,0,0.335071321319088,0,0,0.0353522483988856
"m__C00049_Asp",0,0,NA,NA,0,0,0,NA,0,0.0341086972220041,0,0,0,0,0,0.00284239143516701
"m__C00065_Ser",0,0,NA,NA,0.0763594300949195,0,0,NA,0,0,0,0,0,0,0,0.00636328584124329
"m__C00135_His",0,0,NA,NA,0,0,0,NA,0,0,0.808933101752751,0,0,0,0,0.0674110918127292
"m__C00148_Pro",0,0,NA,NA,0.0163819489645927,0,0,NA,0,0,0,0,0,0,0,0.00136516241371606
"m__C00153_Nicotinamide",0,0,NA,NA,0,0,0,NA,0,0.0541304739665586,0,0,0,0,0,0.00451087283054655
"m__C00158_Citrate",0,0,NA,NA,0,0.00654978878331016,0,NA,0,0,0,0,0,0,0,0.000545815731942513
"m__C00183_Val",0,0,NA,NA,0,0,0,NA,0,0.142285050124925,0,0,0,0,0,0.0118570875104104
"m__C00186_Lactate",0,0,NA,NA,0,0,0,NA,0,0.16728326061467,0,0,0,0,0,0.0139402717178892
"m__C00213_Sarcosine",0,0,NA,NA,0,0,0,NA,0,0.0499122760908858,0,0,0,0,0,0.00415935634090715
"m__C00214_Thymidine",0,0,NA,NA,0,0.0134110168255061,0,NA,0,0,0,0,0,0,0,0.00111758473545884
"m__C00246_Butyrate",0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,0.14923409019907,0.0124361741832558
"m__C00255_Riboflavin",0,0,NA,NA,0.0860520767776216,0,0,NA,0,0,0,0,0,0,0.0266346083533853,0.00939055709425058
"m__C00299_Uridine",0,0,NA,NA,0,0,0,NA,0,0.0220822327503057,0,0,0,0,0,0.00184018606252548
"m__C00300_Creatine",0,0,NA,NA,0.0698241847927605,0,0,NA,0,0,0,0,0,0,0,0.00581868206606337
