"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0,9.18473021783848e-08,0,0,0,0,0,0,0,0,0,0,0,6.12315347855899e-09
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,0,2.9396199610057e-07,0,0,5.21751504702559e-08,0,0,0,1.40095247901233e-07,0,2.47169677540673e-07,0,0,4.88934714675155e-08
"m__-_2-Hydroxyoctanoate",0,0,0,1.09013904080028e-07,0,0,0,0,0,0,0,0,0,0,0,7.2675936053352e-09
"m__-_2-Hydroxypentanoate",0,0,0,1.76551224381784e-08,0,0,0,0,0,0,0,0,0,0,0,1.17700816254522e-09
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0,0,5.8098016319357e-07,0,0,0,0,0,0,0,0,6.45423223597171e-08,0,0,4.30348323702192e-08
"m__-_4-Oxohexanoate",0,0,0,5.0384565242011e-07,0,0,0,0,0,0,0,0,0,0,0,3.35897101613407e-08
"m__-_4-Oxopentanoate",0,0,0,1.26072382099823e-07,0,0,0,0,0,0,0,0,0,0,0,8.40482547332153e-09
"m__-_Cysteine-glutathione disulphide",0,0,0,3.37869515291885e-07,0,0,0,0,0,0,0,0,0,0,0,2.25246343527923e-08
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0,1.80926317701919e-07,0,0,0,0,0,0,0,0,0,0,0,1.20617545134613e-08
"m__-_gamma-Glu-2AB",0,0,0,1.31125768625421e-07,0,0,0,0,0,0,0,0,0,0,0,8.7417179083614e-09
"m__-_N-Acetylvaline",0,0,0,8.63470488543823e-08,0,0,0,0,0,0,0,0,0,0,0,5.75646992362549e-09
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0,0,0,1.46424432694012e-08,0,0,0,0,0,0,0,0,0,0,0,9.76162884626748e-10
"m__-_Ophthalmate",0,0,0,3.26204952539262e-07,0,0,0,0,0,0,0,0,0,0,0,2.17469968359508e-08
"m__-_Phe-Phe",5.7486681045565e-09,0,0,5.69959325414443e-07,0,1.71766938123923e-06,0,0,0,8.98580615543151e-07,0,0,0,0,6.1947670786459e-07,2.54095646544398e-07
"m__-_SDMA",0,0,0,8.62063023247078e-08,0,0,0,0,0,0,0,0,0,0,0,5.74708682164718e-09
"m__-_Xanthopterin",0,0,0,1.39734507199707e-07,0,0,0,0,0,0,0,0,0,0,0,9.31563381331383e-09
"m__C00002_ATP",0,0,0,6.5553118700119e-07,0,0,0,0,0,0,0,0,0,0,0,4.37020791334126e-08
"m__C00003_NAD+",0,0,0,5.30078003376891e-08,0,0,0,0,0,0,0,0,0,0,0,3.53385335584594e-09
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0,0,0,2.66585388000058e-07,0,0,0,0,0,0,0,0,0,0,0,1.77723592000039e-08
"m__C00008_ADP",0,0,0,5.2173286537941e-08,0,0,0,0,0,0,0,0,0,0,0,3.4782191025294e-09
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0,0,0,2.25551027332503e-07,0,0,0,0,0,0,4.48986480831899e-07,0,0,0,0,4.49691672109601e-08
"m__C00016_FAD",0,0,0,6.40906757364719e-07,0,0,0,0,0,0,0,0,0,0,0,4.27271171576479e-08
"m__C00019_SAM+",0,0,0,1.60065483223815e-07,0,0,0,0,0,0,0,0,0,0,0,1.0671032214921e-08
"m__C00020_AMP",0,0,0,4.54006133602946e-08,0,0,0,0,0,0,0,0,0,0,0,3.02670755735297e-09
"m__C00021_SAH",0,0,0,1.79314983612577e-07,0,0,0,0,0,0,0,0,0,0,0,1.19543322408385e-08
"m__C00022_Pyruvate",0,0,0,2.36268884520567e-07,0,0,0,0,0,0,0,0,0,0,0,1.57512589680378e-08
"m__C00024_Acetyl CoA",0,0,0,1.82996914127343e-07,0,0,0,0,0,0,1.36220809185129e-07,0,0,0,0,2.12811815541648e-08
"m__C00025_Glu",0,0,0,3.0233839958739e-07,0,0,0,0,0,0,0,0,0,0,0,2.0155893305826e-08
"m__C00026_2-Oxoglutarate",0,0,0,7.93617518495686e-08,0,0,0,0,0,0,0,0,0,0,0,5.29078345663791e-09
"m__C00029_UDP-glucose",0,0,0,2.85643092459001e-07,0,0,0,0,0,0,0,0,0,0,0,1.90428728306001e-08
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0,0,0,2.73493796487119e-08,0,0,0,0,0,0,0,0,0,0,0,1.82329197658079e-09
"m__C00041_Ala",0,0,0,3.38844962883741e-08,0,0,0,0,0,0,0,0,0,0,0,2.25896641922494e-09
"m__C00042_Succinate",0,0,0,4.04757466956981e-08,0,0,0,0,0,0,0,0,0,0,0,2.69838311304654e-09
"m__C00043_UDP-N-acetylglucosamine",0,0,0,6.02224739604991e-08,0,0,0,0,0,0,0,0,0,0,0,4.01483159736661e-09
"m__C00044_GTP",0,0,0,4.14502906465016e-08,0,0,0,0,0,0,0,0,0,0,0,2.76335270976678e-09
"m__C00047_Lys",0,0,0,5.49475760694808e-07,0,0,0,0,0,0,0,0,0,0,0,3.66317173796539e-08
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0,0,0,9.10945236261388e-08,0,0,0,0,0,0,0,0,0,0,0,6.07296824174259e-09
"m__C00051_Glutathione(red)",0,0,0,9.3193390457777e-08,0,0,0,0,0,0,0,0,0,0,0,6.21289269718514e-09
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0,0,0,1.28013482356297e-07,0,0,0,0,0,0,0,0,0,0,0,8.53423215708648e-09
"m__C00062_Arg",5.2439444511745e-07,0,1.26490766564549e-06,7.54932534479377e-07,0,1.26078974678281e-07,4.54660859312557e-07,4.15310530696066e-08,1.03436015430093e-06,5.82790551233541e-07,1.04101644418199e-08,2.46755305892299e-06,3.84165447010694e-07,0,1.5301115501377e-07,5.19919737548434e-07
"m__C00063_CTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00064_Gln",0,0,0,5.74509851503637e-07,0,0,0,0,0,9.66274726054552e-08,0,2.39018845298392e-06,5.51086351963035e-08,0,0,2.07762294152621e-07
"m__C00065_Ser",0,0,0,5.31193512673296e-08,0,0,0,0,0,0,0,0,0,0,0,3.54129008448864e-09
"m__C00073_Met",0,0,0,1.42203322282398e-07,0,0,0,0,0,0,0,0,0,0,0,9.48022148549319e-09
"m__C00074_PEP",0,0,0,9.08653322723411e-07,0,0,0,0,0,0,0,0,0,0,0,6.05768881815607e-08
"m__C00075_UTP",0,0,0,7.04296675632947e-07,0,0,0,0,0,0,0,0,0,0,0,4.69531117088631e-08
"m__C00077_Ornithine",0,0,0,1.45573558740832e-08,0,0,0,0,0,0,0,0,0,0,0,9.70490391605544e-10
"m__C00078_Trp",0,0,0,2.37751838787e-07,0,0,0,0,0,0,0,0,0,0,0,1.58501225858e-08
"m__C00079_Phe",0,0,0,4.23225818626368e-08,0,0,0,0,0,0,0,0,0,0,0,2.82150545750912e-09
"m__C00081_ITP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00082_Tyr",0,0,0,9.38434633819277e-08,0,0,0,0,0,0,0,0,0,0,0,6.25623089212852e-09
"m__C00083_Malonyl CoA",0,0,0,1.22570292227636e-07,0,0,0,0,0,0,0,0,0,0,0,8.17135281517577e-09
