"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0.00879630155629875,0.0130107500958741,0.00447339014051055,0.00531161743808469,0.00604447999069909,0.00845698432879961,0.00169651512441457,0.0130969748524691,0.00191424263895628,0.0125594057909189,0.0277091997685132,0.00868757426808125,0.0135815461365703,0.0100332754781781,0.00286580748082777,0.00921587100594642
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0.0156476039844016,0.0058355461671387,0.00434903414473739,0.0154972218350944,0.0217235453463652,0.0126380079434904,0.0107175849050312,0.00949489784548209,0.0150920970203334,0.0145414880975205,0.0143105414758158,0.0451888295147226,0.0243917776306857,0.0415533808013195,0.0115892412430259,0.0175047198636776
"m__-_2-Hydroxyoctanoate",0.00202853882696746,0.00259880501997365,0.00513416994722076,0.0161437241772328,0.00431837787447848,0.0133607497856842,0.00231638902487579,0.00520596985804675,0.00632822790840014,0.0204826085583855,0.00588624602100045,0.00172259189433875,0.00644774054658498,0.0769738762293904,0.0164710044179977,0.0123612680060385
"m__-_2-Hydroxypentanoate",0.00585058743465809,0.00325033521443459,5.78822451024085e-05,0.00718810091765625,0.0036874347851124,0.00302525973419778,0.00728801337822666,0.00205596778045901,0.0059670800611267,0.00433634955840756,0.00143520664288051,0.0120948435225003,0.00353390158833804,0.0245912528052551,0.00202866002818763,0.00575939171310287
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.00204965709530275,0.000590888322725709,0.0058084806836152,0.0294154916243081,0.0147454560755726,0.0118907504229505,0.00782442485611374,0.00472069251194178,0.00858288969777786,0.0127760834005926,0.01087764842256,0.0363036580514399,0.0328070360714799,0.0163778554706373,0.00881865068105645,0.0135726442258716
"m__-_4-Oxohexanoate",0.0520404886103628,0.0439433044445704,0.0522146314381524,0.0635445356527563,0.138327314231162,0,0.0524646688725216,0.0496485510757002,0,0,0.0503010637356999,0.195978184653481,0.0595212674105574,0.217371006632072,0.0607441558799187,0.0690732781757969
"m__-_4-Oxopentanoate",0.00227570010957448,0.00514730776731334,0.00230725502320559,0.000654703843699213,0.00843412984143362,0.00928907115826447,0.00205576504273634,0.00129625653913167,0.00506086575386361,0.00188928846551836,0.00369684305645987,0.0170511561986789,0.00430369327582785,0.011328423520299,0.00351675457295315,0.0052204809445973
"m__-_Cysteine-glutathione disulphide",0.000719179531232014,0.0224961569400338,0.0106025209782762,0.00728062673547352,0.0120823319132332,0.00947782472850866,0.0139265844755399,0.0209563421674725,0.0135299400510322,0.0130411641854617,0.00374454677824677,0.0158092854918769,0.00496179842837478,0.0293355082216328,0.0189122389572037,0.0131250699722399
"m__-_Cysteine-glutathione disulphide -Divalent",0.00284110540161248,0.0117983997541621,0.000309801365752155,0.00841268833599421,0.000557000857590393,0.0115889446846733,0.0127319571193931,0.0103806794039242,0.012617730904347,0.00150013330855728,0.00829077000343258,0.0216501433224322,0.0579094938540975,0.0017042081222898,0.0144117943807758,0.0117803233879356
"m__-_gamma-Glu-2AB",0.00274260082374465,0.0267771577297477,0.0189261088118575,0.0197906835039023,0.0213225954313486,0.00197462458680276,0.0070624782115004,0.0257407383320413,0.00736215935970928,0.0181169489922127,0.00266077554389164,0.0146495026731177,0.000955895422822677,0.0118418847673059,0.0268110076612568,0.0137823441234175
"m__-_N-Acetylvaline",0.00315395527216838,0.0100712838870182,0.0170807658721861,0.011888659957129,0.0291206573448783,0.00806274974737682,0.00823483571928966,0.0100244503221878,0.0201379879549568,0.0191040393703479,0.00174084163612361,0.00665794945694161,0.00625095949161002,0.0152408588490784,0.012209774359819,0.0119319846160741
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0.00156106258108903,0.0167890213820999,0.00550234048601005,0.0217500284347625,0.041887708828678,0.0125890755487283,0.00336361949612272,0.0193854041165686,0.00908959802844987,0.0142993940502163,0.00926847901413606,0.0342017165233017,0.00607793010768957,0.0450673032485355,0.0185698439565891,0.0172935017201985
"m__-_Ophthalmate",0.0112784149433785,0.00238180799463129,0.0177043214535175,0.0218681624975328,0.0365013876611521,0.00989121404741703,0.01079699164232,0.00578420022606932,0.00945201131691113,0.0192313187200206,0.00114708585284668,0.0547274192374467,0.00762054131560052,0.0201312069259942,0.012550108476495,0.0160710794874222
"m__-_Phe-Phe",0.0235546539025368,0.0183799920957509,0.00276154117408204,0.0269227815178738,0.0457047606436962,0.0721672036597831,0.0231084903404147,0.0333288954919886,0.016526964761615,0.0736263722235678,0.029250775251028,0.0557446698272188,0.0167906595180465,0.0945100898312831,0.0434975940705894,0.0383916962872983
"m__-_SDMA",0.0034605382102299,0.0125099201053734,0.00516617481689444,0.00286905237647463,0.00940795365362667,0.00383357446637545,0.0155077643185219,0.0123940478345937,0.0145207234359549,0.00850990239999452,0.000253706130411769,0.0198545418685565,0.000368571823196106,0.00666429080495775,0.00182820558985909,0.00780993118900138
"m__-_Xanthopterin",0.0131184628745747,0.0861599197143845,0.0093425806364632,0.00658312352938158,0.0292894183492987,0.00854669536631048,0.0114343257068043,0.00768054727076307,0.0136018786637499,0.00570444897140701,0.00816791336482395,0.0425441030944519,0.015398556687723,0.0473513105556542,0.00545848019295539,0.0206921176652497
"m__C00002_ATP",0,0.0550581031080709,0.0590355587849152,0.0657467595424864,0.154292136449661,0.057866378869902,0,0,0.0793916173923068,0.0780544505624937,0.0516222000435467,0.236608314274682,0.074758945080507,0.226183296702723,0.0673157538217369,0.0803955676422021
"m__C00003_NAD+",0.000795774481135938,0.000422107360586143,0.00316931622977636,0.0049561763457966,0.00505163689341606,0.00596768416473534,0.00286856027223702,0.00259420139105157,0.000349728599164082,0.00876714599015345,0.000860049568847429,0.0194698151409274,0.000145716565038766,0.0203064399546411,0.00268597782996991,0.00522735538583181
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0.0243837939087873,0.0127641208782192,0.0224729006827175,0.0325078989709394,0.136084586249013,0.0627106479898348,0.0342922837935695,0.0308869640358049,0.0728627335564409,0.0433506261572959,0.0268439510980827,0.121305753921476,0.0341270635045552,0.150241930516459,0.0328659102895801,0.0558467443701851
"m__C00008_ADP",0.0107159710784298,0.00644572929737679,0.0113656539444439,0.0106526543717185,0.0100530850285909,0.0196083869505729,0.0075661531023329,0.00955150037180988,0.0223077872160709,0.00869985189151657,0.0226358589625048,0.0478386958127612,0.0144148716438359,0.0445972515769753,0.00553664651956908,0.016799339851234
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0.0280555848169636,0.015415617579099,0.0211817762870265,0.0273359533614178,0.0508800739405672,0.028464426223436,0.0231314883897237,0.0221656501378965,0.0367210281442704,0.0232563389831554,0.0329829194216409,0.0948512104141978,0.0244273971709602,0.103050241751925,0.0213691986043195,0.0368859270151066
"m__C00016_FAD",0.0362335170155211,0,0.0393394530477931,0.0566344634134782,0,0.0495904742274816,0.0424221588660918,0.0358736530264299,0.0355893906022041,0.0738884785230729,0,0.153258174041875,0.0344533065419391,0.163125545992822,0.0568433440106121,0.0518167972872881
"m__C00019_SAM+",0.00846755589416004,0.0132108509732895,0.0147202231206795,0.018706336881976,0.0546882956300418,0.00168922811475849,0.0140746966217791,0.0143136964006556,0.0136131003048625,0.009146935623203,0.00824327433398999,0.0246086592969734,0.0075728058745015,0.0264874006029296,0.00773899802542979,0.0158188038466153
"m__C00020_AMP",0.00638062176620605,6.91968183504125e-05,0.00452716725268401,0.000727196875191406,0.00597467911718981,0.00283943020570434,0.00277551158608246,0.000894266953278219,0.0012639386878818,0.00184993126630335,0.00131142190635962,0.0088784558100633,0.000430539157737776,0.00200129444013156,0.00214074495470731,0.00280429311985809
"m__C00021_SAH",0.0219991615945413,0.00724765581970587,0.00788313925898098,0.0111486258371053,0.0054353060640948,0.0379966734820592,0.0153660989520607,0.0193328109326896,0.00783741374759651,0.0240473340247506,0.00493429164771792,0.0203202088921111,0.0407370515473597,0.0170852757682266,0.0301724206735542,0.018102897882837
"m__C00022_Pyruvate",0,0.0215095107444997,0,0.0263269828045151,0.0504455479052601,0,0.0314738354025712,0.0259281060719336,0.0355723596776114,0.0359772888319796,0.0235097349799637,0.0802403488610081,0,0.102851697159921,0.0235808989051369,0.0304944207562933
"m__C00024_Acetyl CoA",0.0145296801617672,0.00524157130692252,0.0133256793691872,0.0244070549536032,0.0135553908456038,0.0240318880357495,0.0141298444329667,0.0110037316637607,0.0238963872301476,0.0263041659338587,0.0189521753511011,0.0518206940539005,0.0159382857605563,0.07597288554286,0.0216326674211203,0.0236494734708737
"m__C00025_Glu",0.0243365895462115,0.0263814184142797,0.0338427522508706,0.0129836938631584,0.00988478820377169,0.0344847775964141,0.0533801912429199,0.0211224661270372,0.0486968810734554,0.0172753259077354,0.0336905203780383,0.102592867676745,0.0215463605128943,0.101116983352037,0.0198117402539754,0.0374098237599696
"m__C00026_2-Oxoglutarate",0,0.0116984905926669,0.015098916218005,0.0156495914775259,0.0280645813067601,0.0130464173696434,0,0.0156088796488827,0.014389239213769,0.020974743621298,0.0163041304758311,0.0572533504502018,0.0168587286001942,0.057697458791636,0.0159685001369365,0.0199075351935567
"m__C00029_UDP-glucose",0.0198703809489471,0.00666589219648764,0.00708836048690704,0.0428696765871814,0.0324874449325059,0.0304790485742924,0.0197039576446202,0.0213373802143349,0.0288192504561462,0.0415682469442771,0.0174208597018989,0.086755286981258,0.0319166289402955,0.0726697243509189,0.0322415024217497,0.0327929094254547
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0.00611163302280182,0.00184056909385172,0.00850535895661311,0.000861637399244809,0.00572367398492042,0.00168192265055854,0.00133573543035127,0.000687521116259492,0.00327604865230074,0.00699894147085032,0.00509851739126259,0.00359332588069529,0.00661862813779539,0.0229213458308615,0.0013319007228572,0.00510578398274828
"m__C00041_Ala",4.48259267527908e-05,0.00927410538087885,0.00667138394308268,0.0137709151136682,0.0360066825206153,0.00745035230400872,0.0111399634440687,0.0164293646706208,0.00708506948570526,0.014028953539251,0.00128901989446159,0.0248353993917356,0.00912492095333666,0.00728983319862432,0.0104099684882413,0.0116567172170034
"m__C00042_Succinate",0.00576264314441915,0.00464361505839346,0.00811793473787058,0.00688629093646331,0.0051617574443693,0.00641176502030285,0.00182495967164888,0.00668926120198292,0.00251108534960663,0.0054237131961149,0.00237289687897191,0.020278589821995,0.00882290299444815,0.0664463508826738,0.0132453095098095,0.0109732717232714
"m__C00043_UDP-N-acetylglucosamine",0.00779311591572145,0.00378064296034802,0.00518027218653504,0.00805707720729131,0.00698385767383698,0.000710897534048926,0.0018970945936218,0.00341376290775838,0.00317687550560529,0.000333774219775315,0.00713641759068959,0.0266906843330901,0.00619112353828729,0.00590299058764303,0.00789045893199456,0.00634260304574981
"m__C00044_GTP",0.0101968303388758,0.0135375701417093,0.000918302617600856,0.0123726913901728,0.0576091643787665,0.0146001168711291,0.00815492625595711,0.00745369994306639,0.0133676707922741,0.0147335625042213,0.00588196667664817,0.0339293072625736,0.00682112087882949,0.0302119409686607,0.0140985141818646,0.01625915901349
"m__C00047_Lys",0.00524266850800123,0.021444685218253,0.0306920954046326,0.0723454699844818,0.0998087201801007,0.0559369970636785,0.0117195662049332,0.0449118931261786,0.0165758277518905,0.0834874977590291,0.00762430318484999,0.151639134663417,0.0234170127038425,0.184578902082725,0.0695727584375335,0.0585998354849031
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.022401962101766,0.0353361586728532,0.0104775485393649,0.02612997819564,0.0783491730696791,0.0491937651970015,0.00663410752858285,0.0403955326649749,0.01081069926129,0.0302102603268585,0.00477011926536332,0.0891282138076023,0.00234246033448012,0.202428959085932,0.0353785538768063,0.0429324994618797
"m__C00051_Glutathione(red)",0.0168628513600051,0.0114270546988547,0.0128019684934997,0.0187200864804765,0.046693577958549,0.0545423758100506,0.0205881544510774,0.0100441779980713,0.0275039098326031,0.0327314936560468,0.0108705663088812,0.0745675708211415,0.0353773210054953,0.0835301406275992,0.00649690432967827,0.030850543588802
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0.0352322982929708,0.0272870533718197,0.0205118918338872,0.0233572945249978,0.0863278279639239,0.0236434908499547,0.0360844613037818,0.0365850379875571,0.0348080074328817,0.0216469786242962,0.0324750083288669,0.122738555312226,0.0243855066201035,0.146678865375442,0.0295822315463204,0.046756300624602
"m__C00062_Arg",0.0398917040321167,0.031243690348266,0.0268594073673886,0.0454802578032519,0.0823844113182093,0.0357505978979833,0.054328748248516,0.0354100117741627,0.0648078432785369,0.0505615370621426,0.0350549901076097,0.188372749551887,0.0349270790909758,0.105001644385826,0.039343013151534,0.0579611790278937
"m__C00063_CTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00064_Gln",0.0176720535411378,0.0421582889885782,0.0366891464755586,0.0787130166256672,0.0872024427652437,0.0439932492004592,0.0311171671377229,0.0483310993262383,0.0314812250899271,0.0597202679856963,0.011018193456392,0.227854834837701,0.0228219061496527,0.152470098474193,0.0468478176788803,0.0625393871822032
"m__C00065_Ser",0.014034263226086,0.00438723220432256,0.0171492354376488,0.000419029617125842,0.0332873873135365,0.0212406139326768,0.0128908632762296,0.0103049170363244,0.00290346011842433,0.025896821557651,0.00811332465055364,0.00246821331394562,0.00320498864936387,0.0290322299549941,0.021708159416201,0.0138027159803389
"m__C00073_Met",0.00614307753484856,0.00705721536227333,0.0165345270142088,0.0150828348887325,0.0131729953944401,0.012089044114017,0.00457350397024278,0.00806033333130947,0.000120249188900079,0.0163951906345416,0.00697927286266291,0.0348039429332743,0.000142723493345767,0.0314323270466601,0.0123622555235278,0.0123299662195323
"m__C00074_PEP",0.0312949162543038,0,0.014514207417549,0.0768485913197002,0.0383490469219501,0.0438668366004875,0.0423438927281317,0.0372430307640147,0.0451591796021151,0.0535705385840412,0.0310093279249586,0.258461860321299,0.0363891829530665,0.140981658593306,0.0420256203562037,0.0594705260227418
"m__C00075_UTP",0,0.058742829564493,0.0630092797083503,0.0701530299736803,0.164617741121801,0.0617166700665009,0,0,0.0846862424662338,0.0832646841545105,0.0550828613976787,0.252474029115226,0.07976728194155,0.241383909215561,0.0718426887401453,0.0857827498310487
"m__C00077_Ornithine",0.00855404910585747,0.0112640323370266,0.00536010776650335,0.00120922018771442,0.00574809532807638,0.0114933419887298,0.0100746629984192,0.0102898869351495,0.00944529684548672,0.0101732383043457,0.00993453717064131,0.0029941103560259,0.00593252372506877,0.0367534590952706,0.00745515259321458,0.00977878098250202
"m__C00078_Trp",0.0166850556981361,0.0143109772397856,0.0205444386060142,0.0293945270211108,0.0354830341222486,0.0269572590267231,0.022270711727173,0.027083929630647,0.020109533946284,0.0367481388300613,0.00756165364744878,0.0922478836031255,0.0236143765073198,0.0723169576002566,0.036116981606399,0.0320963639208489
"m__C00079_Phe",0.00537783519794025,0.00936355575844046,0.00714161195127251,0.00283353394530831,0.0155243592132817,0.0112759248314433,0.015513752685518,0.00536687077725518,0.0142934361653679,0.0143585474420852,0.0079818946065035,0.030262542539869,0.00375435829730185,0.0174500762367511,0.0099984913419684,0.0113664527326871
"m__C00081_ITP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00082_Tyr",0.00763030114022028,0.00254631308318316,0.00287791708539667,0.0140146412936878,0.0142385642524127,0.00931412687001754,0.00707922486440778,0.0130092639193715,0.00332240025418954,0.0137042601398045,0.003829781193162,0.0284935301325998,0.0133697515361375,0.0107257586565021,0.00840299362318192,0.010170588536285
"m__C00083_Malonyl CoA",0.00121500890831719,0.00367415528695503,0.000647276692711685,0.000938610012111034,0.00299473199826584,0.0114081198831825,0.00188181201008311,0.000971826530605468,0.00335147956846739,0.00525688537026404,0.00324084498740965,0.0105971910347252,0.00546206945302539,0.0036672295593041,0.00103628678665586,0.00375623520547223
"m__C00085_F6P",0.0575952097825606,0.0529568928129245,0.0491074117642476,0.0661011924810568,0.132759409479247,0.0537578177776405,0.0707427223578553,0.0910556559598363,0.0806605545838514,0.101207654488055,0.0470290566406003,0.229166726707928,0.0683497530135456,0.112860946173661,0.0508729963296857,0.084281600023513
"m__C00086_Urea",0.00305174376313589,0.007065381531518,0.00403982923638722,0.00831675306032202,0.020791639268315,0.00618377920024615,0.00490682391990089,0.00724671563573804,0.00864165805738376,0.00722877163780346,0.00645328104838279,0.0298544406413018,0.00720198436411615,0.0376454553008522,0.00484637671088082,0.0108983088917523
"m__C00091_Succinyl CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00092_G6P",0.00246578168697571,0.0109445737996841,0.00207751152524902,0.0173172275928244,0.0170933390708391,0.0135283008047114,0.00297530133514737,0.0016291016668399,0.000647902051771907,0.00558584944277832,0.000604391557102683,0.0060770895707717,0.00575417710962113,0.0479697520407739,0.00549406435221514,0.00934429090715372
"m__C00093_Glycerophosphate",0.00462719331223995,0.00787404299982558,0.00979855356655306,0.00871580550853823,0.0160834364163248,0.00971747212042284,0.0117188282213023,0.0142299486804728,0.0108974067945558,0.0104592455307465,0.00310185707120099,0.0326861957764331,0.00624691278954934,0.0130723226241326,0.00309251101519809,0.0108214488284997
"m__C00096_GDP-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00097_Cys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00099_beta-Ala",0.0149036891403347,0.0295329602209704,0.0151115730343182,0.0142546029406888,0.00589606124778605,0.00427128766834717,0.0155932664808153,0.00630705042172301,0.016770781141645,0.00229587816412005,0.00217443137252968,0.0727462722424412,0.00164988763458786,0.0895126059952648,0.00163456076232364,0.0195103272311931
"m__C00103_G1P",0.058392072912162,0.0562430457668077,0.0506189189806011,0.0708729844061622,0.212572831896076,0,0.0736064403272348,0.0664070806185291,0.160470577516651,0.045249210290368,0.0561803178811934,0.230845500139622,0.0654248280737584,0.141189308169727,0.0389791961252868,0.0884701542069453
"m__C00104_IDP",0.00118828638315162,0.00160380448680083,0.00391890981314073,0.00798337873566495,0.010419632670116,0,0.00195194985724999,0.000467404548565844,0.00208461666524189,0.0162694634456162,0.0016980269145299,0.0168155809076868,0,0.0286534229791626,0.0108158226126231,0.00692468666797003
"m__C00105_UMP",0.00776128534776173,0.000908397790060906,0.00455490268772279,0.0193597710520628,0.00203382092249546,0.0105350795448219,0.0059060918230056,0.00454324232065599,0.00765994961759835,0.0213686051140039,0.000769223106950453,0.00758838508454451,0.00698201541049493,0.00186232033844718,0.0172506565054628,0.00793891644440595
"m__C00106_Uracil",0.00826638615941643,0.000476933198232037,0.000443818514384658,0.000501904166170157,0.000330820008370011,0.00121522361299327,0.00859851044080492,0.00124523221928323,0.00822129989703749,0.00142474997850095,0.00491861084436405,0.0147402340205943,0.00582698295932707,0.00130398620020114,0.00143451553689911,0.00392994718377192
"m__C00108_Anthranilate",0.0205858234741358,0.0056518386145017,0.0149437108453131,0.00133886060355683,0.0132698110956919,0.00603934148969303,0.0577370842490568,0.017546415211813,0.0548141439849634,0.0116226742245226,0.00287693769693218,0.0408613496560352,0.00495396399128856,0.417072399447517,0.010733469750973,0.0453365216223996
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00111_DHAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00112_CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00114_Choline",0.00655395352580173,0.00928311525867668,0.0107472516895726,0.00345874242232188,0.00414281520551068,0.00834104842350329,0.019714207771387,0.0118836463802508,0.0223073262317152,0.000299320263455167,0.00662321807813009,0.0402330956174421,0.0174165807162861,0.00811081584816134,0.0051974936661622,0.0116208420732251
"m__C00116_Glycerol",0.0229888012958066,0.0135670651179833,0.00576083834187638,0.0138578552375921,0.0244591328663188,0.0144049636560831,0.0277349241448647,0.0127401351608783,0.0352775115252195,0.0188256500781308,0.019843846397985,0.0275686058816168,0.0231200279429113,0.0755976989380542,0.0131874837293222,0.0232623026876429
"m__C00117_R5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00119_PRPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00120_Biotin",0.0268422951477584,0.0280936679194599,0.0257244961624789,0.0284772705975335,0.0582778181674843,0.0132203232859245,0.0298854377827279,0.0329451304433729,0.0204216172086722,0.0250590871368017,0.0197096115603619,0.0865299569490526,0.024046821209345,0.0898525796511343,0.031542049040636,0.0360418774841829
"m__C00122_Fumarate",0.0171983057569311,0.017885034481983,0.0157311954963479,0.0186802412325929,0.0380093846254015,0.0191110010190484,0.0188199240962844,0.0212225639986239,0.0152146073030776,0.0217758849556191,0.00768152514096216,0.0685015521641572,0.00829538757592695,0.055386451500592,0.0158688500599626,0.0239587939605007
"m__C00123_Leu",0.00198295494400481,0.00908126725784221,0.00144876898987385,0.00251889539206832,0.00425885367507067,0.00371785850074165,0.00129389195741386,0.00580622629404473,0.0075560578141342,0.00384362133114551,0.00851167323723692,0.00248848243895158,0.002232610629251,0.0303714724934481,0.00381086653781263,0.00592823343286934
"m__C00127_Glutathione(ox)",0.0146387284447344,0.0370728175990337,0.0184893763175295,0.0213867697384463,0.0216594088735701,0.0289835299909951,0.0287961659425037,0.045521948885601,0.043592014346153,0.0406761155472618,0.0109782446834953,0.0266606173753556,0.0245868101181387,0.0820486266945965,0.0247051696447543,0.0313197562801446
"m__C00128_CMP-N-acetylneuraminate",0.0272100162052198,0.00175573314780197,0.0219277609700287,0.0273997184925414,0.0616764547805955,0.0837340075589009,0.0350490136322946,0.0296637566597489,0.0348620319104846,0.0278670613391314,0.00188041925533003,0.0872370479847183,0.0772385123540332,0.0741461739697269,0.0258144370691595,0.041164143021981
"m__C00130_IMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00131_dATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00134_Putrescine(1,4-Butanediamine)",0.0178627174271365,0.0219927456156717,0.0233441054666844,0.0217317954244404,0.0427758748370181,0.00783427757620128,0.0246824552057296,0.020643319918942,0.028519114878139,0.0342236055727834,0.017382278213223,0.051682668761371,0.0261577811227847,0.070645310946989,0.0142112202414241,0.0282459514139025
"m__C00135_His",0.0083784035970544,0.0189944685189887,0.0158272478498719,0.0510950116021938,0.0460758097534562,0.00559100453441314,0.0164794192164526,0.0209968127695433,0.0222475374403939,0.0233098541740473,0.0086558210997156,0.0708237812992462,0.016883857730471,0.0380680287187937,0.00912750021329117,0.0248369705678622
"m__C00140_N-Acetylglucosamine",0.00495270307131755,0.00130068936857895,0.0106855677514827,0.0129624591140537,0.0136988822764583,0.0128013308506408,0.00731534735652616,0.00487364417914592,0.00741561734370099,0.0118368912655268,0.00795143441074866,0.0223019315480564,0.0102396705923984,0.0287939989489374,0.00911900019920298,0.0110832778851184
"m__C00141_2-Oxoisopentanoate",0.00793250300584466,0.00235119347948446,0.000904312760211818,0.00626267625814928,0.0299991811449306,0.00592343744773821,0.00528101763525298,0.00376149395330515,0.00467969901609309,0.00241648599986347,0.00462270688946833,0.00560004769459554,0.00237710157147566,0.00228014973025735,5.01742378109295e-05,0.0056294787216321
"m__C00144_GMP",0.00118321003327165,0.00155893854069448,0.00387462071151742,0.00786397399520747,0.0103027128441138,0,0.00189646968104416,0.000436065978587021,0.00207778128927061,0.0160293424596237,0.00168103866279454,0.016625993715521,0,0.0282035517263022,0.0106515774156981,0.00682568513690975
"m__C00147_Adenine",0.0211106680636924,0.0266858142814261,0.0161538105154227,0.0243946301983525,0.0878166212667185,0.0241653680094417,0.0475208121415169,0.0326781920528883,0.0563768858227439,0.0309784193876402,0.0261830250971455,0.130349566065356,0.0272188997374278,0.114966877858512,0.0206297649904003,0.0458152903659124
"m__C00148_Pro",0.0158973987174548,0.0166973812758235,0.00802211280283591,0.0222450851966127,0.0590699822547875,0.0205943996459051,0.0105442708650064,0.00224532000211162,0.0176109386915198,0.0183947492195436,0.0328200400382454,0.0784221245762422,0.0224164832885112,0.0685388282723063,0.017885789931374,0.0274269936518853
"m__C00152_Asn",0.0204816544989549,0.0117643438952054,0.0160932157348681,0.00149078674525823,0.0181129624805472,0.00780989706490009,0.00647700629428453,0.0106448023580132,0.00951633155740242,0.0163906281374817,0.00134941072320377,0.0229324642105428,0.00065954839035402,0.0325320958566017,0.0115214832058632,0.0125184420768988
"m__C00153_Nicotinamide",0.00105004445519516,0.00783829708821634,0.00464555952758384,0.00702503549227202,0.0193621950972208,0.00856008569708742,0.0107553000919572,0.00623814890567508,0.00701600197134103,0.0102046358935851,0.0041815479079003,0.0423329993910081,0.00172964554423568,0.0150201461154325,0.00840914930300968,0.0102912528321147
"m__C00155_Homocysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00156_p-Hydroxybenzoate",0.0416825692228976,0.0366660546850382,0.0241302246633494,0.0491173186157647,0.107292030902914,0.0501886865173208,0.0503353681061867,0.0406431898619489,0.0682753838747196,0.060210183536671,0.0452260105392011,0.151772611620327,0.0435157475370239,0.152263950730819,0.0365466007636606,0.0638577287451895
