"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.00884439499807491,0.0128489308432965,0.0929874032602861,0.00486596007948642,0.149107392039578,0.0439144090192069,0.0451148481265218,0.0303797906255333,0.0444839449853848,0.00393275029814808,0.0400487104598491,0.00663725005111987,0.0177744914091393,0.0247176218804612,0.0958866239911696,0.0414363014711504
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00113649156112369,0.101394093320537,0.00212207098124265,0.104936176158045,0.0450656880853073,0.0672744912305844,0.0676265503035718,0.00330878506100627,0,0.032567861936938,0.0348859101268787,0.0877859380608831,0.07168460213134,0,0.00225510058789541,0.0414695839696902
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0948112533511005,0.0488174413811737,0.0218361103969869,0.0639512319720027,0.00196251440273293,0.150419261850327,0.104502028722117,0.0600093383789825,0.243369522269495,0.00337801005201553,0,0.0378573361680424,0.0231334530183721,0.00533533909026881,0.0217248668307802,0.0587405138589598
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0123204344209131,0.0278070684349891,0.0326752510808654,0.06900290544163,0.0292488461147888,0.171465531227383,0.0386480532898501,0.175042157971836,0.163820680841434,0.0148463090739948,0.120130670257443,0.0409865237527746,0.0571732142648536,0.00130273338971963,0.00977631908428824,0.0642831132431175
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.00296494876577547,0.00838319421207823,0.0714031469653896,0.196819996737659,0.0718515298111951,0.27174798495867,0.327099025845321,0.0826805305010524,0.209275201944023,0.088994816647872,0.153285838343552,0.00596070145136147,0.033752197997733,0.021414894208993,0.00298807610106113,0.103241472299449
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0306060073332833,0.0317062723616347,0.123038432416282,0.289525608976644,0.166606067319106,0.15754536882014,0.242271139357204,0.0955224102604761,0.042851322432914,0.00460489602052284,0.00524359864981721,0.0222539553076582,0.156713002094613,0.0759007832829831,0.00550928454590051,0.0966598766119453
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.00260185455596786,0.0958577595209454,0.0322540761035426,0.0610794379426239,0,0.0131280771211497,0.0905437842904155,0.0819148823603778,0.30601895512103,0.248611164591624,0.0267594448126889,0.0195384304096738,0.0414027307926421,0.0120141537809882,0.07783778090743,0.0739708354874066
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.0483954926744584,0.126726711378562,0.180828185791296,0.42281540927498,0.00400846976951662,0.244684852166532,0.0724845545008746,0.189010237359828,0.0627961543778956,0.103267017921393,0,0.209500385312534,0.199613093068415,0.125528029989798,0.204392429124897,0.146270068180732
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0153326059024788,8.34325089840289e-06,0.263087800173493,0.0334285856492886,0,0.414961416727388,0.165098428916042,0.013387343942897,0.326297251825035,0.178320000857159,0.0829416300738943,0.0105002985917261,0.0759820565022014,0.0113451205794452,0.0999729046538809,0.112710919176388
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0247801965503455,0.00351481355663207,0.00626674086648222,0.00073802020511036,0.0411128174546619,0.222805549288901,0.022043493123854,0.0210385537636623,0.015570946618591,0.12974274657723,0.0214706070221179,0.120190131750092,0.0132744451081902,2.5233575265901e-05,0.0140774710304696,0.0437767844327738
