"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0,0,0,4.23686002661163e-08,0,0,0,0,2.82457335107442e-09
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0.00275716697311818,0,0,0,0,0,0,0,0,0.0110982959869729,0,0,0.000923697530672739
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.0160820868369442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107213912246295
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0,0,0,0,0,1.49218798719015e-06,0,0,0,0,9.94791991460102e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0.00541815288445788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000361210192297192
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0,0,0.000746519518507678,0,0,0,0,0,0,1.41621416424261e-07,0,0.00013402916460536,0,8.49383521329666e-06,5.92789426495172e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0,0,0,0,0.000148890853360491,0,0.000497248521903387,0,0.181394792700715,0,0,0.000193407570828588,0.0121489559764538
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0,0.0849782274271829,0,0,0,0,0,0,0.00336507398478537,0,0,0.00377425759079117,0,0.0267147210677466,5.88120866065335e-05,0.00792607281047417
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0.335706693535144,0,0.000627012124478353,0,0.000106926639474854,0,0,0,0,0.00120815799124491,0.0225099193526895
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0257043093843043,0.00435458334668446,0.0477797631648383,0.0127056509958224,0,0,0,4.01104967906765e-05,0,0,0,0,0,0,0,0.00603896115922934
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0.0143221783772793,0,0,0,0,0,0,0,0,8.82313601094999e-07,0.000585679484300665,0,0.0494926379842837,0,0.00429342521063098
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,0,0,0,0,0,0,0,1.71168568436655e-06,0,0,0,0,1.1411237895777e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0,0,0.00015903978018696,0,0,0,0,0,0,0,0,0,0,0,1.0602652012464e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0,0,0,0,0,0,0.00731651459383199,0,0,0,0,0,0,0,0,0.000487767639588799
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0,0,0,0,0,0,0,0,0,0.00228262925896279,0,0,0,0.000376842865911402,0.00017729814165828
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0,0,0,0,0,0,0.00159811812239623,0,0,0,0,0,0.00018360849623335,0.000118781774575305
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0,0,0,0,0,0,0,0,0,0,0.0394781282053197,0,7.82616033025152e-06,0.00263239695771
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0,0,0,0,0.00801630448746937,0,0,0,3.76063983562723e-06,0,0,0,0,0.000534671008487
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.000281801710551416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120488519427371,0.000822043576885902
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0,0,0.00195874485787421,0.00212373803322225,0,0,0,0,0,0,0.00166745386954937,0,0,0.000383329117376389
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0,0,0,0.241940189623193,0,0.0245277087235832,0.0555176361865112,0,0,0,0,0,0,0.035503678446648,0,0.0238326141986623
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0,0,0,0,0,0,0,0,0.00197788322210098,0,0,0,0,0,0,0.000131858881473399
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0.0192858082739212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128572055159475
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0,0,0,0,0,0,0,0.0771054740814187,0,0.000317026952961069,0,0,0,0.0113922994654754,0.0273652469440724,0.00774533649626185
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0,0,0,0,0,0,0,0,0,0,0,0.160750472001241,0,0,0,0.010716698133416
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0.00062003458469727,0,0,0.00664375171080373,0,0,0,0,0,0.00188151476155299,0,0,0,0,0.000609686737136933
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis",0,0,0,0,0.000310616962536974,0,0,0,0,0,1.40923249955872e-09,0,0,0,0,2.07078914512982e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0,0.00205098140008631,0,0,0,0,0,0,0,0,0,0,0,0,0.000136732093339088
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum",0,0,0,0,0,0,0,0,0,0.000221322308873413,0,0,0,0,1.04811900848359e-07,1.47618080516174e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium",0,0,0,0,0,0,0,0.000564234037133491,0,0,0,0,0,0,0,3.76156024755661e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense",0,0,0,0,0,0,0,0,0.00419366602443087,0,0,0,0,0,0,0.000279577734962058
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium merycicum",0,0,0,0,0,0,0,0,0,0,2.2285305035684e-06,0,0,0.00184326409040633,0,0.000123032841393993
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium moukalabense",0,0,0,0,0,0.0050158335447031,0,0,0.0110586025809343,0,0,0,0,0,0,0.00107162907504249
