"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0.0993521188228992,0.123961699187258,0,0.0292042827642943,0.067853168129833,0,0,0.0930518987490479,0,0.03518593488161,0,0,0.180563236390945,0.0419448225950592
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,0,0,0.0272185725779464,0,0.0352568584536165,0.0401632769919437,0.226390305677419,0.0445981572831832,0,0,0,0.104076922076634,0,0.0318469395373829
"m__-_2-Hydroxyoctanoate",0.0231641037170474,0.17790098068253,0,0,0.080893530989469,0.0295049445635149,0.0855274030429835,0.0329544836856974,0.0870087573454954,0,0,0.0378000738351589,0,0.0311089187120243,0.00248135981297989,0.0392229704257934
"m__-_2-Hydroxypentanoate",0,0.020659749873383,0.0527983519328576,0.0484852188327835,0,0.0925546029881427,0.102193792619178,0,0,0.205603243951391,0,0,0,0.154448982709797,0,0.0451162628605022
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.0232068914231088,0.0796244143601618,0.130310267330639,0.258533504386542,0.049563882781088,0.110596454339335,0.255401556941364,0.114092567638509,0,0.0578918387810552,0.0313147090354836,0,0.0199370485021554,0.0556300664026787,0.156266588222184,0.0894913193429537
"m__-_4-Oxohexanoate",0,0,0.0393571458536075,0,0,0,0,0,0.155709222577268,0,0,0,0,0,0,0.0130044245620584
"m__-_4-Oxopentanoate",0,0,0,0,0,0,0,0.0278053456098072,0,0,0,0,0,0,0,0.00185368970732048
"m__-_Cysteine-glutathione disulphide",0,0,0.0280023587497067,0,0,0,0,0,0.134046991176343,0.0260155917485235,0,0,0,0,0.0669967149504564,0.0170041104416686
"m__-_Cysteine-glutathione disulphide -Divalent",0,0.188535968293778,0.137359830125432,0,0,0,0,0.352132656505879,0.107384695263353,0,0.0536122052646133,0.180845465193027,0,0.057474941053788,0.0995966490451227,0.0784628273829995
"m__-_gamma-Glu-2AB",0.124198180949754,0.161707502671584,0.46707354233385,0,0.11087617242397,0.0292328304502809,0.0201467762592094,0,0.0558529129901428,0.197753703842867,0.253450228118298,0.181566681091669,0.0254554198841929,0,0.16767809637211,0.119666136492529
"m__-_N-Acetylvaline",0,0,0.0930877022573646,0,0,0,0.130300224219447,0,0,0.098115946023003,0.16565567671475,0.100903254983918,0,0.117993136873936,0,0.0470703960714946
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0.0823835838350943,0.11097096782851,0.251553574713348,0.05074103556452,0.103559510821581,0.101346569067318,0.11141476542031,0.0673744912853021,0.263564563142824,0.0650072510955353,0.172703832705859,0,0.171399931618781,0.200647247529895,0.0996974924857981,0.123490987807645
