"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_N-Acetylvaline",0,0,0,0.0505485609659273,0,0,0,0,0,0,0,0,0,0,0,0.00336990406439516
"m__-_Ophthalmate",0,0,0,0,0,0,0,0.186989724982738,0,0,0,0,0,0,0,0.0124659816655159
"m__-_SDMA",0,0,0,0.105148442612034,0,0,0,0,0,0,0,0,0,0,0,0.0070098961741356
"m__C00024_Acetyl CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349846083048088,0,0.00233230722032058
"m__C00047_Lys",0,0,0.142391389585507,0.552159998764667,0,0.336289478743797,0,0,0,0,0,0,0,0,0,0.0687227244729314
"m__C00077_Ornithine",0,0,0.0755670368933985,0.0386507495317638,0,0,0,0.211418466283808,0.0965024911944829,0.401058794200589,0,0,0,0.141888950915325,0,0.0643390992679578
"m__C00086_Urea",0,0,0,0.0297718329797836,0,0,0,0,0.196141510127846,0,0.763186987215863,0,0,0.132262672736038,0.0148628445526645,0.075748389840813
"m__C00099_beta-Ala",0,0,0,0,0,0,0,0.0739502612895561,0,0,0,0,0,0,0,0.00493001741930374
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,0,0,0.137914525005463,0,0,0,0,0,0,0.00919430166703087
"m__C00134_Putrescine(1,4-Butanediamine)",0,0,0.420304755384318,0,0,0,0,0,0,0,0,0,0,0,0,0.0280203170256212
"m__C00147_Adenine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.056219259934762,0,0.00374795066231746
"m__C00186_Lactate",0,0,0,0,0,0,0,0.098971304907495,0,0,0,0,0,0,0.0125779928448682,0.00743661985015755
"m__C00188_Thr",0,0,0,0.319278623530388,0,1,0,0,0.0145393450285459,0.254779044574751,0,0,0,0,0,0.105906467542246
"m__C00242_Guanine",0,0,0,0.00700321122196937,0,0,0,0,0,0,0,0,0,0,0,0.000466880748131291
"m__C00253_Nicotinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252662224627579,0.00168441483085053
"m__C00270_N-Acetylneuraminate",0,0,0,0,0,0,0,0.0761361734801526,0,0,0,0,0,0,0,0.00507574489867684
"m__C00294_Inosine",0,0,0,0.105937776864146,0,0,0,0,0,0,0,0,0,0,0,0.00706251845760975
"m__C00296_Quinate",0,0,0,0,0,0,0,0,0.265439460296485,0,0,0,0,0,0,0.0176959640197657
"m__C00315_Spermidine",0.244954957836629,0,0,0,0,0,0,0,0.0220922027004564,0,0,0,0.231887922126006,0,0,0.0332623388442061
"m__C00387_Guanosine",0,0,0.146456970509414,0,0,0,0,0,0,0,0,0,0,0,0,0.0097637980339609
"m__C00388_Histamine",0,0,0,0.0481706457895417,0,0,0,0,0,0,0,0,0,0,0,0.00321137638596945
"m__C00417_cis-Aconitate",0,0,0.0787980221643956,0,0,0,0,0,0,0,0,0,0,0,0,0.00525320147762638
"m__C00437_N-Acetylornithine",0,0,0,0.648069760274656,0,0,0,0,0,0,0,0,0,0,0,0.043204650684977
"m__C00449_Saccharopine",0,0,0,0,0,0,0,0,0.0182865146916928,0,0,0,0,0,0,0.00121910097944619
"m__C00475_Cytidine",0,0,0,0.0706631292396205,0,0,0,0,0,0,0,0,0,0,0,0.00471087528264136
"m__C00489_Glutarate",0,0,0,0,0,0,0,0,0.0712683244272423,0,0,0,0,0,0,0.00475122162848282
"m__C00506_Cysteate",0,0,0,0,0,0,0,0,0,0.276412874553463,0,0,0,0,0,0.0184275249702309
"m__C00642_p-Hydroxyphenylacetate",0,0,0,0.0145136970745131,0,0,0,0,0,0,0,0,0,0,0,0.000967579804967539
"m__C00719_Betaine",0,0,0,0,0,0,0,0.21576666733507,0,0,0,0,0,0,0,0.0143844444890047
"m__C00864_Pantothenate",0,0,0,0,0,0,0,0,0.0869841369508164,0,0,0,0,0,0,0.00579894246338776
"m__C01020_6-Hydroxynicotinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0.067426791008956,0,0.00449511940059706
"m__C01042_N-Acetylaspartate",0,0,0,0,0,0,0,0.293334991328796,0,0,0,0,0,0.0108471617402476,0,0.0202788102046029
"m__C01152_3-Methylhistidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247727650877409,0,0.00165151767251606
"m__C01586_Hippurate",0.337716349544433,0,0.290327978768989,0.731938179312421,0,0,0,0,0,0.273582202614987,0,0,0,0.610660164919132,0.722201862745222,0.197761782527012
"m__C01598_Melatonin",0,0,0,0,0,0,0,0,0.00796912308050933,0,0,0,0,0,0,0.000531274872033955
"m__C01620_Threonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254376227983387,0,0.00169584151988925
"m__C01672_Cadaverine",0,0,0.185112780759609,0,0,0,0,0,1,0.397571598730715,0,0,0,0,1,0.172178958632688
"m__C01879_5-Oxoproline",0,0,0,0.279529891515901,0,0,0,0,0,0,0,0,0,0,0,0.0186353261010601
"m__C01921_Glycocholate",0.208251924300561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138834616200374
"m__C01996_Acetylcholine",0,0,0,0.414431808018983,0,0,0,0,0,0,0,0,0,0,0,0.0276287872012655
"m__C02230_3-Methylguanine",0,0,0,0.226460121590208,0,0,0,0,0,0,0,0,0,0,0,0.0150973414393472
"m__C02356_2AB",0,0,0,0.0306853961944028,0,0,0,0,0,0,0,0,0,0,0,0.00204569307962685
"m__C02378_6-Aminohexanoate",0,0,0,0,0,0,0,0,0.269611669645937,0,0,0,0,0,0,0.0179741113097292
"m__C02494_1-Methyladenosine",0,0,0.296321979179282,0.309791685566616,0,0,0,0,0,0,0,0,0,0.364034887331868,0.374636765241517,0.0896523544879522
"m__C02614_Citramalate",0,0,0.0802652966393894,0,0,0,0,0,0,0,0,0,0,0,0,0.00535101977595929
"m__C02656_Pimelate",0,0,0.168665139599831,0,0,0,0,0,0.115972749611497,0,0,0,0,0,0,0.0189758592807552
"m__C02710_N-Acetylleucine",0,0,0,0.166070940274874,0,0,0,0,0,0,0,0,0,0,0,0.011071396018325
"m__C02918_1-Methylnicotinamide",0,0,0,0.501385985535025,0,0,0,0,0,0,0,0,0,0,0,0.0334257323690016
"m__C03406_Argininosuccinate",0,0,0,0,0,0,0,0,0.420743942240895,0,0,0,0,0,0,0.028049596149393
"m__C03793_N6,N6,N6-Trimethyllysine",0,0,0,0.0130372531666663,0,0,0,0,0,0,0,0,0,0,0,0.00086915021111109
"m__C04483_DCA",0,0,0.276816459426429,0,0,0,0,0,0,0,0,0,0,0,0,0.0184544306284286
"m__C05135_4-(beta-Acetylaminoethyl)imidazole",0,0,0,0,0,0,0,0,0.0128628298628142,0,0,0,0,0,0,0.000857521990854281
"m__C05341_beta-Ala-Lys",0,0,0.355897190432204,0,0,0,0,0,0,0,0,0,0,0,0,0.0237264793621469
"m__C05659_5-Methoxytryptamine",0,0,0,0.45599387352122,0,0,0,0,0,0,0,0,0,0,0,0.0303995915680813
"m__C11118_1-Methyl-2-pyrrolidinone",0,0,0,0,0,0,0,0,0,0.251293513407358,0,0,0,0,0,0.0167529008938239
"m__C16741_5-Hydroxylysine",0,0,0,0.00459538989227512,0,0,0,0,0,0,0,0,0,0,0,0.000306359326151674
"m__C17714_Heptanoate",0,0,0,0.124151319908096,0,0,0,0,0,0,0,0,0,0,0,0.00827675466053976
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0,0,0,0,0,0.0890652166353324,0,0,0,0,0,0,0.00593768110902216
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium",0,0,0,0,0,0,0,0,0.0183372871038384,0,0,0,0,0,0,0.00122248580692256
