"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0.0316542952772088,0.0369184446920145,0.0522906870256202,0.0262817050248652,0.0309077420902294,0.0356089025142822,0.0181949274823652,0.0434123872259949,0.0217348866364825,0.0286912769689515,0.0244472925590232,0.0466957892345938,0.0246400780437257,0.0219458078962019,0.0603384429790502,0.0335841777100406
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0.0157488145176318,0.00136773663929321,0.0141544600094614,0.0105008677866558,0.0167709223182433,0.000221052704196607,0.00971473632874763,0.0141533568052243,0.00497662935903444,0.0128274020005362,0.0173215441944986,0.00405491379515694,0.00908300899285423,0.0161750492792189,0.00112163431098872,0.00987947526944947
"m__-_2-Hydroxyoctanoate",0.00980111113101554,0.0019009778485184,0.000977224101194395,0.0171514068292701,0.00978199887681052,0.0120359740509732,0.0031720171536161,0.0137326290609104,0.007644510217584,0.0177174872077186,0.00931909420083474,0.00752213093168729,0.0169107911453086,0.00653968378626148,0.00184759807564078,0.00907030897448961
"m__-_2-Hydroxypentanoate",0.00832524471577848,0.00661879469495327,0.0103193714188937,0.0116489589626542,0.00752868132720182,0.0107516960676687,0.0145000983524172,0.00980126080245603,0.00974057841070478,0.010667473714428,0.00846281247328494,0.0129134549071102,0.00311465797309877,0.0128411523678707,0.0257739755631905,0.0108672141167808
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.0154966332538769,0.0178134241643958,0.0283226824364675,0.012969521259098,0.0306684795736311,0.0183976794140155,0.0165214899529911,0.0145689229994285,0.0133738357943123,0.0204053368749772,0.0183968004719035,0.0319473271290203,0.0156335586156993,0.0184875223032853,0.0177851906568516,0.0193858936599969
"m__-_4-Oxohexanoate",0,0,0.0409295371471235,0.0265480735728387,0.0255109123285851,0.0256157978183625,0.0197878235905292,0.0140004767679308,0.0262427729821889,0.0133157848137844,0.0261760242867507,0,0.0314313896397879,0.0226836958462393,0.0435482805368796,0.0210527046220667
"m__-_4-Oxopentanoate",0.00534510551750786,0.0166808483464184,0.0155307692362903,0.00679409652805328,0.0122642376348564,0.0117350597273256,0.012470608519395,0.00129536451814075,0.0101414044248398,0.00215294639667699,0.00355050650153713,0.0199237982578709,0.00803348447064669,0.0400819286297092,0.00686371688873157,0.0115242583732
"m__-_Cysteine-glutathione disulphide",0.0403404383656989,0.0381293612827236,0.0152550679780409,0.0302496807701273,0.0445076691494583,0.0318560936736413,0.048050382256599,0.024414435016108,0.0823340911237743,0.0212776838258145,0.0505666201031307,0.0497060158097332,0.0439852223138123,0.0197068180150763,0.0808578028716763,0.0414158255036943
"m__-_Cysteine-glutathione disulphide -Divalent",0.00870507322517118,0.00923985711652889,0.00982792595990063,0.0107121077781915,0.0566890943063027,0.0362985601916719,0.0310703856102847,0.0458306924383649,0.0317616842786202,0.00682837547217835,0.0126724893297899,0.00158494865358138,0.0346777323210405,0.0812400451433488,0.0225690360552288,0.0266472005253469
"m__-_gamma-Glu-2AB",0.016062665864832,0.032920289824971,0.0336544854739466,0.0115734749321728,0.0330457553544506,0.0461397533660454,0.0404523749021823,0.0325222667697756,0.0385947603120527,0.0273686492103572,0.00983409458454545,0.0395851279882313,0.0240586893168289,0.0358379416851666,0.0522654009316835,0.0315943820344828
"m__-_N-Acetylvaline",0.0181426912719265,0.0489281006863563,0.0491407475489675,0.0225305206951053,0.0212193353821842,0.0225502927374254,0.0255786464778461,0.0170961151720777,0.0225794689454197,0.0119295811863107,0.0333104670181931,0.048970799821338,0.0299131584061043,0.00314240299585887,0.0594119383396869,0.02896295111232
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0.00398597218164446,0.00191644342393076,0.0130779926904689,0.0206438527483697,0.0110388222112376,0.0277006383169496,0.00597431420658742,0.0252870536612901,0.0160159069387729,0.0277254922163921,0.00809758821649896,0.00783621881502337,0.0113829311657783,0.0209659440170683,0.0106782715432384,0.0141551628235501
"m__-_Ophthalmate",0.018097441744845,0.0396780103135558,0.0615340838337594,0.0235106715564517,0.0226933227893177,0.0201060376563857,0.0285880083077811,0.036690294039488,0.0208686333035814,0.00777389784866128,0.0120961774809548,0.0479056314271394,0.030538577243484,0.012378904652279,0.0488397120367074,0.0287532936156261
"m__-_Phe-Phe",0.00757607813206577,0.0135932082442249,0.0449356488863141,0.0158851471131814,0.00569464848697229,0.0148811414537653,0.0142573354380749,0.0359064956262415,0.0187750681608059,0.040779910264584,0.025719373699444,0.018170214268066,0.00260544664764288,0.00738268032983825,0.0139646832432018,0.0186751386662949
"m__-_SDMA",0.00128805699258146,0.00481602909319754,0.00228338111906459,0.00433102690005567,0.00291713028610372,0.0120620887557647,0.00558471870895043,0.00541565162385217,0.000780507696329005,0.00418363954970986,0.00223886946638539,0.00450188927253965,0.000321925175707587,0.00710077185402815,0.0042977970288401,0.00414156556820733
"m__-_Xanthopterin",0.00118464547625208,0.0026555518445948,0.00807982633694997,0.00491524316486933,0.00405330269835445,0.0357788755780156,0.000310567651199074,0.00248993824777398,0.174109981238001,0.0291976066881034,0.000548301135910416,0.00840222016031968,0.00207341214180745,0.0405335833587515,0.235869084272027,0.0366801426661953
"m__C00002_ATP",0.0891407214905506,0.0939245464311634,0.113923571835709,0.101204191435411,0.0700194173560568,0,0.0920704605504473,0,0.094379179894902,0,0.0943845265578323,0.108308119510583,0.095454147122286,0.0747691083935209,0,0.0685051993718975
"m__C00003_NAD+",0.00197009538550865,0.000459189500199773,0.00408221350094128,0.00247369790078055,0.000390245109649092,0.00112180587421823,0.00180604885529048,0.00102646221848101,0.00744214084276174,0.00186503853816336,0.00313890623538883,0.00149635823860787,0.000249797200025251,0.000277494016648141,0.0107691473554671,0.00257124271814209
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0.025132528296297,0.0293579409604973,0.0974569894037676,0.020289379993715,0.031216452619355,0.0185896428782786,0.0225321322230531,0.0255641526617161,0.00625419269243016,0.0131622142891482,0.0266322619027978,0.0357409837889864,0.0255875750808688,0.0236634139182922,0,0.0267453240472802
"m__C00008_ADP",0.00435517710154711,0.0164086980362547,0.0102845119848816,0.00447071102627707,0.00173226694646759,0.0138598532434922,0.00967663705589141,0.00429776932716727,0.00452017504401115,0.00614563357837629,0.000230344759283139,0.00985669828487152,0.00717841433227618,0.00247783277717779,0.0300822246716936,0.00837179654464459
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0.00704264496587629,0.00766649184671536,0.0123784826087128,0.0137508419797123,0.00537228079876973,0.00655123919287563,0.00379475512510059,0.00025578485370529,0.00621712559555133,0.0122463472450477,0.00616951084504117,0.00309193206801946,0.00842705719763693,0.00616225434363067,0.00646545933336952,0.00703948053331765
"m__C00016_FAD",0.0209404936422563,0.0250305813143624,0.0327989709719306,0.0360819152091278,0,0.0338344034274002,0,0,0,0.0369522077919635,0.0286982559928855,0.0314760737220607,0,0.0153316073915557,0.0317487987758206,0.0195262205492909
"m__C00019_SAM+",0.0066953399041389,0.00797455804118298,0.01646188289989,0.0113033973209758,0.00721464221827266,0.0292893169135085,0.0117060577632083,0.0150886351067364,0.0161871841261776,0.0211258869956826,0.0112830159330597,0.020687523073149,0.012093024065963,0.0151934775726157,0.025922478166214,0.015215094673385
"m__C00020_AMP",0.00417007421069382,0.000827851515862187,0.00219699128609804,0.00355504984144032,0.00113172616767473,0.00413314107469412,0.00353047546947083,0.00387636695470229,0.00329875681102898,0.00225852137624566,0.00196714694784726,0.00187448010957554,0.00167504115353514,0.00170913453596218,0.0022048691848439,0.00256064177597833
"m__C00021_SAH",0.0187768102264919,0.0890626089704657,0.0598779198264054,0.0175851548685943,0.0602373374910496,0.0660841914336246,0.0584266409715373,0.0572328799241195,0.0466773599029936,0.0239329225721155,0.0196058672601659,0.0534349032422717,0.0465837360607676,0.0837376252821609,0.041516643621493,0.0495181734436171
"m__C00022_Pyruvate",0.00573749131155835,0.000102808902265344,0.00409757335240398,0.00358238620241412,0,0.00236908773483768,0.00351607995399572,0.000933608470451313,0.00422460463134743,0.00724592783577779,0.0101247280781981,0,0.000740566753671259,0.00387748218299281,0.00273823005867914,0.00328603836457287
"m__C00024_Acetyl CoA",0.00270785996281309,0.016471000467687,0.0172476218959032,0.00464997153199001,0.00950444010518794,0.00835978065220041,0.00479889785899449,0.00528849993410476,0.00338576589033886,0.00215485720233873,0.0023521655220207,0.0131598262310998,0.00323352277657816,0.0059808044530984,0.0257571454366655,0.00833681066140141
"m__C00025_Glu",0.0106126773736407,0.065424554748953,0.0500256592997196,0.0141130378295009,0.00590763870839057,0.0207864067896352,0.00185242176700771,0.0168137785570825,0.0416314389735626,0.0303476495943528,0.016167896348112,0.0424264484323357,0.00255692569854428,0.00994957821879051,0.0798753423318051,0.0272327636447622
"m__C00026_2-Oxoglutarate",0,0,0,0.0667916569001614,0,0.0702352357965214,0.0641174623559057,0,0.0699462216356128,0.0725814590768994,0.0651402791760077,0.0989349619162603,0.063049326515947,0.0695535577660708,0.106936148332426,0.0498190872981208
"m__C00029_UDP-glucose",0.0258569175999426,0.0140605466468084,0.020776503190929,0.0375762354729982,0.0161305523740442,0.0247673024920291,0.016231120371271,0.0242680051792086,0.00872064060634676,0.0294959333082397,0.0237079896887494,0.0231495673978465,0.0186270759113307,0.00601851909161484,0.0266551815585673,0.0210694727259951
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0.00216491020130413,6.5152502147283e-05,0.00383634330683087,4.08197583128785e-05,0.0031680345964254,0.00551826611017191,0.00196642839009212,0.00472668659536344,0.00809173587201076,0.0015288493748874,0.00101562753867531,0.00337504953459776,0.00191530306573304,0.00743130290633276,0.0185794658124935,0.00422826503769191
"m__C00041_Ala",0.00475585664033212,0.00435688480691008,0.00389888754650149,0.00527912008470964,0.0102109988855487,0.00786544628662622,0.00189028899159614,0.00822932790797258,0.00922310886341479,0.00880263947063032,0.0043802354127627,0.00992744852797445,0.00923505160533569,0.00850307713735034,0.00798003561902666,0.00696922718577946
"m__C00042_Succinate",0.00645793440134341,0.0244867490258124,0.0265447461892854,0.00676124625630194,0.00100267940343664,0.020127359735915,0.00688816540342273,0.00465020391427192,0.0101597044778949,0.00412181905066455,0.00657977246673947,0.030032736188756,0.00472235671580557,0.00587797519261042,0.0231460787954554,0.012103968481181
"m__C00043_UDP-N-acetylglucosamine",0.0114016001607323,0.0116178896973844,0.0125419667477118,0.00661839647571673,0.00659456299713263,0.00557773200218409,0.0139622871798161,0.0101931322928035,0.0124250051557167,0.00803896965254812,0.00721549525724726,0.00792701785779537,0.00425867186881477,0.00893732667141256,0.0123815816041887,0.00931277570808034
"m__C00044_GTP",0.00184348969819864,0.0027361951242637,0.00574087872853333,0.00289183103261965,0.00382382943880454,0.00340222448320016,0.00061784605333353,0.000276892349823696,0.00451152152553021,0.00168435291446909,0.00290670108076041,0.00180115537559127,0.000719680126194574,0.00241579446412827,0.0103951701855783,0.00305117083873529
"m__C00047_Lys",0.0158940678669658,0.0180200721564088,0.021767810290354,0.0142447561405228,0.0083540074163722,0.0435980021473724,0.0353778404441159,0.0274082393949294,0.0240403200670864,0.0397861483788459,0.028712944281917,0.00429350630837975,0.0262940172035713,0.0308476157950929,0.00645296676520148,0.0230061543104757
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.0241884216537669,0.066949181686387,0.062660022206457,0.0446232778595185,0.0389988954681793,0.0479868664386208,0.0610890868761778,0.0340076436093213,0.0518876569022578,0.0391310213090482,0.057506155393426,0.093200634093911,0.0558770391804697,0.0288035563836247,0.0786435904280571,0.0523702032992815
"m__C00051_Glutathione(red)",0.0302018198886358,0.0238936466747557,0.0224770678837652,0.0285083409511828,0.0749049812108793,0.0294359575003029,0.00854198316003368,0.0309470422571171,0.00395852920398883,0.0691831850711797,0.0290684272761013,0.0447611736251169,0.0118890979661951,0.0780544362260661,0.0140651628742166,0.0333260567846358
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0.00154104338694083,0.0113073831292909,0.00344108325052866,0.0164241015286036,0.0120730089460157,0.0223496925383422,0.0147484970958149,0.0112016262716048,0.00825472349938961,0.011249605432979,0.00797270534434686,0.0199577858046512,0.016988633628358,0.0072930360811404,0.0188618657776507,0.0122443194477105
"m__C00062_Arg",0.00325892941172777,0.0208498779163242,0.00622383476111455,0.00757923998760822,0.00827248266782529,0.00779076720707707,0.00672056651096722,0.00663880099349139,0.00882273249140202,0.012933259784519,0.0135718965288884,0.0168941941642508,0.00893604814969915,0.00819392926763557,0.0202420445285507,0.0104619069580721
"m__C00063_CTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00064_Gln",0.0145446838224884,0.0014145017389917,0.0114256603185098,0.0132088468627326,0.0108723695401983,0.0218326166974993,0.0120130539608159,0.0208651032091885,0.00210590504335565,0.0259372720168765,0.0150959937560447,0.00447740706692,0.0167699591277335,0.0176674693630113,0.00959464226582435,0.0131883656526794
"m__C00065_Ser",0.0921996422792138,0.0379676976610282,0.0253718450023309,0.0706795500117967,0.0514201133222034,0.0203253666292095,0.0641951405185564,0.0329132108111357,0.0660719229831507,0.0375838286607855,0.0909689240285063,0.0731722401967166,0.0572058994214848,0.0431043430108042,0.0681683613300979,0.0554232057244681
"m__C00073_Met",0.00259635325571786,0.00314466307171906,0.000894889499035,0.00176186848765761,0.004749834380547,0.00641024259579902,0.000784384897267587,0.00514069037560014,0.00333221215067441,0.00748457227961987,0.000132400470905181,0.00988091082180962,0.00152380245278514,0.00548758724834005,0.00700610595679072,0.00402203452961788
