"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,7.78669028191938e-05,0,0,0,0,0.000122401685511369,0,0,0,0,2.98367226366354e-05,0,1.53403540644799e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0.00156892841154532,0,0,0,0,0.00363231256772053,0,0,0,0,0.00302915226417485,0,0.000548692882896047
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0.00173281250591684,0,0,0,0,0.00244796565878418,0,0,0,0,0.00337729755377942,0,0.000503871714565363
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0.000744113966677618,0,0,0,0,0.0031966221581888,0,0,0,0,0.000444288556561047,0,0.000292334978761831
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,6.05451377929949e-05,0,0,0,0,0.000118258266420644,0,0,0,0,5.66752290931171e-05,0,1.56985755537837e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0.00506447532708286,0,0.00326924057290773,0,0,0,0,0.00533036117099761,0,0,0,0,0.00390494946662089,0,0.00117126843584061
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0.00570602954980953,0.00395857702185219,0,0,0,0,0.00651961308241213,0,0,0,0,0.00530650084958201,0,0.00143271470024372
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.0126115495357501,0.0524920273463005,0,0.00706594618354205,0.0168269140028373,0,0.004454369384406,0,0.00288139184347175,0,0,0,0,0.00271380221657997,0.0139628842393749,0.00753392565015084
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0.00195693550291295,0,0,0,0,0.00319116662426711,0,0,0,0,0.00264301557666156,0,0.000519407846922774
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0,0,0.00382503579836392,0.0038635857979418,0,0.000643224751383826,0.00585963166185204,0.0015944660123289,0,0,0,0,0.00131106343204913,0,0.00113980049692797
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0,0,0.000922891209300165,0,0,0,0,0.000692969072072006,0,0,0,0,0.000734653778177727,0,0.000156700937303327
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,0.00112168409605634,0,0,0,0,0.000350944981412486,0,0,0,0,0.000167034339644192,0,0.000109310894474201
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0,0,0.00050819246269044,0,0,0,0,0.000164927878137836,0,0,0,0,0.000540084457910415,0,8.08803199159127e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0.00892828038206086,0,0,0.000866207233958329,0,0,0,0,0.00135732332869095,0,0,0,0,0.00120843814056187,0,0.000824016605684801
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0,0,0.000600492959159161,0,0,0,0,0.00054596217429534,0,0,0,0,0.000398941751784738,0,0.000103026459015949
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0,0.00492126399189758,0,0,0,0,0.00464483216361878,0,0,0,0,0.00252620210079284,0,0.000806153217087281
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0.00859088531134914,0.00732099934720687,0,0,0,0,0.00929001495725749,0,0,0.0237652147140397,0,0.00248857525094131,0,0.0034303793053863
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0,0.000737801689761066,0,0,0,0,0.00225070468654636,0,0,0,0,0.00202878990333726,0,0.000334486418642979
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0,0,0,0.00717523578260318,0,0,0,0,0.0113525269901874,0,0,0,0,0.00505425850941471,0,0.00157213475214702
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0,0.00532430238525323,0,0,0,0,0.00613653721593337,0,0,0,0,0.000438390679863184,0,0.000793282018736652
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0,0,0,0.0017149808482191,0,0,0,0,0.000831553019435284,0,0,0,0,0.000986238273477423,0,0.00023551814274212
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0,0,0,0.00373156306778372,0,0,0,0,0.0039545726541223,0,0,0,0,0.00353017272856869,0,0.000747753896698314
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0,0,0,1.36809824435455e-05,0,0,0,0,0.000123146716083488,0,0,0,0,2.7236027157012e-05,0,1.09375817122697e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0,0,0,2.98783302021937e-05,0.000101885362866495,0,2.15255640026283e-05,0,5.16507294929585e-05,0,0,0,0,4.03939437681002e-05,0,1.63555953554917e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0,0,0,2.78560872712212e-05,8.22230268792065e-05,0,2.0938437368433e-05,0,4.8212307697978e-05,0,0,0,0,3.76983374030581e-05,0,1.44618797746598e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,0,1.94387421560243e-08,0,0,0,0,1.22716846335798e-07,0,0,0,0,2.25433537598596e-07,0,2.45059417393612e-08
