"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0.0191080011537681,0,0.00139591784560717,0,0,0,0,0,0.131009386510051,0.0876758023518982,0,0.00443282548607167,0,0.0162414622231597
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0.12873605428549,0,0,0.0728352652726857,0,0.0118438440006849,0,0,0,0.0139548250862068,0.162934690628716,0,0,0,0.000251603297246916,0.0260370855047353
"m__-_2-Hydroxyoctanoate",0.0590338762162407,0,0,0.132226789781048,0.0356848869878356,0,0,0,0,0.0504726541687539,0.0110140229346067,0.0142270615872051,0,0.0209738316979872,0.0229975114651146,0.0231087089892528
"m__-_2-Hydroxypentanoate",0,0.0307420675468572,0.000220562269994318,0.0865495841995212,0.000631823866085876,0.0949421116679602,0.00932329672052697,0,0.00175170481385545,0.0384469787455805,0,0.0251593299188277,0,0,0,0.019184497316614
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0.00154565754460629,0,0,0,0.024433711378366,0,0,0,0.00598868300645963,0,0,0,0,0,0.00213120346196213
"m__-_4-Oxohexanoate",0,0,0,0,0,0,0.0132431307080243,0,0,0,0,0,0,0,0,0.000882875380534953
"m__-_4-Oxopentanoate",0.00729854766084448,0.00127403078817723,0,0,0,0,0,0,0.0203544870421038,0,0,0,0,0,0,0.0019284710327417
"m__-_Cysteine-glutathione disulphide",0,0,0,0,0,0.0229210105995397,0,0,0.000892226367268878,0,0.0452493593401707,0,0,0.00695296886426426,0.0026938840426931,0.00524729661426244
"m__-_Cysteine-glutathione disulphide -Divalent",0,0.191191869423668,0.0663655741927822,0.00567565389159769,0,0.433623016774079,0.0299208763271726,0.100112938609731,0,0.0466805771656838,0.0168848037206178,0.0387800801608207,0,0,0.0590267022024042,0.0658841394979038
"m__-_gamma-Glu-2AB",0.0431411639658924,0.00595106302734284,0,0.0053444831929868,0,0.203328519905992,0.0949220491409249,0,0,0.076283708196037,0.10964807420518,0.129732621043656,0,0.0739368612034476,0,0.0494859029254307
"m__-_N-Acetylvaline",0.000684357326120741,0,0,0.314292951369012,0.00754455743281054,0.161746918350945,0.0127603374559911,0.00251427815718594,0.0147055345700661,0.0604850627491582,0.0179210197130769,0.0281991832058861,0.0269647879539338,0.0621274401891775,0.0312144108510297,0.0494107226216262
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0.0227412931938588,0.0944035054772236,0.00181902242919706,0.143523751099388,0.00313381402144605,0.108363453747798,0.27755203705811,0.0642123812846128,0.0280000173762801,0.0403288303247658,0.179316123663749,0.00700462244453864,0.0584275763334483,0.003471782950556,0.00693544551046805,0.0692822437943627
"m__-_Ophthalmate",0.0981642812091923,0,0.310215228271897,0.0108118894994123,0.0218407332861414,0.122880059449473,0.0678248196541252,0.190744137954796,0.000504657815420259,0.00375592315292281,0.0743541643091951,0,0.0867231380972671,0,0.036061068300176,0.0682586734000012
"m__-_Phe-Phe",0.0240199027656664,0.00163287022910762,0.0249790750745006,0,0,0,0,0,0.0255169867064982,0,0,0,0,0,0.00193422366721898,0.00520553722953279
"m__-_SDMA",0.0900959263427952,0.000294478270196291,0.00356665784022933,0.142677057307388,0.0204851686093535,0.327450535511222,0.00125790511308697,0.00022185838928852,0.13009472860876,0.0502905206733007,0.0096384662122297,0.15825821463202,0.0259780134709612,0.198909169285424,0.00642948719924086,0.0777098791643664
"m__-_Xanthopterin",0,0,0,0,0,0,0.00256644562230628,0,0,0.00266163689175984,0,0,0,0,0.0783867435167952,0.00557432173539076
"m__C00002_ATP",0.0179411571590213,0,0,0,0,0,0,0,0,0,0,0,0,0.068611558942402,0,0.00577018107342822
"m__C00003_NAD+",0.0431634212935676,9.49869108345157e-05,0,0.0322425153406841,0.00372845216421207,0.0821653458971619,0.00450647149421208,0.0399989199071737,0.0106630525129834,0.0206432814398014,0.0450441696785435,0.0086920800742999,0.0652449229464958,0.12673365975318,0.0111316534921432,0.0329368621936862
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0,0.00724592325558007,0,0,0,0,0.0177771590246556,0,0,0,0,0.00951871682780134,0,0.0270889832677723,0,0.00410871882505395
"m__C00008_ADP",0.0350658880342494,0,0,0.0251018684517605,0,0.0957225651819582,0.0499862026306286,0,0.000792287381461431,0.024203394066182,0,0,0.0678545390362972,0.502258073733707,0.011165779352114,0.0541433731912239
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0.000958100256569034,0.0034916968062413,0,0,0.000442935470240737,0,0,0,0,0.00133081844587991,0,0,0.00283826102970845,0.00692628982198698,0.0296278636148093,0.00304106436302904
"m__C00016_FAD",0,0,0,0.00684093848702311,0,0,0,0,0,0,0,0,0,0,0,0.000456062565801541
"m__C00019_SAM+",0,0.0503882243780649,6.62909048541199e-05,0.203329430810419,0.0445443542686465,0.000835083532079537,0.0228115806942721,0.102207504771426,0.0209403461290833,0.0592076355082849,0.00707799903495488,0.0231283314568091,0.0945623124072275,0.286576244180881,0.00183024919539574,0.0611670391514932
"m__C00020_AMP",0.136721975687348,0.00231300666525762,0.0225537298824081,0,0.0417999994549336,0.0363673122077523,0.000147604450244582,0,0.0151162548213639,0.0476049253144515,0.0505545202519638,0.0937491374943097,0,0.264341135046512,0.0012767343785903,0.0475030890436757
