"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0931726787832911,0.014659364698703,0.073595801198085,0.00278724782982543,0.0613134952200027,0.163200585884944,0.122950813147006,0.00489755479223624,0.00023181829086388,0.132166271427264,0.0927234449670641,0.0932322486644959,0.0635825410662725,0.0781261060385483,0.000317165687130567,0.0664638091797155
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.166193298521625,0.0112032249665231,0.0365554503306016,0.000539611179854201,0.000201855128296305,0.083968416112634,0.0169727717878829,0.0248096294021703,0.0111177523371507,0.00497028100915459,0.180319234517626,0.024503673498853,0,0.190056395690026,0.0127925137495518,0.0509469405487966
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0300511943794888,0.0362021889656698,0.179522007399302,0.0591508852822573,0.00295234328403126,0.018700172416263,0.0082612604012366,0.0217968265048011,0.113422967529434,0.0572757869488529,0.063045308491018,0.00618521587778433,0.0623069130068419,0.0184141816417988,0.21573627921113,0.0595349020893273
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.109199785138141,0.000496176869890255,0.125366495508549,0,0.0274938356634741,0.0789826185021959,0.0334080549768812,0.00784479072743575,0.042345051355938,0.0457013689006227,0.244120296539422,0.00037534844851008,0.000229721767115817,0.100506707359938,0.00666048701598582,0.0548487159182734
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.326212505314251,0.06197827973016,0.150052471411034,0.047954933381886,0.533116630845392,0.103005613924681,0.0855317257462501,0.501775403750902,0.121259715855283,0.0165530265771177,0.151541365611715,0.524478033584297,0.127107697985075,0.0207530037840188,0.110472240286107,0.192119509852545
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.560887239439738,0.0185270464292699,0.0500098221574874,0.158730668032632,0.0457541181002385,0.0339091526061328,0.0519638543574725,0.00488577121361127,0.158857529791097,0,0.123272525108253,0.114786335658724,0.00909347304065923,0.183012089038982,0.000903825104399531,0.100972896671913
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0.00163453326796833,0.000244684568215547,0,0.0109134224411706,0.0387226965307312,0.0687245508996938,0.000141024607864511,0.0382453257228301,0.114059849465469,0.254095783380041,0.111101169696257,0.00142655554449895,0.138503443268696,0,0.0518542026262291
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.508500165577354,0.199583037315665,0.3107986760769,0.241332967201669,0.371152515605392,0.209000711986817,0.19216062854476,0.145055726761142,0.174010559550805,0.194770120298776,0.167445428082031,0.133756516477153,0.239435475020614,0.0240596022771071,0.0638127341078437,0.211658324325602
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.179300110894962,0.033249586753531,0.0608148408083446,0.178495944906198,0.0187497327907873,0.00216176945869585,0.0704456138320508,0.000419597864948977,0.166092689346539,0.077976071593874,0.125395495401143,0.03260109322794,0.202489667753481,0.017634737149146,0.125879390600605,0.0861137561588164
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.123374221216463,0.219437960624936,0.582890797562625,0.0671973484303409,0.0005190560441905,0.181014943790563,0.0424035205733139,0.207243179569337,0.151912157241366,0.0536669266335523,0.0181337360690109,0.44645993501553,0.208240401240658,0.0517676960685217,0.410125055593796,0.18429246237828
