"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxyisobutyrate",0,0,0.000324090945823626,0,0.0745481902651361,0.0390845366582333,0.0169316270642485,0.0629281155611761,0,0,0,0.0184992999423982,0.0470916812025627,0,0,0.0172938361093052
"m__-_2-Hydroxyoctanoate",0,0.00958383501644892,0.0268125275366516,0,0,0.205044409753997,0.000802551369971402,0.0174345855082303,0,0,0,0,0.00614155496934696,0,0,0.0177212976103097
"m__-_2-Hydroxypentanoate",0,0.0284914964311074,0.00651963984715674,0,0.00438696699048933,0.00161274484241266,0.00619415257248407,0.00405203344859512,0,0,0,0.114007793365518,0.00738800148199378,0,0,0.0115101885986505
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0.0707991737094256,0.000779384864259072,0,0,0,0,0.0411215479282111,5.20152503975291e-06,0,0,0.00751368720179571
"m__-_4-Oxopentanoate",0,0,0,0,0,0,5.15071034531643e-07,0,0,0,0,0,0,0,0,3.43380689687762e-08
"m__-_Cysteine-glutathione disulphide",0,0,0.000223285916365751,0,0,0,0.0231976394974427,0,0,0,0,0.0115579858286885,0.00544259290697183,0,0,0.00269476694329792
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0.0104926980275432,0,0,0,0.185217639348566,0,0,0,0,0,0.000638155094619109,0,0,0.0130898994980486
"m__-_gamma-Glu-2AB",0,0,0.000178335442760709,0,0,0,0.000324933183361163,0.00180720833452232,0,0,0,0.00111027207877166,0.00106327097534199,0,0,0.000298934667650523
"m__-_N-Acetylvaline",0,0,0.0147466024501905,0,0.0567413701379391,0.0704718536362168,0.0549865966436069,0.00192422815116978,0,0,0,0.0177070303200885,0.0120497314998198,0,0,0.0152418275226021
"m__-_N1,N8-Diacetylspermidine",0,0,0.00215722499591464,0,0.0193204870744391,0.0109853582386822,0.128971704625326,0,0,0.102387813951078,0,0.0715614182734083,0.0176255595488512,0,0,0.0235339711138466
"m__-_Ophthalmate",0,0,0.00269786049356363,0,0,0,0.000411688467079148,0,0,0,0,0,0.000803039944970604,0,0,0.000260839260374226
"m__-_Phe-Phe",0,0,0,0,0,0,1.6214529573306e-08,0,0,0,0,0,4.32535521847085e-08,0,0,3.96453878386763e-09
"m__-_SDMA",0,0,0,0,0.00374396170083207,0.0325324325779189,0.00363266945520364,0,0,0,0,0.00171756776382056,0.000313809473822512,0,0,0.00279602939810651
"m__C00002_ATP",0,0,0,0,0,0,1.0213019980727e-09,0,0,0,0,0,0,0,0,6.80867998715135e-11
"m__C00003_NAD+",0,0,0.00175529076268214,0,0.00559211517913695,0.0723810356892932,0.030487387105351,0.00483838789813469,0,0,0,0,0.0017813584575255,0,0,0.0077890383394749
"m__C00008_ADP",0,0,0,0,0,0,0.0654677437719226,0,0,0,0,0,5.47365806583763e-06,0,0,0.00436488116199923
"m__C00015_UDP",0,0,0,0,0.0303838368109623,0,0.000115416574766828,0.00181116100177008,0,0,0,0.00154196406688634,0,0,0,0.00225682523029237
"m__C00016_FAD",0,0,0.000167279003412844,0,0,0,0,0,0,0,0,0,0,0,0,1.11519335608563e-05
