"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___Diazoxide",0,0,0,0,0,0,0,0,0.000411179020587901,0,0,0,0,0,0,2.74119347058601e-05
"m__-_2-Hydroxyisobutyrate",0.0359202011142511,0,0.0702437386680922,0.0234374623765024,0.0652757972457356,0.0994503746008795,0.0193158437354823,0,0.0389522278526614,0,0,0,0,0,0,0.023506376372907
"m__-_2-Hydroxyoctanoate",0.112682913035133,0,0.022651708123513,0.108988335056649,0.107279601461358,0.309012691154995,0.032712071939994,0,0.025878179712657,0,0.0031266723618449,0.0129939683169612,0.0167061731236738,0,0,0.0501354876191185
"m__-_2-Hydroxypentanoate",0.0340483210355861,0,0.0224655127130273,0.0734058149585799,0.0505704985102053,0.0704293049450719,0.000424205479818819,0,0.0894147924967187,0,0,0.176191057560008,0.00357445604304062,0,0,0.0347015975828038
"m__-_3-Indoxyl sulfate",0.00758161918804686,0,0,0,0.00145968894397024,0,0.0100373301358446,0,0.000842511495781209,0,0,0.0136954654921078,0.00982977221381005,0,0,0.00289642583130405
"m__-_4-Oxohexanoate",0,0,0,0,0.0082044347802253,0,5.75888315156808e-08,0,0,0,0,0,0,0,0,0.000546966157937121
"m__-_4-Oxopentanoate",0,0,0.00559995731133704,0,0,0,0,0,1.0367772614632e-05,0,0,0,0,0,0,0.000374021672263445
"m__-_Cysteine-glutathione disulphide",0.00592542260151618,0,0.0255408609763001,0.00331332501356061,0,0.0419966350636118,0.0314963336656107,0,0.00234834879902553,0,0,0,0.0208425424173041,0,0,0.00876423123579526
"m__-_Cysteine-glutathione disulphide -Divalent",0.064718913369673,0,0.0255146613908775,0.0401264622289743,0,0,2.23392590970457e-06,0,0.0449766182027933,0,0,0.0178787952751752,0,0,0,0.0128811789595602
"m__-_gamma-Glu-2AB",0.00152815234933585,0,0.0411598869564486,0.0377169359858176,0.00513393252269239,0.0303083190484895,0.00687180465126051,0,0.0349849367869705,0,0,0,0,0,0,0.0105135978867343
"m__-_N-Acetylvaline",0.0480490098970103,0.386969017494698,0.0411404441356404,0.0512087809440604,0.0729520015868683,0.0265009185669151,0.0383128617018048,0,0.0594813624465674,0.0862258997269466,0.308715183570443,0.627476389157992,0.0939157802471482,0,0.532290838984326,0.158215899230695
"m__-_N1,N8-Diacetylspermidine",0.0245735984101147,0.025058301863174,0.0120861214701789,0.0196231958633621,0.0762525852991695,0.0210315332582361,0.0527589370548398,0.554938825222959,0.00548227391012855,0,0.00214928245814207,0.00275585825939464,0.0384029780182669,0.297720986173767,0.010479937351528,0.0762209609742175
"m__-_Ophthalmate",0.00184674100663327,0,0.0066156860529733,0.301583878038378,0,0,0.00168933491807067,0,8.96662706428829e-06,0,0,0,0.00815401738400142,0,0,0.0213265749351414
"m__-_Phe-Phe",0.0957722236349458,0,0,0,0,0.0058655951433121,0.00142396412338307,0,0.0664916588377742,0,0,0,0.0147990090981019,0,0,0.0122901633891678
"m__-_SDMA",0.0383424616198726,0.133408776540425,0.0376582111670036,0.0402997028353009,0.0166776812075588,0.0465805906261344,0.000869935244579872,0.205354213870141,0.0340930225118665,0,0,0.18177474771395,0.0710742618924776,0,0,0.0537422403486207
"m__-_Xanthopterin",0,0,0,0.138763137905117,0,0,0.0050908423785534,0,0,0,0,0,0.0239087991947168,0,0,0.0111841852985591
"m__C00002_ATP",0,0,0,0,0,0,0,0,3.45207060656151e-08,0,0,0,0,0,0,2.30138040437434e-09
"m__C00003_NAD+",0.0326736877854507,0.00540467603736191,0.0783261933592471,0.0347588554774938,0.0272016326000087,0.0406906386263036,5.0357023732803e-07,0,0.026326242591171,0,0,0.015976028411003,0.0569529204314794,0.00646617229806393,0,0.0216518367458547
"m__C00006_NADP+",0,0,0,0.00223455816770381,0,0,0,0,0,0,0,0,0,0,0,0.000148970544513587
"m__C00008_ADP",0.0379310117465735,0,0,0,0.00238887005509785,0,0,0,0.000266477944965093,0,0,0,0,0,0,0.00270575731644243
"m__C00015_UDP",0.004756352866435,0,0,0.00148200402224187,0.00218742540475956,0.00539153179537443,0,0,5.09222733439349e-07,0,0,0,0.00234561192749667,0,0,0.0010775623492694
"m__C00019_SAM+",0.0114425389188899,0,0.016961145310348,0.15679024773102,0.010435628218776,0.103533858399372,0.0129816017947646,0,0.00946198978616135,0,0,0.00311447706534516,0.0757989504027433,0,0,0.0267013625084947
"m__C00020_AMP",0,0,0.0308137875256785,0.0172801714462775,0.00154434927218689,0.0333723298181681,0.010345006472405,0.00804094122011321,0.00127779130638993,0.00376509975105898,0.140682989146972,0,0.0181380172086651,0,0,0.0176840322111943
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,6.1254819243538e-06,0,0,0,0,0,0,4.08365461623587e-07
"m__C00024_Acetyl CoA",0.00190534833973713,0,0,0.00128357804017094,0,0,5.19163487097849e-09,0,0,0,0,0,0,0,0,0.000212595438102863
"m__C00025_Glu",0.143653963296171,0.599927060684794,0,0.649193839665788,0.0916562074589093,0.0507543390172767,0.00399400062331186,0.0123858514648308,0.0334725047676729,0,0.00189672607081758,0.0149840410747511,0.138024130540191,0.0116363269168038,0,0.116771932772088
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0.00869304155302132,0,0,0,0,0,0,0.000579536103534755
"m__C00029_UDP-glucose",1,0,0,1,1,0.614874509092109,0.0937991558443074,0,0.0404243066161092,0.975607790365293,0.023336546698003,0,0.012743533522708,0,0,0.317385722809235
"m__C00037_Gly",0.0924286964782846,0.011680009377912,0.127666241121885,0.0449062614779197,0,0.0218700037423992,0.0339973375011964,0,0.00019573987174423,0,0,0,0.00306274856158884,0.0527233452033665,0.0212646591481071,0.0273196694989602
"m__C00041_Ala",0.00863541131606416,0.018480705992617,0,0.00319611978922267,0.009081717076729,0.121014821860252,0.000187921568997939,0,0.0018342787244594,0.00817508610759662,0,0.0127757404664974,0.00334396019672799,0,0,0.012448384206611
"m__C00042_Succinate",0.100775759792607,0.138234270024208,0.108578216150628,0.147609585759492,0.120395408731373,0.0801224153209671,0.017511460942625,0,0.00164984569705946,0,0.00134920311100469,0.0830440873783389,0.030351786293627,0.00311616072306684,0.180638557506394,0.0675584504954261
"m__C00043_UDP-N-acetylglucosamine",0.0162582332285849,0,0,0.278114832112135,0.00313183017375323,0.0326026394549685,0.00930513494001499,0,0.121250967577021,0,0.000644212744130525,0.185002594086138,0.00954532431756202,0,0,0.0437237179089539
"m__C00044_GTP",0,0,0,0.197485584584435,0,0,0,0,0,0,0,0,0,0,0,0.0131657056389623
"m__C00047_Lys",0.0340061200314852,0,0.0766166452507699,0.350412967255209,0.00820339534292116,0.162371458965876,0.00261898078005029,0.0109135939264162,0.223343734921893,0.526305333992701,0.070905200582222,0.0227815968315513,0,0,0.0421162479267312,0.102039685053855
"m__C00049_Asp",0.0106707607855101,0.126209971369131,0.04947979006696,0.325647823037626,0.00482273034715814,0.191981435998399,0.0150463121298356,0,6.14114660247895e-05,0.00270418831713436,0.0942891072812405,0.0401468507064085,0.0049712585538042,0.230136270360544,0.00709519774758962,0.0735508738778244
"m__C00051_Glutathione(red)",0,0,0,0,0,0,0,0,7.32551100478218e-05,0,0,0,0,0,0,4.88367400318812e-06
"m__C00055_CMP",0.0184676442102849,0,0,0,0,0,0.00125605511290816,0,3.25229080533402e-09,0,0,0,0.00697903076183041,0,0,0.00178018222248762
"m__C00062_Arg",0.0251303982378518,0,0.0421693257848112,0.0149321311746143,0.033539510109362,0.111540907078665,0.0414858225732275,0,0.0115900248503716,0.09279828218005,0,0,0.068824592241309,0.00827717008780694,0.0546662246169677,0.0336636259290025
"m__C00064_Gln",0.0231199512173141,0,0.0107869231104005,0.0848276995039366,0.000688054171203015,0.0707702123073496,0.0196222572527121,0.384699279478293,0.0100139332780613,0.0270857834535144,0.00100365878198799,0.0293141883985116,0.011749623554426,0.0376130660188834,0.0157745969082524,0.0484712818289897
"m__C00065_Ser",0.255302209081307,0.392263182866499,0.00427011728960626,0.660481916700857,0.00528432136771177,0.00939780766214657,0.0692538875283934,0.347321940989126,0.0900545873138199,0.00377814208590875,0.181330867271416,0.285115623473905,0.131368915002373,0.231489188512418,0.291876928163209,0.19723930902058
"m__C00073_Met",0.0329661506605552,0,0,0.00235414881355236,0.080113037602327,0.285092630503119,0.00964638359475858,0,0.13593390819415,0.0811773849861799,0,0,0.00421698336543548,0,0,0.0421000418480051
"m__C00074_PEP",0,0,0,0,0,0,0,0,1.63867884243173e-08,0,0,0,0,0,0,1.09245256162116e-09
"m__C00077_Ornithine",0.3472368959778,0,0,0.026550770094633,0.137860944380807,0,0.0124835140431929,0.0121408149340585,3.67348790569028e-06,0.0151320244859013,0.335454276941063,0,0.00489462422545958,0.0967292739036514,0.0732664315259444,0.0707835496000278
"m__C00078_Trp",0,0,0.0377404804371061,0.00130412482866443,0.00157173627036262,0.00804698510137093,0.000160283877007088,0.0164034955998471,0.00123245784018736,0.00639493812647676,0,0,0.0207233074288295,0,0,0.00623852063399013
"m__C00079_Phe",0,0,0,0.000583972888133251,0,0,0.000865652620069241,0,0.00202137971470708,0.0166348579991253,0,0.026240053118021,0.093428872525356,0.000956812720252628,0,0.00938210677237764
"m__C00082_Tyr",0,0,0,0,0.00949657356853512,0.00372649782904107,1.91524292784698e-06,0,0.000306058659054956,0,0,0,0.00267774268991081,0,0,0.00108058586596465
"m__C00085_F6P",0,0,0,0,0,0,0.000162570799225296,0,0.000275164053100041,0,0,0,0,0,0,2.91823234883558e-05
"m__C00086_Urea",0.027566921140264,0,0.0234020877882692,0.124132714145754,0.000762414785435337,0.00481367433808007,0.0440616179962041,0.110808933955225,0.323332926494584,0,0,0.068049973643682,0.124079203174091,0.221743943365154,0,0.0715169607217829
"m__C00092_G6P",0,0,0,0,0,0,0.112480384352304,0,4.74369368881414e-06,0,0,0,0,0,0,0.00749900853639954
"m__C00093_Glycerophosphate",0.0388337738633346,0,0,0.0165506922048165,0,0,0,0,0,0,0,0,0,0.116756670848614,0,0.011476075794451
"m__C00099_beta-Ala",0,0.0946526687676159,0.0061956169905083,0.057298109155332,0.0272914837019086,0.232724567155374,0.0355888721323569,0.151625566702141,0.00738049848076265,0.0631796781349607,0.0029299854564553,0.00281366171475389,0.0491401685595741,0.0188679300461262,0.212348398312782,0.0641358136873768
"m__C00105_UMP",0.0121724510117522,0,0.00378172753860229,0.00743274722726936,0.20248574159685,0.0620775297999654,0.00160010298069134,0,0.00016807936163158,0,0.00189157980605062,0.00558774636421926,0,0.223736912137496,0,0.0347289745216352
"m__C00106_Uracil",0,0,0,0.179327053128578,0,0.0114238007950439,5.58421730990447e-05,0,1.01287372582846e-09,0,0.00184610456219454,0,0.01553413365383,0,0,0.0138791290217079
