"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0.00122243400995964,0.0186490437647902,0,0.00132476518498332
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0,0,0,0,0,0,0,0,0.00116294689626451,0,0,0,7.7529793084301e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0,0,0,0,0,0,0,0,0.245164373194653,0,0,0,0.0163442915463102
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,0,0,0,0,0,0.00377036857729175,0,0,0.00394833812362433,0,0.630080735132825,0,0.0425199627889161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0,0,0,0,1.53244659958839e-06,0,0,0,0,0,0,0,0,0,1.02163106639226e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0,0,0,0,0,0,0,0,0.00263556333666219,0,0,0,0.000175704222444146
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0.146244851806372,0,0,0,0,0,0,0,0,0.0204332462028718,0,0.0111118732006162
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0,0,0,0,0.387583804817194,0,0,0,0,0,0,0,0,0,0.0258389203211463
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,0,0,6.71333419449146e-07,0,0,0,0,0,0,0,0,0,4.47555612966097e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0.000142076137862535,0.0124367926792135,0,0,0,0,0.00286445603223544,0,0,0,0,0,0,0,0,0.0010295549899541
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",1.30665317050092e-06,0,0,0,0.15707781135695,0.00451631768815398,0,0,0,0,0,0,0,0,0,0.0107730290465516
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0.0145569762752751,0,0,0.103509774786655,0,0.031635355339702,0,0,0.00130135728202235,0,0,0,0,0.0100668975789103
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0.00132178479128245,0,0,0,0,0,0,0,0,0.0310530924448486,0,0,2.92426029741503e-05,0.00216027465594034
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0,0,0,0,0,0.00126258596134238,0,0,0,0,0,0.000206326871984736,0,0,0.0456318750900667,0.00314005252822625
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0,0,0,0,0,0,0,0,0,0,0.262078242101927,0,0,0,0.000125008034357437,0.0174802166757523
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",0.0773240802060235,0,0,0,0,0.0661114499410776,0,0,0.0505331322288484,0,0,0.0180788365988974,0,0,0,0.0141364999316565
