"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxypentanoate",3.33169414552449e-07,1.26856272062274e-07,0,0,0,0,0,0,0,0,0,4.20451335156548e-06,0,0,0,3.10969269212014e-07
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_4-Oxopentanoate",0,0,0,0,0,0,0,0,0,6.80557290335104e-06,0,4.55966301996496e-06,0,0,0,7.57682394887733e-07
"m__-_Cysteine-glutathione disulphide",0,2.38443305128154e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58962203418769e-08
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_gamma-Glu-2AB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N-Acetylvaline",0,1.150659878026e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67106585350664e-10
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_Ophthalmate",0,7.9405020951589e-08,0,0,0,0,0,9.01251874713501e-07,0,0,0,0,0,2.15116929464775e-07,0,7.97182550086577e-08
"m__-_Phe-Phe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_SDMA",2.74847584547163e-06,0,0,0,0,0,0,3.65808098442634e-06,0,3.89996404314876e-06,0,0,0,0,0,6.87101391536449e-07
"m__-_Xanthopterin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00003_NAD+",1.73287721493775e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15525147662517e-07
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00008_ADP",0,2.13500573459478e-07,3.02533415812827e-06,0,3.07259551643197e-08,0,1.07121031929399e-06,6.31834233814409e-07,0,3.87644755556262e-06,0,8.43109771842037e-06,0,0,0,1.15201003425623e-06
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00016_FAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00019_SAM+",1.44172647605122e-05,4.12148595973341e-07,1.55814799443234e-05,7.83095847100491e-06,0,7.52711454960384e-05,6.87416046065165e-06,7.26868606747395e-06,6.93456512993533e-07,1.03124797311396e-05,7.55595433408292e-06,2.48942224347933e-06,1.87371322233947e-05,1.70283988641266e-06,1.30340559125209e-06,1.13633689545822e-05
"m__C00020_AMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00021_SAH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",9.59994493269154e-06,3.46882098031858e-07,1.20316179864136e-05,1.20091688544359e-05,3.69168694350651e-06,0,8.34551813639812e-06,6.38457183733096e-06,0,7.98803814640294e-06,7.85745480575829e-06,7.59525712204999e-06,2.6494558751527e-05,5.99984521481947e-06,5.24320956662776e-06,7.57251695973293e-06
"m__C00025_Glu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00029_UDP-glucose",0,1.47963999401587e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86426662677250e-09
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00041_Ala",0,1.34741407378878e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98276049192518e-09
"m__C00042_Succinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00043_UDP-N-acetylglucosamine",2.66253638337471e-06,2.43861147484599e-07,0,0,0,0,0,1.89960730883467e-07,0,0,0,0,0,0,0,2.06423884116185e-07
"m__C00044_GTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00047_Lys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00051_Glutathione(red)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00062_Arg",1.06455891072335e-05,3.71879394458622e-07,1.45374319565811e-05,1.8261908192045e-05,0,0,8.07912619726823e-06,6.21532010387136e-07,1.89256354910328e-05,1.54903897154383e-06,7.36605818499882e-07,1.24462891067239e-05,2.05758293128998e-05,0,1.04866440622324e-06,7.18663533099314e-06
"m__C00063_CTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00064_Gln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00065_Ser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00073_Met",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00074_PEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00075_UTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00077_Ornithine",0,8.58723819145447e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72482546096965e-09
"m__C00078_Trp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00079_Phe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00081_ITP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00082_Tyr",0,3.13385413995263e-07,0,0,0,0,1.80044503227066e-06,0,0,0,0,0,0,0,0,1.40922029751061e-07
"m__C00083_Malonyl CoA",0,0,0,0,1.24880571492523e-06,0,0,0,0,5.59462136310081e-06,0,6.18496032904684e-06,0,0,0,8.68559160471525e-07
"m__C00085_F6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00086_Urea",2.62990343038941e-06,3.43447750373914e-08,0,1.4473188604604e-08,0,0,3.52886732635195e-07,0,0,0,0,0,0,0,0,2.0210720844444e-07
"m__C00091_Succinyl CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00092_G6P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00093_Glycerophosphate",0,1.44319423400204e-10,0,0,0,0,0,0,0,0,0,1.96996796990651e-06,0,0,0,1.3134081928866e-07
"m__C00096_GDP-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00097_Cys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00099_beta-Ala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00103_G1P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00106_Uracil",3.62472886007827e-06,1.4381952025972e-07,1.6339742210975e-06,1.85168504800455e-06,0,0,4.66385729974207e-06,8.56081033497693e-07,0,1.58746022104098e-06,1.3892779708126e-06,0,0,0,0,1.05005894496889e-06
"m__C00108_Anthranilate",0,8.83430531552133e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88953687701422e-08
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00111_DHAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00112_CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00114_Choline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00116_Glycerol",0,1.57720390888812e-07,2.95421950628057e-06,0,0,0,0,0,0,5.94607678881924e-07,0,1.76679510990674e-06,0,0,0,3.64889512397203e-07
"m__C00117_R5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00119_PRPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00120_Biotin",0,0,7.6684635301105e-06,0,0,0,0,0,7.18517957806774e-06,0,0,0,0,0,1.94633474723553e-06,1.11999852369425e-06
"m__C00122_Fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00123_Leu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,0,0,0,0,0,1.33454800111213e-05,0,0,0,8.89698667408087e-07
"m__C00128_CMP-N-acetylneuraminate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00130_IMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00131_dATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00134_Putrescine(1,4-Butanediamine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00135_His",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00140_N-Acetylglucosamine",5.9636959008276e-06,1.87259132605743e-07,0,0,0,0,4.68567326011372e-07,0,0,4.42960849956688e-07,0,2.64266057836621e-06,0,0,0,6.47009585851174e-07
"m__C00141_2-Oxoisopentanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00144_GMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00147_Adenine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00148_Pro",5.64909582262949e-06,1.71322206228944e-07,0,0,0,0,0,0,0,7.89616636577978e-06,0,4.19876035893377e-07,0,0,0,9.42430695368773e-07
"m__C00152_Asn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00153_Nicotinamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00155_Homocysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00156_p-Hydroxybenzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00158_Citrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00160_Glycolate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00163_Propionate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00166_Phenylpyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00167_UDP-glucuronate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00169_Carbamoylphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00170_5-Methylthioadenosine",0,2.80349859401295e-07,0,0,0,0,0,0,0,0,3.27557620731286e-06,0,0,0,0,2.37061737780944e-07
"m__C00178_Thymine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00179_Agmatine",8.72217094026255e-06,2.69640749697435e-07,1.8349911299139e-05,2.40118443876104e-05,0,0,4.0697855522554e-06,1.64171399371221e-05,3.01420730752832e-05,9.05235689598891e-06,5.54856075754492e-06,2.83227932877053e-07,0,1.59572610537536e-06,2.92545873088681e-06,8.09252642426954e-06
"m__C00180_Benzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00183_Val",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00186_Lactate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00188_Thr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00191_Glucuronate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00197_3PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00199_Ru5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00206_dADP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00212_Adenosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00213_Sarcosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00214_Thymidine",2.53240910732639e-06,1.66852855621876e-07,3.71309172002001e-06,1.00673234964024e-05,1.28328888370707e-06,0,0,2.96409463078214e-06,0,4.64183885340518e-06,0,4.16829327478731e-06,2.64773985524356e-05,1.09235415832023e-07,0,3.741588452688e-06
"m__C00224_Adenosine 5'-phosphosulfate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00233_4-Methyl-2-oxopentanoate",0,1.73561271109244e-08,0,0,0,0,0,0,0,2.95148113548153e-06,0,0,0,0,0,1.9792248417283e-07
"m__C00239_dCMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00242_Guanine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00245_Taurine",3.54740125729079e-06,8.76023586471051e-08,2.60750043238058e-06,0,2.73921494901676e-07,4.678235883895e-06,0,0,1.86779523294539e-06,1.89696079328619e-06,0,0,0,2.59394900583178e-08,2.65573650534035e-07,1.01672870626261e-06
"m__C00246_Butyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00250_Pyridoxal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00253_Nicotinate",2.5277610379613e-06,2.1583127369171e-07,5.1411669818056e-06,6.41401296629768e-06,2.24402805298478e-07,1.69144336102082e-05,1.05022601379997e-06,1.97640861663476e-06,1.17518586892373e-05,3.36161442721691e-06,0,5.01314514844913e-06,2.52794569580321e-05,7.01962125567412e-07,2.81513432687645e-06,5.55916099873846e-06
"m__C00255_Riboflavin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00257_Gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00258_Glycerate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00262_Hypoxanthine",0,2.1272882619037e-07,0,0,0,0,9.09017928184592e-07,0,0,0,0,0,0,0,0,7.47831169583308e-08
"m__C00263_Homoserine",0,2.85280964545453e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90187309696969e-09
"m__C00270_N-Acetylneuraminate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00286_dGTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00292_Aniline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00294_Inosine",0,1.14621486443217e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64143242954778e-09
"m__C00295_Orotate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00296_Quinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00299_Uridine",0,6.67342404849974e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44894936566649e-09
