"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0.0311981486843263,0,0.0151966015746202,0,0,0,0,0,0,0,0,0,0,0,0.00309298335059643
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0.0479073319334504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319382212889669
"m__-_2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxypentanoate",0.102526953378237,0.100335414572784,0.0517745126281311,0.0199410139002671,0.0119586720003864,0.0550039995460777,0.0990573269777489,0,0.184392573395957,0.0144636680140333,0.0222110987503056,0.170168769132392,0.0377565621195095,0,0.0683836147487477,0.0625316119443052
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_4-Oxohexanoate",0.252282006600798,0,0,0,0.0507287152802752,0,0.152516879239351,0,0,0.170687781209462,0,0.0103012043026263,0,0,0,0.0424344391088341
"m__-_4-Oxopentanoate",0.395223260850123,0.207141282404446,0.344504110571574,0.144850915335795,0.0607415682440873,0.752720383521195,0.463681232381948,0.123433881092361,0,0.439770450765363,0.155161156769733,0.359270659631985,0.094881751534712,0.488217252972408,0.31800089755564,0.289839920242091
"m__-_Cysteine-glutathione disulphide",0.0881184046118553,0.295128078530245,0,0,0.0220333885981536,0,0.181972805255242,0,0,0.110651521428001,0.086628828780687,0,0,0,0.0109460825336817,0.053031940649191
"m__-_Cysteine-glutathione disulphide -Divalent",0.0293577119560205,0,0,0,0,0,0,0,0,0,0,0.224587049695166,0,0,0,0.0169296507767458
"m__-_gamma-Glu-2AB",0.164426000198897,0.027669551144774,0,0.0995779709009341,0.0157713359216843,0,0.253968310503781,0,0.0457585360426664,0.0937048689342389,0.0261282282916016,0,0,0,0,0.0484669867959051
"m__-_N-Acetylvaline",0,0.0394629655988333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263086437325556
