"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0,0,0.018388217603263,0,0.00334936719843478,0,0,0.022573824033407,0,0,0.014400423653579,0,0,0.0281855665270406,0,0.00579315993438163
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0,0,0,0,0,0,0,0,0.00985993348566563,0,0.039826970506999,0,0,0.0124016492718979,0.0742531352754805,0.00908944590266953
"m__-_2-Hydroxyoctanoate",0.030395035886387,0,0,0,0.127973738373529,0.0155854160909675,0,0.0189339618741742,0,0.011328549333776,0.0813682405754697,0,0,0,0.0726295133916328,0.0238809637017291
"m__-_2-Hydroxypentanoate",0.0753179324663561,0.165704435502476,0.138953478927552,0,0.439123870493358,0.0913420370735935,0.139303418123973,0,0.0427752751375367,0,0.0444345473757879,0.105405607528908,0.0476314912447107,0.0706769721389103,0,0.0907112710675441
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0,0,0,0,0,0,0,0,0,0.050051590692865,0,0,0,0,0,0.00333677271285767
"m__-_4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_4-Oxopentanoate",0,0,0.0170832473217411,0,0,0,0,0.0214025026023931,0,0.0317199381345729,0.030344358481523,0,0,0,0,0.00670333643601534
"m__-_Cysteine-glutathione disulphide",0,0.0249197263821465,0,0,0.159560131814323,0,0.0346589646410689,0.0224402511101324,0,0,0,0.0510727622958806,0,0.0269133013713061,0.0282940374336004,0.0231906116698972
"m__-_Cysteine-glutathione disulphide -Divalent",0,0,0,0,0,0,0.0129264015365598,0,0.0185508321578235,0.101268577290994,0,0,0,0,0,0.00884972073235852
"m__-_gamma-Glu-2AB",0,0,0.0167352552466685,0,0.0247981994499498,0,0,0,0,0,0.127709257620489,0.0242250534673704,0,0.0376199019895639,0,0.0154058445182694
"m__-_N-Acetylvaline",0.264135635731823,0.388793833941955,0.080957609344233,0.033342675786927,0.0614050653046374,0.0340851967984338,0.0291601075827147,0.0561942488486401,0,0.0808663588860494,0.280197921978586,0.116599283321531,0,0,0.117348542351338,0.102872431991791
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0,0,0.0997887001458172,0,0.171020719071593,0,0.0204070477031446,0.188382180591729,0,0.0148099513523574,0.177689364639745,0.177515991098154,0.0232646363781914,0,0.114892016570983,0.0658513738367811
"m__-_Ophthalmate",0,0,0.032122345391308,0.00874303674904029,0,0.0285980015891404,0.0690177510612746,0.338601704123979,0,0,0.335867395634606,0,0,0.177463261161177,0,0.0660275663807017
"m__-_Phe-Phe",0,0.0230858928045006,0,0,0,0.0170022720992373,0.0432324630724086,0,0,0,0.0536132295286524,0,0,0,0.119294470701726,0.0170818885471017
"m__-_SDMA",0.147291357393161,0.00450718714083846,0,0.142751109836088,0.176818676684036,0.025605215533732,0,0.13561891200806,0.19457489469555,0.161253128803762,0.144253460714348,0,0.0885632279610715,0,0.286589367889668,0.100521769244021
"m__-_Xanthopterin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00003_NAD+",0.180231294516892,0.197218430036477,0.0158178215942047,0.115210848133663,0.298292084547175,0.0795174290355485,0.245089423739175,0.2707697406726,0.0706611660454812,0,0.205051177863933,0.316531141901403,0.0127416966830558,0.46126345271654,0.206435238602056,0.178322063072547
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0.0156924778169911,0,0,0,0.0528199057040518,0,0,0,0,0.0161836419053943,0,0,0,0,0,0.00564640169509582
"m__C00008_ADP",0.0387248131808225,0.0181539482061551,0.0741696897718689,0.0341912450104132,0,0.0890718130692305,0.184062987407546,0.0843846942787269,0.0265065744354907,0,0,0.304795309990232,0.105261219370645,0.157790139937529,0.118454333105635,0.082371117850953
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0,0.113427264849611,0,0,0.184215195913912,0,0,0,0,0,0.0958797438131457,0.0467197459727858,0,0,0,0.0293494633699637
"m__C00016_FAD",0,0,0,0,0,0,0,0.0226647918001199,0,0,0,0,0,0,0,0.00151098612000799
"m__C00019_SAM+",0.641790331709458,0.372899912166248,0.602967233593357,0.304733242036155,0.364708872718453,0.14395646290177,0.402973669887808,0.521936158866151,0,0.557245033491991,0.0448053418203738,0.380369565902174,0.214145175142631,0,0.46363074050171,0.334410782715885
"m__C00020_AMP",0.347146922999176,0.0252858564300017,0.286125402135889,0.0730653932375061,0.193381346591252,0.104305441824363,0.264856367184219,0.236488896349979,0,0.15375941517674,0.184497589870029,0.429594899065169,0.153848500129696,0.24034934538324,0.481624682198901,0.211622003905077
"m__C00021_SAH",0,0,0,0,0.0293069629863042,0,0,0,0,0,0,0,0,0,0,0.00195379753242028
"m__C00022_Pyruvate",0,0,0.0172210154453035,0,0,0,0,0,0,0,0,0,0,0,0,0.00114806769635357
"m__C00024_Acetyl CoA",0.202088787851248,0.436025160361516,0.241587853528714,0.130524638454741,0,0.10819761677161,0.212453947165713,0.427990820929055,0.0778882256636052,0.206907915419757,0.219908725933136,0.421287570718702,0.111272919906061,0.274088661607037,0.234053765581292,0.220285107326146
"m__C00025_Glu",0.0460900566006747,0,0.125748680189754,0.0178882915071781,0.166882806215718,0,0.0504378735844767,0,0.0288394630042284,0.054377036802125,0.149421843087401,0,0,0.0631532849996504,0.12922709292311,0.0554710952609544
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00029_UDP-glucose",0.118808201599126,0,0,0,0.0675688313295348,0,0,0.134387392318955,0.0291207463146827,0.0432544610925994,0.00943270354113136,0.0956258597137398,0.0132486607420633,0.0675200904803329,0.0219050612389165,0.0400581338914054
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0,0.11886710177712,0.110632278006057,0,0.401724365973608,0,0,0.0126226412494495,0,0,0.0810670361393629,0.132484529504882,0,0.0671756002227802,0.0281250168993496,0.0635132379848406
