"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___3-Aminopyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m___Diazoxide",0.0197481839298546,0.0645172226099542,0.00837467983849003,0.023265149593415,0.035684880946586,0.0254317376820086,0.0554743760064335,0.0211397039284164,0.0331397773080114,0.0344345507906857,0.0245021264331753,0.0777222823252476,0.0367142719514101,0.0091830134923076,0.0143714274868143,0.0322468922881873
"m___Diethyl-2-phenylacetamide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_2-Hydroxyisobutyrate",0.0573143179153596,0.0300950414328239,0.0577553578942363,0.0255160614910918,0.0404953731195181,0.0595856469820316,0.193219177939118,0.0717566945395822,0.119557629104927,0.103727810744369,0.178998277391936,0.245368466352078,0.00673275086720429,0.0315722965002754,0.0191478960764865,0.0827228532234025
"m__-_2-Hydroxyoctanoate",0.0460608190161969,0.0473708017546524,0.0728212929184389,0.0134798564435651,0.0259970542397339,0.0408554538120833,0.114270595394702,0.0463299307211056,0.105896303717958,0.025503612287677,0.0867623898797926,0.145116695329003,0.0177605057975269,0.0462352875642909,0.00615197948558365,0.0560408385574874
"m__-_2-Hydroxypentanoate",0.18084878711276,0.125367814089678,0.153260584438032,0.121975427400687,0.215185612719591,0.0618696019770221,0.304558408840661,0.0650120805231259,0.301391044071137,0.202426418822808,0.643009835986031,0.2290610566628,0.0851603014431943,0.151617314133314,0.170490384354661,0.2007489781717
"m__-_2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_3-Indoxyl sulfate",0.00394569473211081,0.0353843349243849,0.0520949455434738,0.0352847853085926,0.0147394317041147,0.0466514951111133,0.0326842419463306,0.0254969778149051,0.00289513965525228,0.042776569996643,0.0773150364461907,0.0726969230632159,0.0393936078646636,0.0389159482121112,0.00361752179301961,0.0349261769410748
"m__-_4-Oxohexanoate",0,0,0.00417646371166256,0,0.00363109412639358,0,0.0135554053146412,0,0,0.00830566117095649,0.00437967677490378,0.0024949841154711,0,0.00428951965118572,0,0.00272218699101429
"m__-_4-Oxopentanoate",0.0218024756411819,0.0109000465148702,0.0446280204032069,0.0135366376417267,0.0380544595334684,0.0188835516457837,0.0252418658297401,0.029481699627891,0.0127126324605629,0.0644413105832102,0.105346691560384,0.0525893601772031,0.0329152897289713,0.0493371616734428,0.031022451220493,0.0367262436161424
"m__-_Cysteine-glutathione disulphide",0.0465411792736922,0.0162615182935203,0.00807698249951885,0.0164322263870878,0.0737072625433682,0.0135293345966565,0.0452602133051829,0.0416547873531557,0.062851286191045,0.0310467666315237,0.185536553691116,0.0430515580396668,0.0146750275454235,0.0110751493270889,0.0174181489562309,0.0418078663089518
"m__-_Cysteine-glutathione disulphide -Divalent",0.0226064702556465,0.0191807205513576,0.0100682607334722,0.0120368292294727,0.00778568344165405,0.00205546227092407,0.134282467332497,0.0186580680496867,0.0159309272035046,0.00600966207174959,0.0910103662742642,0.118586967253986,0.0391806420593811,0.0204388271167998,0.0208522261116111,0.0359122386637338
"m__-_gamma-Glu-2AB",0.0294774361148192,0.0269928614614387,0.0345630422082863,0.0267314442172289,0.00762427982428653,0.0182554278627249,0.0540671356503022,0.0301093438029483,0.0131380659862156,0.0353974660527969,0.134077777974707,0.0459444449651058,0.0142184969923392,0.0464217733523626,0.0202846531058328,0.0358202433047596
"m__-_N-Acetylvaline",0.0210848062247172,0.189781291213367,0.0946061749065763,0.0866227803053733,0.0399050393396628,0.0457565603375234,0.326886602551832,0.0478737363178692,0.0634968259244991,0.127381314134356,0.249960327812149,0.197323459363769,0.0103277303914284,0.0419644120833352,0.0271536140012864,0.104674978327183
"m__-_n-Butyl a-Picolinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__-_N1,N8-Diacetylspermidine",0.0530142430849311,0.24112557938169,0.231955117557888,0.141530811246368,0.162116933400913,0.171363919702597,0.39570509115474,0.268379655924666,0.216759928161446,0.198676399805286,0.567940086856167,0.323217472037157,0.119379944688927,0.254947796599577,0.156966058288307,0.233538602526044
"m__-_Ophthalmate",0.0572691689342465,0.0590293827833272,0.0871121197685013,0.212654150944293,0.130528966976175,0.0553876553332378,0.168183385545867,0.153424036844963,0.159046959092793,0.237658144813778,0.151489753202991,0.101171105459861,0.0497798912971049,0.293975837371973,0.0364487312090486,0.130210619305211
"m__-_Phe-Phe",0,0.00174514544912372,0.023430611322595,0.0280420234444084,0.0162617485937521,0.0151758495286567,0.0572183945056659,0.0047706553146196,0.00785823620711332,0.0130857425170558,0.0290060369284569,0.106196633279372,0.0158512862806665,0.0440804310332986,0.00593865747111649,0.0245774301250601
"m__-_SDMA",0.353791948678239,0.0779318057082352,0.291259522888339,0.222730344455403,0.232021891652591,0.464795788893317,0.24339012879084,0.308551569109053,0.379691555904033,0.529976413173674,0.490683238524277,0.246976853118097,0.106739241508798,0.236192696383394,0.112282024744583,0.286467668235525
"m__-_Xanthopterin",0.00401351136031897,0.00401023126974824,0.013488614871463,0,0.00269634058585421,0.00328766467268256,0.0650567202967814,0,0.0214906949932054,0,0.0120785349556089,0.0189898238425594,0.0067565360588293,0,0.00283646595134492,0.0103136759238931
"m__C00002_ATP",0.00398363410453496,0,0,0.00440272674976138,0,0,0.015383015539931,0,0,0,0,0.0161876563520671,0.00344632011905621,0,0,0.00289355685769004
"m__C00003_NAD+",0.416395974787378,0.208717428069752,0.373112652814824,0.19893098002494,0.215057677900081,0.258588738287053,0.62204322451817,0.202388840936995,0.474271555570246,0.263948213387061,0.355840109370145,0.496067295641896,0.139525242959393,0.435060505471489,0.393458246380725,0.336893779074676
"m__C00004_NADH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00005_NADPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00006_NADP+",0.00396284992659825,0,0.00498328056505192,0.00457883581975184,0,0.011263121877978,0.0535643007544855,0.00401425671238781,0.00289513965525228,0.00563643042729356,0.0170711362394238,0.00681541368596302,0,0.0131002643086766,0.00329613039405299,0.00874541069112771
"m__C00008_ADP",0.0733539950516159,0.0864955796598163,0.238569454741235,0.105525134410242,0.214924811808442,0.0755012625359651,0.524140251660466,0.301027027366645,0.241053094086077,0.18114901253499,0.437283136237746,0.598289548537772,0.139248025786435,0.1508127110985,0.0462824162864758,0.227577030786828
"m__C00010_CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00015_UDP",0.041378717763251,0.028061179649836,0.0128254240034389,0.0127352365464427,0.0361983208689014,0.0152256079248561,0.154197211032678,0.0926185528136167,0.0144417202307007,0.0500906362546112,0.162737852537384,0.125767535089004,0.0138884491618402,0.0207777450486869,0.0252448471220969,0.0537459357364896
