"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.127247668935454,0.0800487965716823,0,0,0.00871151792494131,0.0535198877538224,0.0119080600516578,0.0419474458195777,0.237340260820343,0.097410732938785,0.059646811058036,0.070713429365573,0,0.0636655553557986,0.0723055692950945,0.0616310490593844
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0.013664182602436,0,0.0348460716997652,0,0.0276380704116727,0,0.0366377706714637,0.2073473415678,0.0410366006358487,0,0,0,0.0643661512392262,0.0283690792552142
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0400110853550128,0.153902185168002,0,0.0155121290246862,0,0,0,0.0151054372815125,0,0,0.117789879154261,0.0392744849046099,0.0341693911363659,0,0.330284926787503,0.0497366345874636
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0.138272283356302,0,0,0,0.0742608078855602,0,0.184916373586023,0.039312909482396,0.138467393925277,0.100145297831509,0.0219826676226563,0,0.0268772948474834,0,0.0482823352358138
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.0163701621800066,0.0397629961697739,0,0.0183696264766021,0,0.127170968131442,0,0.106141167947894,0.118138137356821,0.0643287039532569,0.113092757099159,0,0.0533835455040042,0.0546183249989933,0.0621177688763795,0.0515662772462888
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0164410286829503,0.040814579539553,0.0127532370956069,0.0299162488333233,0.0111103417013744,0.0594870294085576,0.0549352220510103,0.234548171663278,0,0.246547250032778,0.0295769311031584,0,0,0.0117157439078774,0.082757743002071,0.0553735684681026
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0.0750268006241783,0.0579055493489544,0.0161584677340481,0.0111851588172086,0.10037148804714,0.0108609720126327,0,0,0.0157156128877073,0.151225753288556,0,0,0,0.0493651143388446,0.0325209944732847
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.0718086105711214,0.0622800250751698,0,0,0.0254147987325923,0.0700083042735814,0,0.0415526675387059,0.124331041364773,0.084671995350983,0.112280469210938,0.0655065227010319,0.0114927467145607,0,0.0156431118902699,0.0456660195615819
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0.0478689513118215,0,0,0.0106474107971505,0.0544627740630505,0,0.0322249328672266,0.0915130094105005,0.160583813992498,0.116555017384298,0,0,0,0,0.0342570606551031
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0161070702878279,0.20734814173489,0.0299507840881678,0.0332935461553189,0.00871151792494131,0.051691568530427,0,0,0.0766280170906431,0.0413074651767693,0.156430554569314,0.0708283654406543,0,0,0,0.0461531353999303
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0.210199714134815,0,0.041009076731929,0.0300212310028747,0,0,0,0,0.00995968882595439,0.0536766527427689,0,0,0.0593703238574867,0.029310536638689,0.0289031482623012
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0.131081383749754,0,0,0,0.113365673885838,0,0.0552657598672936,0.0122125902238212,0,0.169776981194394,0,0,0,0.089597682525003,0.0380866714297402
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0.0385111112057511,0,0.0355486290149058,0.0357719335082131,0,0.0413245903343137,0,0.223384270823072,0.0532807895032461,0.0866915860938157,0,0.0218979680784253,0,0.167414190647216,0.0469216712805973
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0,0.257942521428593,0,0,0,0.0223352386561601,0,0.173044227572817,0.207107520846369,0.163119659679604,0.139037587901758,0.0180489271007073,0,0,0.13992899840132,0.074704312105822
