"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__-_2-Hydroxypentanoate",0,0.0413801160053392,0.162827673175801,0.0181374954222232,0.325023628546674,0,0.146216304263577,0,0.164314290549734,0,0,0,0.0255544815711989,0.226694158078534,0.156444105882324,0.0844394835663604
"m__-_3-Indoxyl sulfate",0,0,0,0,0.136527054617611,0,0,0,0,0,0,0,0.0501789776946274,0,0,0.0124470688208159
"m__-_N-Acetylvaline",0,0,0,0.0148819370323009,0,0,0,0,0,0,0,0,0,0,0.00501021283062817,0.00132614332419527
"m__-_N1,N8-Diacetylspermidine",0,0.0215228479031892,0,0,0,0.0122995884979995,0,0,0,0,0,0,0,0.0503392028713853,0.0141328985123244,0.00655296918565989
"m__-_Ophthalmate",0,0,0,0,0,0,0,0.107619959605596,0,0,0,0,0,0.0714429478703686,0,0.0119375271650643
"m__-_SDMA",0,0,0,0.0223539190075556,0,0,0.0340447017750228,0.0249290374183853,0.0685790411197724,0,0,0,0.0313260161706894,0.0594682653206444,0.00477843271235573,0.0163652942349617
"m__C00003_NAD+",0,0,0.0769046170156571,0.0571085729256726,0,0,0,0.122249125621083,0,0,0,0,0,0.667748837852375,0,0.0616007435609859
"m__C00008_ADP",0,0,0,0,0.0630674677686944,0.014449931075539,0,0.0497411480916127,0.00162485741799879,0,0,0,0.0237203130631727,0.0284079004275201,0,0.0120674411896359
"m__C00015_UDP",0,0,0,0,0,0,0,0,0,0.270799858941915,0,0,0,0,0,0.018053323929461
"m__C00019_SAM+",0.168000955356106,0.051706030698367,0.033414363891407,0.0175798694210578,0,0.064489439861307,0,0.237673889672887,0.0225802042343543,0,0.196304955965336,0,0.0117796349791904,0,0.00817337280771389,0.0541135144591817
"m__C00020_AMP",0,0,0.145389595944405,0,0.00681854225943024,0.014561170038942,0.0113414036037687,0,0,0,0,0,0.0124737143450944,0,0.0104993751846583,0.0134055867584199
"m__C00024_Acetyl CoA",0.0266455545602715,0.0110125857586455,0,0.0330937815685543,0.202713497380224,0,0.112036856737492,0,0,0.102573461543874,0.556615564857323,0.0798396960660089,0.0192516750201182,0.0899269999852778,0.071699155136804,0.0870272552409729
"m__C00037_Gly",0,0.00461623097990595,0,0,0,0,0,0,0,0,0,0,0,0,0.00131478981767413,0.000395401386505339
"m__C00041_Ala",0,0,0,0,0,0.0144268936206686,0,0.0596324376184474,0.00221907782901345,0,0,0,0,0,0,0.00508522727120863
"m__C00042_Succinate",0,0.0299459449402113,0,0.0102166180552117,0,0,0,0,0,0,0,0,0.0131831917862749,0,0,0.00355638365211319
"m__C00043_UDP-N-acetylglucosamine",0,0.0562107741328746,0.149264563045958,0,0,0.0665755532350427,0.130208910377714,0.0441682644423448,0,0,0,0.106146529485573,0,0.131664892889536,0,0.0456159658406028
"m__C00049_Asp",0,0,0,0,0,0,0.00150694786682793,0,0,0,0,0,0,0,0,0.000100463191121862
"m__C00055_CMP",0,0.0138649334684097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000924328897893979
