"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.000235606188235659,0.00250352754645752,0.00104850724789017,0,0.00135685012085586,0.00154245047420702,0.00105428837213155,0,0.00209083212022942,0.000745284850204117,0,0.00150844044944741,0.00104372047220557,0.00144745915020715,0.000604855118448438,0.00101212147403466
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",5.31105890855079e-05,0.0154050179949488,0.000243836233299784,0,0.000983122572551719,0.000622737966167803,0.000505242782276405,0,0.000719476487703753,7.55459635774084e-05,0,0.000864188434249102,0.000392517906494252,0.000582821852064643,0.000269119237696802,0.00138111586800773
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.00016857981439348,0.000630932323919131,0.000754123810275776,0,0.000637894073281138,0.000645812988683911,0.00080886091356685,0,0.000790661709608741,0.000999999945906666,0,0.000878459919987547,0.000653668826711306,0.000472139765736381,6.27106166522484e-05,0.000500256313914878
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.00782965447331146,0.019393301899424,0.0305677399935809,0,0.0154011103866203,0.0163710515582788,0.0171880847977518,0,0.0144981588816538,0.041907807673545,0,0.0231155542685034,0.0165836668052699,0.0139136757724451,0.00130396122225172,0.0145382511821757
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.0152542125779692,0.0310318506908872,0.057521466376338,0,0.0166266006427284,0.0160396883969662,0.0243474071734494,0,0.0225488262807859,0.0735097256823302,0,0.0249486141860691,0.0201864438957408,0.0195805867489759,0.000709790781994377,0.021487014228949
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.00866680737527598,0.039362211325822,0.0409380174036962,0,0.026711190998698,0.0296902974736801,0.0301404806779654,0,0.0342255047268626,0.0730088677530213,0,0.0374411511479622,0.0245523744476551,0.0218540090004107,0.000679922360576798,0.0244847223127751
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.0040203336983861,0.00871037796380956,0.00064541431080238,0,0.00243143899456943,0.00260046716748894,0.00962942274573793,0,0.0063387095797839,0.00759715454415577,0,0.000234619001572963,0.00110294625515326,0.00525891176252481,0.00177337293396545,0.00335621126386337
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.000697580583618153,0.00244890947100888,0.0027787535081716,0,0.0022995497284907,0.00241257429190186,0.0023989935932829,0,0.00341253743234919,0.00362055486397695,0,0.00336553258786402,0.00271962928166753,0.00187174745776658,0.000207119444500554,0.00188223214963993
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0.000398293109292753,0.00112528797119451,0.00172948711589261,0,0.00103114375314707,0.00103198503783687,0.00112441955503034,0,0.00148576672270087,0.00209436966175655,0,0.00145681346993406,0.00127759363697543,0.00089070225847749,0.000137277994007095,0.000918876019083044
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0.00266966944502431,0.0106130393494164,0.0127838528175896,0,0.0101939425619969,0.0107109755042879,0.0111605560361673,0,0.0155956767857238,0.0148079047451078,0,0.0146748244317681,0.0117375333834725,0.00963597311221859,0.00349495742635611,0.00853859370660861
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.000201455123096273,0.000833259588095381,0.000733365264815196,0,0.00622784186598518,0.000974061502768043,0.00374583736866584,0,0.00124320698791371,0.000928889999321863,0,0.00108670002261483,0.00109564700622525,0.0159756279587283,0.00118955938699589,0.00228236347168172
