"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0.0285232067440445,0,0.00330501019774427,0,0.0038898189077707,0.0366349347960713,0,0.0545556869700965,0.0170778199864497,0.0191779357888348,0.049316330563518,0.0197570525932207,0.000138155463011573,0,0.00341802637737369,0.0157195985592091
"m__C18-neg_Cluster_0006: NA",0.0240516449599355,0.053571014209176,0.115223959998792,0.114594766370377,0.0341028604052375,0.594195910529182,0.182498050066368,0.199766885687513,0.150941045809775,0.0252415144672972,0.235274137634021,0.415203127601701,0.148385515816736,0.320226391976884,0.213505113177648,0.188452129247376
"m__C18-neg_Cluster_0011: NA",0.00948565601819412,0.121184729074894,0.0207324942882078,0.0259576097343471,0.0196936270902166,0.00243605697877621,0.00474043051039497,0.0182261972045107,0.0281004954134093,0.0135730793324587,0.0714635516023169,0.0253239351687707,0.0428325144785699,0.0697742380125979,0.00608544426316796,0.0319740039447222
"m__C18-neg_Cluster_0012: NA",0.00600016202996436,0.000214806380520115,0,0.000256785508163439,5.24033811602502e-05,0,0,0,0.0023214021836233,0.0421514074251824,0.0412570112578574,0.0211664196731861,0.09499204707048,0.012711972050526,0.020275573792858,0.0160933327169014
"m__C18-neg_Cluster_0016: NA",0.24989075482047,0.195183720588748,0.327327548027102,0.203954565572244,0.110004840874664,0.255883036986558,0.0574127089431614,0.263674875010861,0.0616116178693495,0.0451339108059207,0.0190178081363101,0.0225862756652766,0.0570580671258932,0.20786752830704,0.0953249066962317,0.144795477695322
"m__C18-neg_Cluster_0017: NA",0.00282568909239704,0.0413912422745856,0.0398411795142096,0.058354119749527,0.0706284448515316,0.0242220368055684,0.0213040699815335,0.00155821454288822,0.000332876012574999,0.000959052313977506,0.0856125771831102,0.00199792707047735,0.0351507822091451,0.0587297640375551,0.0646981182563932,0.0338404062596983
"m__C18-neg_Cluster_0018: NA",0.0236020511700622,0.119837697703367,0.0117264691019064,6.53635838961502e-05,0.0221340650906408,0.0245715715356044,0.000353881419482239,0.0638634500005139,0.00704815968475766,0.0193992097104483,0.00838848248571824,0.0476714710519128,0.032421299884376,0.0192655225132784,0.00488332720191548,0.0270154681425253
"m__C18-neg_Cluster_0020: NA",0.0291979794912535,0.0484688763737843,0.0513968356200014,0.0535839772881227,0.0130940677860982,0.0837780071262541,0.000435406891966807,0.0105345255634253,0.0131151535337336,0.0221518556592361,0.0335279115910034,0.0511182024824896,0.0227063561833748,0.0629036960596242,0.00155989275701618,0.0331715162938256
"m__C18-neg_Cluster_0023: NA",0.310803615409764,0.34727142220648,0.1309039658448,0.195880251394394,0.129398516396856,0.279992546990303,0.328619878177097,0.229443557191966,0.0741188985707083,0.0241879596614065,0.0938953518413294,0.0149231303974208,0.0926044545971615,0.282339707491219,0.0427478198389428,0.171808738400656
"m__C18-neg_Cluster_0024: NA",0.0539381435889203,0.153097188286941,0.0472599202893746,0.189489108702124,0.0266099730201089,0.0449456173516859,0.0468594466309152,0.123306723459459,0.00144491535589717,0.0849888435878939,0.0872463645847627,0.0726932065898501,0.0353862085168032,0.197603986215807,0.0215753817589517,0.0790963351959663
"m__C18-neg_Cluster_0028: NA",0.0269451062314604,0.0618324143917395,0.0163583833636012,0.0389247712565134,0.0870864852634081,0.0254052624651132,0.0103110897737056,0.0758917381063263,0.0454768829360107,0,0.0074467248374903,0.00812788673999309,0.0870616671337043,0.0415435537745919,0.174552112427256,0.0471309385800609
"m__C18-neg_Cluster_0035: NA",0.112656092291191,0.333689859879494,0.447133393449131,0.05175874408029,0.0132924575300032,0.247400320566287,0.0116462563353067,0.20155831252306,0.278284786089522,0.145631166719931,0.0491181690720264,0.0737488146067438,0.139581786029341,0.188945074638393,0.16147673293318,0.16372813111626
"m__C18-neg_Cluster_0037: NA",0.0114711012784962,0.027542504995385,0,0.017504746890217,0.0127314606914867,0.000331730063368554,0.0182549311851701,0.0128469434124426,0.00106342627871029,0.000176152465832602,0.00819190207247744,0.000266338233555554,0.00155663206010692,0.0180377134678833,0.0537849318462759,0.0122507009960939
"m__C18-neg_Cluster_0045: azelate",0.244671247237979,0.36571275893936,0.0517124358556411,0.13686815631415,0.0592754799922332,0.0621872577675054,0.0128838304433229,0.011412972460723,0.0438073922746469,0.0450916491342408,0.0126861844981704,0.0975794336017674,0.0323861610404615,0.16542337760676,0.00624065614871537,0.0898625995543785
"m__C18-neg_Cluster_0046: NA",0.120569527178282,0.138366923023354,0.194624662665762,0.07944553445643,0.010664079817808,0.199652614798756,0.00845757270760299,0.165570865160443,0.0504561805565532,0.106428382597737,0.191687515131132,0.0439155040602205,0.142422365962124,0.170029556317845,0.0105953014445156,0.108859105725238
"m__C18-neg_Cluster_0050: NA",0.0350651235061831,0.152705094664421,0.0782691715703228,0.0238902681405134,0.013805140194109,0.229472160296565,0.0145624478004321,0.00705093157802664,0.143260792053699,0.110900151596206,0.105789684322184,0.0600038108958861,0.00631018448900666,0.0293812116591024,0.0238942913630675,0.0689573642753149
"m__C18-neg_Cluster_0053: NA",0.000209430499708299,0.0912020413590387,0.033897930767117,0.00387379280886564,2.35815215221109e-05,0.0749634760571668,0.00806249973762976,0.042839309702244,0.0104718725501778,0,0.0348068293859257,0.0442568011447767,0.0137273349997943,0.00239063883232371,0.0286636751922019,0.0259592809705662
"m__C18-neg_Cluster_0063: NA",0.0272146656124455,0.0139974149137304,0.0670118844187769,0.0479368637028893,0.00527644654104315,0.122031902870345,0.00242913623435869,0.017369553664244,0.00197031766321958,0.0678864225467007,0.0434985969457966,0.0444707224707223,0.00527738686785187,0.0473705471944787,0.0244468448504828,0.0358792470998057
"m__C18-neg_Cluster_0064: sebacate",0.14841199668249,0.0970352146221376,0.198695480087686,0.312595706763162,0.0378702588072626,0.202159120126356,0.205203983602852,0.0536424090445232,0.108861994069596,0.0883218590550029,0.0243260778032216,0.1034308516638,0.034194440667271,0.052122814898402,0.0304545795092136,0.113155119160198
"m__C18-neg_Cluster_0066: NA",0.0401021764204919,0.139448078527255,0.0528294311260477,0.106691960467478,0.00802577124429771,0.0307688001077087,0.0213855903052865,0.0206651533033429,0.0277825422454978,0.00802337333312073,0.102511223351893,0.0188347812887189,0.0220629968336538,0.0546096157252071,0,0.0435827662853333
"m__C18-neg_Cluster_0069: NA",0.129638637767845,0.261233362062691,0.644622119746447,0.378422025746767,0.0990170366639695,0.312660823310826,0.241682000013715,0.0911507514677999,0.103363775933479,0.150299376422488,0.0402225217916494,0.0338457296853899,0.0783247621141801,0.260454403964862,0.0391543912758451,0.19093944786453
