"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.673414945402018,0.0324979625029695,0.152289930814302,0.201615801761322,0.0554243493539954,0.0697166131730289,0.470234354637284,0.0086975150857984,0.0546864823089469,0.176101267342809,0.156976781577507,0.147044075344718,0.553860805510253,0.314951201873288,0.00339408593296542,0.204727078174747
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0.00140477142258931,0.00445598974220729,0.000150225629019896,0.00811131956195647,0.0261713277332578,0,0,0,0.0498403162073208,0.00324473809515797,0.00463228997439074,0.0257529768279095,0.00164112510289185,0,0,0.00836033868644678
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0.129723216926498,0.178655984493038,0.00758503826769115,0.082588669161209,0.00570868944390346,0.011388411265575,0.0467884181381085,0.0559083631713043,0.125194960424821,0.000371237883899506,0.0562311678712559,0.334148230494423,0.0490957572925635,0,0.0113526362954478,0.0729827187419825
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.285289858479577,0.165994422806003,0.0148424452887793,0.0764529679755803,0.0706318128003225,0.0439414244775669,0.00518210770250449,0.00621403912894049,0.0789207242111389,0.133976394025488,0.0635406437063792,0.0920860270745614,0.0514071157870853,0.112046875611415,0.0240458730802449,0.0816381821437057
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.0540163131350539,0.150290278128934,0.00147414955960819,0.0276607632753798,0.000816061060548771,0.102947649068623,0.0159511062004269,0.0775830565241055,0.09762668027042,0.262460803345693,0.181210302870383,0.0354192153837429,0.000482011452453863,0.0861296590736756,0.0679956636248297,0.0774709141982586
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.067727781535291,0.0787089069929597,0.0500883420910864,0.126632586998257,0.027315908477715,0.276061078863241,0.0114408111285873,0.0245184450413747,0.0115350180250829,0.0293131975049246,0.0741847987224473,0.172256996778731,0.0106974155113651,0.165090024913362,0.109144155208639,0.0823143645195376
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.0184429574794594,0.178062250468301,0.0330089058620228,0.0662817914449031,0.02327253259431,0.0989404160654736,0.0481653819871343,0,0,0.00663394885425304,0.00314299065221509,0,0.0255274544719066,0.100798233853353,0.055188114373431,0.0438309985404508
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.116594532941884,0.0515907405208556,0.0101606121016722,0.0564144476985528,0.000726820824482467,0.12755821039034,0.130245237327309,0.0598938944086791,0.204131039289727,0.107957912529496,0.102302430354783,0.260019874342296,0.00716125720553826,0.0446839657509674,0.0265596771015594,0.0870667101858762
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0.0867680895076204,0.426169272830373,0.0172077510693348,0.0333662671290163,0.0159144557934806,0.0214793507526794,0.0302953806225272,0.00700223611545371,0.0868748968597195,0.00725680294112452,0.087970574201235,0.197415548158482,0.114680088410951,0.0999047107485912,0.0133736741410778,0.0830452732854444
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0.380372000243396,0.131714632230221,0.133350380759344,0.0864493180905827,0.0809053821723434,0.404806955362309,0.049834703328509,0.0203705488832628,0.400405105335494,0.239396699132255,0.190998205568447,0.214909244245171,0.185483485952239,0.000774593548739032,0.0790101295164151,0.173252092291249
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.00745311209524554,0.0226149888181115,0.0323781795412377,0.242651859513209,0.00708710666758839,0.0243325302205499,0.00620543077597297,0.0117327690831595,0.0635055385502627,0.0131239899115074,0.00551057349014324,0.197485582639224,0.23757045680024,0.0202299039740295,0.0134330087669431,0.0603543353898283
