"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0006: NA",0,0,0,0,0,0,0,0,0,0.00149040622676224,0.000988059655155066,0.00259111542053283,0,0,0,0.000337972086830009
"m__C18-neg_Cluster_0011: NA",0,0,0,0,0,0,0,0,0,5.00989337230983e-06,0,0,0,0,0,3.33992891487322e-07
"m__C18-neg_Cluster_0016: NA",0,0.00359838281511202,0.00195136978060191,0.00167490642483832,0,0,0,0.00196507710299452,0,0.000375468510951517,0,0,0,0.000972870801281307,0,0.000702538362385306
"m__C18-neg_Cluster_0017: NA",0,0.00560738830619096,0,0,0,0,0,0,0,0,0,0.0724366041039011,0,0.00564071115324294,0,0.00557898023755566
"m__C18-neg_Cluster_0018: NA",0,0,0,0,0,0,0,0,0,1.92924741998648e-07,0,0,0,0,0,1.28616494665766e-08
"m__C18-neg_Cluster_0020: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000172943730431837,0,1.15295820287891e-05
"m__C18-neg_Cluster_0023: NA",0,0,0,0,0,0,0.00282312076216843,0,0.0491138608043078,0.211079619024888,0.00338176164315451,0,0,6.2841006574302e-08,0.000958939646912483,0.0178238243148292
"m__C18-neg_Cluster_0024: NA",0.000689342242545751,0,0,0,0,0,0,0,0,1.01145757081389e-05,0,0.00447344181051074,0.000186904284215936,0.00135606193550279,0.000303657552435297,0.000467968160061243
"m__C18-neg_Cluster_0028: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,1.47051092085017e-07,0,9.80340613900114e-09
"m__C18-neg_Cluster_0035: NA",6.28824433826949e-06,0,0,1.99684754921483e-05,0,0.000711792428708255,0,0,0,3.33253721424906e-06,0,0,0,0,0,4.94254457168614e-05
"m__C18-neg_Cluster_0045: azelate",0,0,0,0,0.0023789297262866,0,0,0,0,1.24614628946787e-07,0,0,0,0.00157590258429357,0,0.000263663795013941
"m__C18-neg_Cluster_0046: NA",0,0,0,0,0.00561392138692895,0.000303601589987693,0,0.000348741595912758,0,0.000412842692224528,0,0,0,7.38508169690626e-05,0,0.000450197205468199
