"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0,0,0,0.00615435694848502,0,0.154027812654355,0,0.311747486882561,0,0,0,0,0,0,0.0314619770990267
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0.308010297751273,0,0,0,0.000238556025616689,0.020549923585126
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0,0,0,0,0,0,0,0,0,0,0,0.021413084753954,0,0,0,0.00142753898359693
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0,0.41228845585679,0,0.00447203237924773,0,0,0,0,0,0.0493732701297741,0.0124967971507814,0,0,0,0,0.0319087037011062
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190190844844474,0,1.26793896562983e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0,0,0,0,0.00267722210036901,0,0,0,0,0,0,0,0,0,0,0.000178481473357934
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0,0,0,0,0.0162624392135177,0,0,0,0,0.0179872719605545,0,0,0,0,0.0785273385664868,0.00751846998270394
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0,0,0,0,0,0,0,0,0,0.117589986044641,0,0,0,0.00387254803398015,0,0.00809750227190811
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0,0.0339118101158828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226078734105885
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera",0,0.00970610016859162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647073344572775
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium",0,0,0,4.61319996646695e-07,0,0,0,0,5.23443904912212e-05,0,0.0308446256753002,0,0.137548910258253,0,0,0.0112297561096027
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium",0,0.0834248663814635,0,0.000394707226851113,0.00190950250505901,0,0,0,0.00197515128076149,0,0,0,0,0.0368758415665566,0,0.00830533793071278
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter",0,0,0,0,0,0,0,0,1.23250576477212e-06,0,0,0,0.28758084760468,0,0,0.0191721386740296
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudarthrobacter",0,0,0,0.0030701041501358,0,0.012550620325894,0,0.00188364490205347,0,0,0,0,0.0569169183801763,0,0,0.00496141918388398
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0,0.00190053426511214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126702284340809
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Specibacter",0,0,0,2.1666964735724e-08,0.0233789860704567,0,0,0,0,0.000341871871713278,0,0,0,0,3.84517589686039e-06,0.00158164831900211
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__Frankia",0.0872114030579858,0,0,0.00471979590574936,0,0,0.000203861418558979,0.00544139144822179,0.0548675003148328,0,0.0549208597910819,0,0.131968882931022,3.70489484642192e-06,0.000225026679215194,0.022637495096101
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Geodermatophilus",0,0,0,0,0.00178270573575101,0,0,0,0.0393557076556974,0,5.34561381180458e-05,0.0423097103034036,0,0.00408385957392041,0,0.00583902929379269
