"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.000370673353030591,0,0,0,0,0,0,0,0.00249523684103006,0,0,0,0,0,0,0.000191060679604043
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum timonense_A",0.00105952894005248,0,0,0,0,0,0,0,0.00451699033030075,0,0,0,0,0,0,0.000371767951356882
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum",5.96702172337413e-05,0,0,0,0,0,0,0,0.00049358573362011,0,0,0,0,0,0,3.68837300569234e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium apri",0.00179058599299951,0,0,0,0,0,0,0,0.0185123607741244,0,0,0,0,0,0,0.00135352978447493
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium criceti",0.00616104400590948,0,0,0,0,0,0,0,0.0627082923326185,0,0,0,0,0,0.00400460899067465,0.00485826302194684
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallicum",0.0043233664107002,0,0,0,0,0,0,0,0.033712064181324,0,0,0,0,0,0,0.00253569537280161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C",0.00276747652093159,0,0,0,0,0.0118328594610646,0.0159204274484224,0,0.0195721951255346,0,0,0,0,0,0,0.00333953057039688
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp002451435",0.00024738652108723,0,0,0,0,0,0,0,0.00257608449631928,0,0,0,0,0,0,0.000188231401160434
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932675",0.000113496262186439,0,0,0,0,0,0,0,0.00126325414373865,0,0,0,0,0,0,9.1783360395006e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum",0.00119347402078786,0,0,0,0,0,0,0,0.007666260643935,0,0,0,0,0,0,0.00059064897764819
