"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0,0,0.00389584912529328,0.0217612998848417,0,0,0,0,0.119813959484301,0.00590551618709269,0,0,0,0,0.0100917749787686
"m__C18-neg_Cluster_0006: NA",0.0585969054296031,0.0101397222203148,0.0202538812668886,0.00607752463545752,0.216370232056895,0.0365345465488354,0.0108466312995586,0,0.250693624410082,0.00511117721899788,0,0.00236616081211291,0,0,0.281385533883676,0.0598917293188281
"m__C18-neg_Cluster_0011: NA",0.160285670784642,0.107867029739248,0.0780517517851498,0.0379565793160304,0.332061595447165,0.768874774946568,0.0140882844878664,0.118526429774969,0.0496902783574891,0.089807668195674,0.00590551618709269,0.259790387927738,0.128359381101861,0.0766203829992016,0.249364174264201,0.16514999368766
"m__C18-neg_Cluster_0012: NA",0.0790855395397841,0.0192301528746934,0,0,0,0.0333173536767581,0,0.0444938983203721,0.186018595274749,0,0.00406824448444163,0,0.00468801235360649,0,0.0461158767194797,0.0278011782162589
"m__C18-neg_Cluster_0016: NA",0.129580913187784,0.00367721407681169,0,0.0160805101266842,0.0693665176064814,0.287749156817981,0.0111440531593474,0.0317141451338463,0.0964226500419164,0.144517750615314,0.0451689160794102,0.0438287636997313,0.0223837387890323,0.00438690782389659,0.0879047463582301,0.0662617322344312
"m__C18-neg_Cluster_0017: NA",0.0988832965567442,0.00697625126732089,0.0191880366929264,0,0,0.114526822932954,0.0123060826340828,0,0.162123654556937,0.0420640254537448,0.00523060005142496,0,0,0,0.178224222387665,0.04263486616892
"m__C18-neg_Cluster_0018: NA",0.111363005641632,0.0638470081929338,0.0346116691412778,0.0181643134516412,0,0.0235033657725651,0.0140706741322566,0.0148319020777164,0.0134246804996473,0.0838233063915652,0.0163769193490448,0.00725205537366338,0.033550066408166,0.0120297970364395,0.111171818779357,0.0372013721498605
"m__C18-neg_Cluster_0020: NA",0.0536129872437129,0.153536337713019,0.295689123361114,0.0201529983575465,0,0.132269520793047,0.0956336448411976,0.0255567761540902,0.0326503367797123,0.34850885067649,0.0505218767404627,0.0129086585651208,0.072847739943518,0.0121391646299644,0.0383387480846127,0.0896244509255739
"m__C18-neg_Cluster_0023: NA",0.124375760982846,0.0880016087869341,0.0154684270642627,0.141094312050491,0.386888963772875,0.209418313939106,0.108523349903594,0.179153013518115,0.710475319057077,0.333077338540783,0.0260458158298415,0.312896166064126,0.129091894186829,0.0930134292873681,0.191361571770813,0.203259018983671
"m__C18-neg_Cluster_0024: NA",0.191484369099277,0,0.00744038524260334,0.0075969057943219,0.214047541137427,0.0252836424921418,0,0,0.139156139740098,0.254020026050286,0.00401998597206242,0.0694958255412703,0.0140090994160506,0.00308033211724102,0.204326468271471,0.0755973813916168
"m__C18-neg_Cluster_0028: NA",0.0216136126584602,0,0,0,0.0339711201327287,0.0744505503266218,0.0103105421874497,0.0398574300118216,0.0431422541924061,0.0766874307306896,0.0232512830423782,0,0.00497614885507631,0,0.166154413704337,0.0329609857227979
"m__C18-neg_Cluster_0035: NA",0.0384242002817069,0.0159212847149453,0.0109697766004005,0,0.0274028771216875,0.0691594701158621,0.0224429226317484,0.0197909631366518,0.0306843263134941,0.216569110297574,0.148128452558587,0.0942770606065888,0,0,0.0444078812854249,0.0492118883776448
"m__C18-neg_Cluster_0037: NA",0.183255453000923,0.0413650976077344,0.0210130321828314,0.0400031841312839,0.0275038651322305,0,0.0105023048173157,0.0648068301614026,0.0701725160067,0,0.00587635314419347,0,0.0225583306114122,0.0496144468227456,0.0835236515844395,0.0413463376802142
