"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0,0,0,0,0,0,0,0.0159133114296668,0,0,0,0,0,0.0402091220485183,0.00374149556521234
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis orientalis",0,0.0435769333968359,0,0,0,0,0,0,0.00735252632115442,0,0,0,0,0,0,0.00339529731453269
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces tendae",0,0,0.117717977662844,0,0,0,0,0.0342001797240804,0,0,0,0,0,0,0,0.0101278771591283
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spirillospora",0,0.180588177330281,0,0,0,0,0,0,0.0277720742854311,0,0,0.0527988889344694,0,0,0,0.0174106093700121
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella",0,0,0,0,0,0,0,0,0,0,0.0354302183223955,0,0,0,0,0.00236201455482637
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella",0,0,0,0,0,0,0,0.0531761693953237,0,0,0,0,0,0,0,0.00354507795968825
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Tractidigestivibacter",0,0,0,0,0,0,0,0,0.00478398135534136,0,0,0,0,0,0,0.000318932090356091
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556661804295882,0.00371107869530588
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_R",0,0,0,0.477847048808441,0,0,0,0.0219427878438409,0,0,0,0,0,0,0,0.0333193224434854
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003462685",0,0,0,0,0,0,0,0,0,0,0,0,0.118113716030734,0,0,0.00787424773538229
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp014871665",0,0,0,0,0,0,0,0,0,0,0,0,0.0739205109511297,0,0,0.00492803406340865
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900539035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555917293837059,0.000370611529224706
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541045",0,0,0,0,0,0,0,0,0.0163251911757417,0,0,0,0,0,0,0.00108834607838278
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541855",0,0,0,0,0,0,0,0,0.00845742268632685,0,0,0,0,0,0,0.000563828179088456
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900542155",0.466437177457147,0,0,0.464608046273489,0,0,0,0.0551723079429575,0.0427980687616277,0,0,0,0,0,0,0.0686010400290148
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900542965",0,0,0,0,0,0,0,0,0.0219717429582231,0,0,0,0,0,0,0.00146478286388154
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900543275",0,0,0,0,0,0,0,0,0.0452191155802659,0,0,0,0,0,0,0.00301460770535106
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900544115",0,0,0,0,0.119498594724233,0,0,0,0,0,0,0,0,0,0,0.00796657298161556
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900544235",0,0,0,0,0,0,0,0,0,0.330614223918554,0,0,0,0,0,0.022040948261237
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900544755",0,0.0321359118097976,0.233304027338084,0,0.162761310943478,0.287562579715385,0,0.0262271809631508,0.456942196019013,0,0.596946207734499,0,0.142949991570215,0,0.136079456153951,0.138327257483172
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900547505",0,0,0,0,0,0,0,0,0.00949022370508396,0,0,0.0294014625114923,0,0,0,0.00259277908110509
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900547765",0,0,0,0,0,0,0,0,0.0379565803250477,0,0,0,0,0,0,0.00253043868833651
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900548255",0,0,0,0,0,0,0,0,0.0897166432117775,0,0,0,0,0,0,0.00598110954745183
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900552875",0,0,0,0,0,0,0,0,0.0050228037995567,0,0,0,0,0,0,0.000334853586637113
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900554585",0,0,0,0.142435501883498,0,0,0,0,0,0,0,0,0,0,0,0.00949570012556654
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900555585",0,0,0.0234695418813579,0,0,0,0,0,0,0,0,0,0,0,0,0.00156463612542386
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902363875",0,0,0,0,0,0,0,0,0.0834987917330782,0,0,0,0,0,0,0.00556658611553855
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905208345",0,0,0,0,0,0,0,0,0.00380119724576156,0,0,0,0,0,0,0.000253413149717438
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905213265",0,0,0.137235203258843,0,0,0,0,0,0.0491792528455105,0,0,0,0,0,0,0.0124276304069569
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905214525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242125740574524,0.00161417160383016
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905215205",0,0,0,0,0,0,0,0,0.0270850169409341,0,0,0,0,0,0,0.00180566779606227
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905216045",0,0,0,0.188925839212474,0,0,0,0,0,0,0,0,0,0,0,0.0125950559474983
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma",0,0,0,0,0,0,0,0,0,0,0,0,0.0817838680739214,0,0,0.00545225787159476
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Enorma massiliensis",0,0,0,0,0,0,0,0,0.00445966536488214,0,0,0,0,0,0,0.000297311024325476
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAAEEV01",0,0,0.038847906959962,0,0,0,0,0,0,0,0,0,0,0,0,0.00258986046399747
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427",0,0,0,0,0,0,0,0,0,0,0,0.169904124045524,0,0,0,0.0113269416030349
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000434775",0,0.0467322328829265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031154821921951
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp900553605",0,0.117022341168773,0,0,0.0898354378180169,0,0,0.0199357289552771,0,0,0,0,0,0,0,0.0151195671961378
