"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0035: NA",0,0,0,0.0624773366701985,0,0,0,0,0,0,0,0,0,0,0,0.00416515577801324
"m__C18-neg_Cluster_0050: NA",0,0,0,0,0,0,0,0,0.00211877285629339,0,0,0,0,0,0,0.000141251523752893
"m__C18-neg_Cluster_0063: NA",0.444713831356164,0,0.137902447232336,0.912638376989967,0,0.594618395075863,0,0.661772743976311,0,0,0.115874004529984,0.300533723810521,0.007923420977247,0.0887854772405693,0.0981446384996315,0.22419380397924
"m__C18-neg_Cluster_0081: NA",0.0393515868666312,0,0,0,0,0,0,0,0,0.0180919553991072,0,0,0,0,0,0.00382956948438256
"m__C18-neg_Cluster_0110: NA",0,0,0.0207105122379364,0,0,0,0,0,0,0,0,0,0,0,0,0.00138070081586242
"m__C18-neg_Cluster_0134: NA",0,0,0,0,0,0,0,0,0,0.00622874967924044,0,0,0.0123788819733055,0,0,0.00124050877683639
"m__C18-neg_Cluster_0136: NA",0,0,0,0,0,1,0,0,0,0.0713852185553422,0,0,0.451410630935074,0,0,0.101519723299361
"m__C18-neg_Cluster_0191: NA",0,0,0,0,0,0,0,0,0.0181207495983563,0,0,0,0,0,0,0.00120804997322375
"m__C18-neg_Cluster_0197: NA",1,0,0.383150296140469,0.358059976156335,0,0,0,0.540673141698993,0.508777411602175,0.0606003411946809,0,0,1,1,0.468720017147396,0.35466541226267
"m__C18-neg_Cluster_0274: NA",0.074648658675887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497657724505913
"m__C18-neg_Cluster_0388: NA",0,0,0,0,0,0.288718633529904,0,0,0,0,0,0,0,0,0,0.0192479089019936
"m__C18-neg_Cluster_0404: NA",0,0,0,0,0,0,0,0,0,0.00965560400263277,0,0,0,0,0,0.000643706933508852
"m__C18-neg_Cluster_0500: NA",0,0,0,0,0,0,0,0,0.00385291326689332,0,0,0,0,0,0,0.000256860884459555
"m__C18-neg_Cluster_0513: NA",0,0,0,0,0,0,0,0,0.0101324888804788,0,0,0,0,0,0,0.000675499258698588
"m__C18-neg_Cluster_0579: NA",0,0,0,0.0353013440039077,0,0,0,0,0,0,0,0,0,0,0,0.00235342293359385
"m__C18-neg_Cluster_0586: NA",0,0,0,0,0.210100176405682,0.200653983309961,0,0,0,0,0,0,0,0,0,0.0273836106477095
"m__C18-neg_Cluster_0630: NA",0,0,0.0434701755968009,0,0,0,0,0,0,0,0,0,0,0,0,0.00289801170645339
"m__C18-neg_Cluster_0631: NA",0,0,0,0.127647440330601,0,0,0.412740351185984,0,0,0,0.173472321132919,0,0,0,0,0.0475906741766337
"m__C18-neg_Cluster_0634: NA",0,0,0,1,0,0,0,0,0,0.0435655798237458,0,0,0,0,0,0.0695710386549164
"m__C18-neg_Cluster_0635: NA",0.0882514293807402,0,0,0.0719663147996995,0,0,0,0,0,0,0,0,0,0,0,0.0106811829453626
"m__C18-neg_Cluster_0772: NA",0,0,0,0,0,0,0,0,0,0,0.386101409042731,0,0,0,0,0.0257400939361821
"m__C18-neg_Cluster_0802: NA",0,0,0,0,0,0,0,0,0.00013734428942193,0,0,0,0,0,0,9.15628596146198e-06
"m__C18-neg_Cluster_0815: NA",0,0,0.035939835867703,0,0,0,0,0,0,0,0,0,0,0,0,0.00239598905784687
"m__C18-neg_Cluster_0872: NA",0,0,0,0,0,0,0,0,0,0.000859211338932375,0,0,0,0,0,5.7280755928825e-05
"m__C18-neg_Cluster_1233: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640299898706837,0,0.00426866599137891
"m__C18-neg_Cluster_1294: NA",0,0,0.0226266447226125,0,0,0,0,0,0,0,0,0,0,0,0,0.0015084429815075
"m__C18-neg_Cluster_1371: NA",0,0,0,0,0,0,0.118855222925854,0,0,0,0,0,0,0,0,0.00792368152839025
"m__C18-neg_Cluster_1482: NA",0,0,0,0,0,0,0,0,0,2.49977482295258e-05,0,0,0,0,0,1.66651654863506e-06
"m__C18-neg_Cluster_1539: NA",0,0,0,0,0,0,0,0,0,0,0.0223606341977498,0,0,0,0,0.00149070894651666
"m__C18-neg_Cluster_1582: NA",0,0,0.041265621162924,0,0,0,0,0,0,0,0,0,0,0,0,0.0027510414108616
"m__C18-neg_Cluster_1787: NA",0,0,0,0,0,0,0,0,0.00608281675252993,0,0,0,0,0,0,0.000405521116835329
"m__C18-neg_Cluster_1925: NA",0,0,0,0,0,0,0,0,0.000242126458025637,0,0,0,0,0,0,1.61417638683758e-05
"m__C18-neg_Cluster_1963: NA",0,0,0,0,0,0,0,0,0,0.00179159404445257,0,0,0,0,0,0.000119439602963504
"m__C18-neg_Cluster_2039: NA",0.638411409183136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425607606122091
"m__C18-neg_Cluster_2083: NA",0,0,0,0,0,0,0,0,0.00724324051885567,0.0139430290558276,0.123966228863981,0,0,0,0,0.00967683322924429
"m__C18-neg_Cluster_2096: NA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
"m__C18-neg_Cluster_2109: NA",0,0,0,0,0,0,0.558225792213597,0,0,0,0,0,0,0,0,0.0372150528142398
"m__C8-pos_Cluster_0010: NA",0,0,0,0,0,0,0,0,0,2.72706672063939e-05,0,0,0,0,0,1.81804448042626e-06
"m__C8-pos_Cluster_0058: NA",0,0,0,0.104037353349215,0,0,0,0,0,0.0117741290985537,0,0,0,0,0,0.00772076549651788
"m__C8-pos_Cluster_0189: NA",0.0165555503385254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110370335590169
"m__C8-pos_Cluster_0498: NA",0.0321490127497375,0,0,0.0303722315641217,0,0,0,0,0,0,0,0,0,0,0,0.00416808295425728
"m__C8-pos_Cluster_0724: NA",0,0,0.0191238396987063,0,0,0,0,0,0,0,0,0,0,0,0,0.00127492264658042
"m__C8-pos_Cluster_0735: NA",0,0,0,0,0,0,0,0,0.00584687332403817,0,0,0,0,0,0,0.000389791554935878
"m__C8-pos_Cluster_0738: NA",0,0.222368287351523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148245524901015
"m__C8-pos_Cluster_0959: NA",0.0454241381380642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302827587587094
"m__C8-pos_Cluster_1004: C16:0 ceramide (d18:1)",0,0,0,0,0,0,0,0,0,0.0147483062622033,0,0,0,0,0,0.000983220417480223
"m__C8-pos_Cluster_1182: NA",0,0,0,0,0,0,0,0,0,0.00503781862464999,0,0,0,0,0,0.000335854574976666
"m__C8-pos_Cluster_1239: NA",0,0,0,0,0,0,0,0,0,0,0.0511287679305564,0,0,0,0,0.00340858452870376
"m__C8-pos_Cluster_1293: NA",0,0,0,0.0483956241777231,0,0,0,0,0,0,0,0.750323899267081,0,0.257850498591646,0,0.0704380014690967
"m__C8-pos_Cluster_1504: C18:2 CE*",0,0,0,0,0,0,0,0,8.79506901352011e-05,0,0,0,0,0,0,5.86337934234674e-06
"m__C8-pos_Cluster_1516: NA",0,0,0,0,0,0,0,0,0,0.00141916700399619,0,0,0,0,0,9.46111335997457e-05
"m__C8-pos_Cluster_1737: NA",0,0,0,0,0,0,0,0.163003135202447,0,0,0,0,0,0,0,0.0108668756801632
"m__C8-pos_Cluster_1790: NA",0.0276409136952687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184272757968458
"m__C8-pos_Cluster_1795: NA",0,0,0.0266627981175853,0,0,0,0,0,0,0,0,0,0,0,0,0.00177751987450568
"m__C8-pos_Cluster_1803: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126513206925087,0,0.000843421379500578
"m__C8-pos_Cluster_1858: NA",0.0578198749349582,0,0,0,0,0,0,0,0,0.0315966871869062,0,0,0,0,0,0.00596110414145763
"m__C8-pos_Cluster_1872: NA",0,0,0,0,0,0,0,0,0,0.0350734094616639,0,0,0,0,0,0.00233822729744426
"m__C8-pos_Cluster_1888: C22:0 SM",0,0,0.114941356445134,0.0789369253022623,0,0,0,0,0,0.0100559658713923,0,0,0.0111238095383988,0,0,0.0143372038104792
"m__C8-pos_Cluster_1903: NA",0.184575665581866,0,0,0,0,0,0,0.125928523550541,0,0,0,0,0,0,0,0.0207002792754938
"m__C8-pos_Cluster_1981: NA",0.0319585364126469,0,0.040509124462851,0,0,0,0,0,0,0,0,0,0,0,0,0.00483117739169986
"m__C8-pos_Cluster_2012: NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271720976578505,0,0.00181147317719003
"m__C8-pos_Cluster_2151: NA",0,0,0,0,0,0,0,0,0,0.0308133902516722,0,0,0,0,0,0.00205422601677815
"m__C8-pos_Cluster_2158: NA",0,0,0.0183641974281622,0,0,0,0,0,0,0,0,0,0,0,0,0.00122427982854414
"m__C8-pos_Cluster_2169: NA",0,0,0,0,0,0,0,0,0,0,0,0,0.00982028376529773,0,0.146007746436467,0.0103885353467843
"m__C8-pos_Cluster_2438: NA",0.120443769993627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802958466624178
"m__HILIC-neg_Cluster_0156: caprylic acid",0,0,0.104262444521496,0,0,0,0,0,0,0.0314444179673911,0,0,0,0,0,0.00904712416592579
"m__HILIC-neg_Cluster_0197: NA",0,0,0,0,0,0,0,0,0,0.00175565930444118,0,0,0,0,0,0.000117043953629412
"m__HILIC-neg_Cluster_0246: NA",0.0301319540873977,0,0,0,0,0,0,0.10122516297024,0,0.0137919709696378,0,0.152873766241243,0,0,0.0969238274249371,0.0263297787795637
"m__HILIC-neg_Cluster_0333: NA",0.0197506627338812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131671084892541
"m__HILIC-neg_Cluster_0567: NA",0.0230317727400082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153545151600055
"m__HILIC-neg_Cluster_0570: NA",0,0,0,0,0,0,0,0,0,2.29889130042867e-05,0,0,0,0,0,1.53259420028578e-06
"m__HILIC-neg_Cluster_0823: NA",0,0,0,0,0,0,0,0,0.00330913110877936,0,0,0,0,0,0,0.000220608740585291
"m__HILIC-neg_Cluster_0847: NA",0.0185901683698132,0,0,0,0,0,0.0984074780524801,0,0,0.00847301679545189,0.0655630595384436,0,0,0,0,0.0127355815170793
"m__HILIC-neg_Cluster_0849: NA",0,0,0,0,0,0,0,0,0,0.00264282209614401,0,0,0,0,0,0.000176188139742934
"m__HILIC-neg_Cluster_0867: NA",0,0,0,0,0,0,0,0,0,0.0144371180362385,0,0,0,0,0,0.000962474535749231
"m__HILIC-neg_Cluster_0877: NA",0,0,0,0.0881320766589557,0,0,0,0,0,0,0,0,0,0,0,0.00587547177726372
"m__HILIC-neg_Cluster_0920: NA",0,0,0,0,0,0,0,0,0,0.000353459068289588,0,0,0,0,0,2.35639378859725e-05
"m__HILIC-neg_Cluster_1196: NA",0.0700689828227999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467126552151999
